scenario_description,model,region,historical_years,start_time,threshold,hysteresis_margin,total_wall_time_h,training_time_h,paused_time_h,checkpoint_overhead_h,total_energy_kwh,total_emissions_kgco2,baseline_emissions_kgco2,baseline_time_h,co2_savings_pct,score,tokens_processed,tokens_total,completed,num_pauses,actual_overhead_pct,within_overhead_budget,stop_reason
Original Deepseek training,Deepseek,CN,"[2022, 2023, 2024, 2025]",1970-01-01T00:00:00Z,550.0,500.0,3063.8333333333335,1300.7812502032423,1759.3734164634275,3.6786666666666616,2649557.2386441473,1328285.2510114242,1319902.0512322676,1300.8333333333333,-0.6351380218956396,-0.00468605345213148,14800000000000,14800000000000,True,89,135.53793792231355,True,completed
Original Deepseek training,Deepseek,CN,"[2022, 2023, 2024, 2025]",1970-01-01T00:00:00Z,600.0,550.0,1617.75,1300.7812502032423,315.4807497967576,1.488000000000001,2420238.328965589,1323607.569824274,1319902.0512322676,1300.8333333333333,-0.28074193752080334,-0.011521130983729175,14800000000000,14800000000000,True,36,24.367567551942926,True,completed
Deepseek training in Sweden,Deepseek,SE,"[2022, 2023, 2024, 2025]",1970-01-01T00:00:00Z,25.0,20.0,2802.5833333333335,201.0,2601.335333333333,0.248,772364.7475705523,18845.387513993377,62083.68516968716,1300.8333333333333,69.64518542595344,0.34822313855608505,2286933332976,14800000000000,False,6,200.0016016016016,False,budget_exceeded
Deepseek training in Sweden,Deepseek,SE,"[2022, 2023, 2024, 2025]",1970-01-01T00:00:00Z,30.0,25.0,1796.6666666666667,1300.7812502032423,495.3894164634243,0.4959999999999999,2446508.3370811325,59333.98791150799,62083.68516968716,1300.8333333333333,4.429017463547302,0.11617971977463515,14800000000000,14800000000000,True,12,38.122122106497486,True,completed
Deepseek training in Germany,Deepseek,DE,"[2022, 2023, 2024, 2025]",1970-01-01T00:00:00Z,350.0,300.0,3077.4166666666665,475.8333333333333,2599.5166666666655,2.0666666666666687,1275773.4809596944,416280.66294756863,979632.0390063507,1300.8333333333333,57.50642625267689,0.2875298287222136,5413925925080,14800000000000,False,50,200.00160160160152,False,budget_exceeded
Deepseek training in Germany,Deepseek,DE,"[2022, 2023, 2024, 2025]",1970-01-01T00:00:00Z,400.0,350.0,3438.9166666666665,1300.7812502032423,2134.9940831300946,3.141333333333331,2707197.390639661,891343.2443312616,979632.0390063507,1300.8333333333333,9.012444587320886,0.05482916959133358,14800000000000,14800000000000,True,76,164.37317315754882,True,completed
Deepseek training in US,Deepseek,US,"[2022, 2023, 2024, 2025]",1970-01-01T00:00:00Z,400.0,350.0,3445.6666666666665,844.0833333333334,2600.8806666666674,0.7026666666666668,1943965.4109182744,724020.2730721328,1011189.9310230978,1300.8333333333333,28.399180919494878,0.1419947675022391,9603792591092,14800000000000,False,17,200.00160160160166,False,budget_exceeded
Deepseek training in US,Deepseek,US,"[2022, 2023, 2024, 2025]",1970-01-01T00:00:00Z,450.0,400.0,1964.3333333333333,1300.7812502032423,663.4280831300912,0.12400000000000001,2472054.758124121,981432.3232444143,1011189.9310230978,1300.8333333333333,2.9428307052637974,0.057689201807251934,14800000000000,14800000000000,True,3,51.01181179618719,True,completed
Kimi training in China,Kimi,CN,"[2022, 2023, 2024, 2025]",1970-01-01T00:00:00Z,350.0,300.0,21796.916666666668,0.0,21796.875333333333,0.04133333333333333,425205.41330933786,222020.23251251254,1307582.2016781936,10898.5,83.0205525719481,0.4151019693553786,0,15500000000000,False,1,200.00038231780167,False,budget_exceeded
Kimi training in China,Kimi,CN,"[2022, 2023, 2024, 2025]",1970-01-01T00:00:00Z,400.0,350.0,21796.916666666668,0.0,21796.875333333333,0.04133333333333333,425205.41330933786,222020.23251251254,1307582.2016781936,10898.5,83.0205525719481,0.4151019693553786,0,15500000000000,False,1,200.00038231780167,False,budget_exceeded
Kimi training in China,Kimi,CN,"[2022, 2023, 2024, 2025]",1970-01-01T00:00:00Z,450.0,400.0,21814.916666666668,18.0,21796.751333333334,0.16533333333333333,429327.72683258133,223748.92586345077,1307582.2016781936,10898.5,82.88834724300436,0.4144409439742687,25599999888,15500000000000,False,4,200.00038231780167,False,budget_exceeded
Kimi training in Sweden,Kimi,SE,"[2022, 2023, 2024, 2025]",1970-01-01T00:00:00Z,25.0,20.0,23726.416666666668,10898.437547680573,12815.703118986125,12.27600000000003,2733102.3159122216,52101.04074801723,58153.86633594793,10898.5,10.408294356499452,0.08842713608570124,15500000000000,15500000000000,True,297,117.70475464015942,True,completed
Kimi training in Sweden,Kimi,SE,"[2022, 2023, 2024, 2025]",1970-01-01T00:00:00Z,30.0,25.0,13554.833333333334,10898.437547680573,2648.625118986089,7.770666666666642,2533745.75017315,54528.55689802432,58153.86633594793,10898.5,6.233995547227479,0.25576313294007835,15500000000000,15500000000000,True,188,24.374097531437474,True,completed
Kimi training in Germany,Kimi,DE,"[2022, 2023, 2024, 2025]",1970-01-01T00:00:00Z,350.0,300.0,28418.5,6621.583333333333,21771.37266666692,25.54400000000029,1937478.3479004207,585945.9793473645,970795.045745988,10898.5,39.64266897374759,0.19821296596700855,9417362921762,15500000000000,False,618,200.00038231780402,False,budget_exceeded
Kimi training in Germany,Kimi,DE,"[2022, 2023, 2024, 2025]",1970-01-01T00:00:00Z,400.0,350.0,24347.166666666668,10898.437547680573,13424.011785652854,24.717333333333606,2747800.1631395607,872512.558461263,970795.045745988,10898.5,10.12391726919062,0.08204111974988018,15500000000000,15500000000000,True,598,123.400525249479,True,completed
Kimi training in US,Kimi,US,"[2022, 2023, 2024, 2025]",1970-01-01T00:00:00Z,400.0,350.0,24430.416666666668,2633.5,21794.76733333336,2.149333333333335,1024986.5032076719,397551.05314623145,1027664.4870873864,10898.5,61.31509280105871,0.3065748779601263,3745422205836,15500000000000,False,52,200.0003823178019,False,budget_exceeded
Kimi training in US,Kimi,US,"[2022, 2023, 2024, 2025]",1970-01-01T00:00:00Z,450.0,400.0,19105.833333333332,10898.437547680573,8205.86645231942,1.5293333333333345,2640731.540703139,1050317.9190956708,1027664.4870873864,10898.5,-2.2043606929036623,-0.029271266875009812,15500000000000,15500000000000,True,37,75.30800434147329,True,completed
