Iter,θ_p,θ_r,Start,Overhead %,CO₂ Save %,Score,Pauses,Budget,Stop
8,277,274,07-01,+128.8%,+25.42%,0.6271,101,✓ Yes,completed
8,277,273,07-01,+128.8%,+25.42%,0.6271,101,✓ Yes,completed
8,277,273,07-01,+128.8%,+25.42%,0.6271,101,✓ Yes,completed
7,278,274,07-01,+128.8%,+25.42%,0.6271,101,✓ Yes,completed
7,278,274,07-01,+128.8%,+25.42%,0.6271,101,✓ Yes,completed
7,278,273,07-01,+128.8%,+25.42%,0.6271,101,✓ Yes,completed
6,277,273,07-01,+128.8%,+25.42%,0.6271,101,✓ Yes,completed
9,277,275,07-01,+128.7%,+25.42%,0.6271,102,✓ Yes,completed
9,277,274,07-01,+128.7%,+25.42%,0.6271,102,✓ Yes,completed
9,277,274,07-01,+128.7%,+25.42%,0.6271,102,✓ Yes,completed
8,276,275,07-01,+128.7%,+25.42%,0.6271,102,✓ Yes,completed
8,276,274,07-01,+128.7%,+25.42%,0.6271,102,✓ Yes,completed
8,276,274,07-01,+128.7%,+25.42%,0.6271,102,✓ Yes,completed
7,277,275,07-01,+128.7%,+25.42%,0.6271,102,✓ Yes,completed
7,277,275,07-01,+128.7%,+25.42%,0.6271,102,✓ Yes,completed
7,277,274,07-01,+128.7%,+25.42%,0.6271,102,✓ Yes,completed
6,276,274,07-01,+128.7%,+25.42%,0.6271,102,✓ Yes,completed
5,276,275,07-01,+128.7%,+25.42%,0.6271,102,✓ Yes,completed
6,278,273,07-01,+128.8%,+25.42%,0.6271,100,✓ Yes,completed
6,278,272,07-01,+128.8%,+25.42%,0.6271,100,✓ Yes,completed
6,279,272,07-01,+128.7%,+25.42%,0.6271,98,✓ Yes,completed
6,279,271,07-01,+128.7%,+25.42%,0.6271,98,✓ Yes,completed
5,280,271,07-01,+128.7%,+25.42%,0.6271,98,✓ Yes,completed
9,277,274,07-01,+129.0%,+25.42%,0.6271,102,✓ Yes,completed
9,277,273,07-01,+129.0%,+25.42%,0.6271,102,✓ Yes,completed
9,277,273,07-01,+129.0%,+25.42%,0.6271,102,✓ Yes,completed
8,276,274,07-01,+129.0%,+25.42%,0.6271,102,✓ Yes,completed
8,276,273,07-01,+129.0%,+25.42%,0.6271,102,✓ Yes,completed
8,276,273,07-01,+129.0%,+25.42%,0.6271,102,✓ Yes,completed
7,277,274,07-01,+129.0%,+25.42%,0.6271,102,✓ Yes,completed
7,277,274,07-01,+129.0%,+25.42%,0.6271,102,✓ Yes,completed
7,277,273,07-01,+129.0%,+25.42%,0.6271,102,✓ Yes,completed
6,276,274,07-01,+129.0%,+25.42%,0.6271,102,✓ Yes,completed
8,277,275,07-01,+128.5%,+25.42%,0.6271,101,✓ Yes,completed
8,277,274,07-01,+128.5%,+25.42%,0.6271,101,✓ Yes,completed
8,277,274,07-01,+128.5%,+25.42%,0.6271,101,✓ Yes,completed
