Iter,θ_p,θ_r,Start,Overhead %,CO₂ Save %,Score,Pauses,Budget,Stop
9,21,21,01-01,+48.3%,+11.41%,0.5570,766,✓ Yes,completed
8,21,21,01-01,+48.3%,+11.41%,0.5570,766,✓ Yes,completed
7,21,21,01-01,+48.3%,+11.41%,0.5570,766,✓ Yes,completed
6,21,21,01-01,+48.3%,+11.41%,0.5570,766,✓ Yes,completed
5,22,22,01-01,+48.3%,+11.41%,0.5570,766,✓ Yes,completed
5,22,21,01-01,+48.3%,+11.41%,0.5570,766,✓ Yes,completed
4,22,22,01-01,+48.3%,+11.41%,0.5570,766,✓ Yes,completed
4,22,22,01-01,+48.3%,+11.41%,0.5570,766,✓ Yes,completed
4,22,21,01-01,+48.3%,+11.41%,0.5570,766,✓ Yes,completed
3,21,21,01-01,+48.3%,+11.41%,0.5570,766,✓ Yes,completed
3,22,21,01-01,+48.7%,+11.38%,0.5569,492,✓ Yes,completed
3,22,20,01-01,+48.7%,+11.38%,0.5569,492,✓ Yes,completed
2,22,21,01-01,+48.7%,+11.38%,0.5569,492,✓ Yes,completed
3,22,22,01-01,+42.8%,+11.34%,0.5567,527,✓ Yes,completed
3,23,21,01-01,+42.5%,+11.06%,0.5553,430,✓ Yes,completed
2,24,21,01-01,+42.5%,+11.06%,0.5553,430,✓ Yes,completed
5,22,21,01-01,+58.1%,+11.00%,0.5550,605,✓ Yes,completed
4,22,21,01-01,+58.1%,+11.00%,0.5550,605,✓ Yes,completed
4,22,21,01-01,+58.1%,+11.00%,0.5550,605,✓ Yes,completed
4,22,20,01-01,+58.1%,+11.00%,0.5550,605,✓ Yes,completed
3,21,21,01-01,+58.1%,+11.00%,0.5550,605,✓ Yes,completed
3,23,20,01-01,+53.7%,+10.71%,0.5536,396,✓ Yes,completed
3,23,19,01-01,+53.7%,+10.71%,0.5536,396,✓ Yes,completed
2,24,19,01-01,+53.7%,+10.71%,0.5536,396,✓ Yes,completed
3,22,22,01-01,+38.4%,+10.67%,0.5533,637,✓ Yes,completed
2,22,22,01-01,+38.4%,+10.67%,0.5533,637,✓ Yes,completed
3,24,20,01-01,+48.0%,+10.67%,0.5533,360,✓ Yes,completed
3,24,19,01-01,+48.0%,+10.67%,0.5533,360,✓ Yes,completed
3,23,22,01-01,+38.3%,+10.59%,0.5530,449,✓ Yes,completed
3,23,21,01-01,+38.3%,+10.59%,0.5530,449,✓ Yes,completed
3,22,19,01-01,+64.3%,+10.51%,0.5525,455,✓ Yes,completed
2,22,19,01-01,+64.3%,+10.51%,0.5525,455,✓ Yes,completed
3,24,20,01-01,+39.0%,+10.43%,0.5522,390,✓ Yes,completed
5,21,21,01-01,+72.0%,+10.42%,0.5521,902,✓ Yes,completed
4,21,21,01-01,+72.0%,+10.42%,0.5521,902,✓ Yes,completed
4,21,20,01-01,+72.0%,+10.42%,0.5521,902,✓ Yes,completed
3,20,20,01-01,+72.0%,+10.42%,0.5521,902,✓ Yes,completed
2,21,21,01-01,+72.0%,+10.42%,0.5521,902,✓ Yes,completed
