Iter,θ_p,θ_r,Start,Overhead %,CO₂ Save %,Score,Pauses,Budget,Stop
9,19,18,04-22,+106.3%,+23.17%,0.6158,85,✓ Yes,completed
8,19,18,04-22,+106.3%,+23.17%,0.6158,85,✓ Yes,completed
7,19,18,04-22,+106.3%,+23.17%,0.6158,85,✓ Yes,completed
6,19,18,04-22,+106.3%,+23.17%,0.6158,85,✓ Yes,completed
5,18,18,04-22,+106.3%,+23.17%,0.6158,85,✓ Yes,completed
5,18,17,04-22,+106.3%,+23.17%,0.6158,85,✓ Yes,completed
4,19,18,04-22,+106.3%,+23.17%,0.6158,85,✓ Yes,completed
4,19,17,04-22,+106.3%,+23.17%,0.6158,85,✓ Yes,completed
4,19,17,04-22,+106.3%,+23.17%,0.6158,85,✓ Yes,completed
9,19,18,04-23,+104.7%,+23.14%,0.6157,85,✓ Yes,completed
8,19,18,04-23,+104.7%,+23.14%,0.6157,85,✓ Yes,completed
7,19,18,04-23,+104.7%,+23.14%,0.6157,85,✓ Yes,completed
6,19,18,04-23,+104.7%,+23.14%,0.6157,85,✓ Yes,completed
5,18,18,04-23,+104.7%,+23.14%,0.6157,85,✓ Yes,completed
5,18,17,04-23,+104.7%,+23.14%,0.6157,85,✓ Yes,completed
6,19,18,04-20,+106.9%,+23.08%,0.6154,85,✓ Yes,completed
5,18,18,04-20,+106.9%,+23.08%,0.6154,85,✓ Yes,completed
5,18,17,04-20,+106.9%,+23.08%,0.6154,85,✓ Yes,completed
7,19,18,04-21,+106.7%,+22.98%,0.6149,85,✓ Yes,completed
6,19,18,04-21,+106.7%,+22.98%,0.6149,85,✓ Yes,completed
5,18,18,04-21,+106.7%,+22.98%,0.6149,85,✓ Yes,completed
5,18,17,04-21,+106.7%,+22.98%,0.6149,85,✓ Yes,completed
3,18,18,04-21,+106.7%,+22.98%,0.6149,85,✓ Yes,completed
6,19,18,04-24,+102.9%,+22.95%,0.6147,85,✓ Yes,completed
5,18,18,04-24,+102.9%,+22.95%,0.6147,85,✓ Yes,completed
5,18,17,04-24,+102.9%,+22.95%,0.6147,85,✓ Yes,completed
5,19,18,04-22,+99.4%,+22.87%,0.6143,77,✓ Yes,completed
5,19,18,04-22,+99.4%,+22.87%,0.6143,77,✓ Yes,completed
5,19,17,04-22,+99.4%,+22.87%,0.6143,77,✓ Yes,completed
5,19,18,04-23,+97.9%,+22.86%,0.6143,77,✓ Yes,completed
5,19,18,04-23,+97.9%,+22.86%,0.6143,77,✓ Yes,completed
5,19,17,04-23,+97.9%,+22.86%,0.6143,77,✓ Yes,completed
5,18,18,04-25,+101.0%,+22.83%,0.6142,85,✓ Yes,completed
5,18,17,04-25,+101.0%,+22.83%,0.6142,85,✓ Yes,completed
4,19,18,04-25,+101.0%,+22.83%,0.6142,85,✓ Yes,completed
4,19,17,04-25,+101.0%,+22.83%,0.6142,85,✓ Yes,completed
4,19,17,04-25,+101.0%,+22.83%,0.6142,85,✓ Yes,completed
3,18,18,04-27,+97.5%,+22.79%,0.6140,84,✓ Yes,completed
5,18,18,04-19,+106.7%,+22.73%,0.6137,85,✓ Yes,completed
5,18,17,04-19,+106.7%,+22.73%,0.6137,85,✓ Yes,completed
4,19,18,04-19,+106.7%,+22.73%,0.6137,85,✓ Yes,completed
4,19,17,04-19,+106.7%,+22.73%,0.6137,85,✓ Yes,completed
4,19,17,04-19,+106.7%,+22.73%,0.6137,85,✓ Yes,completed
5,18,18,04-26,+98.9%,+22.71%,0.6136,85,✓ Yes,completed
5,18,17,04-26,+98.9%,+22.71%,0.6136,85,✓ Yes,completed
5,19,18,04-24,+96.0%,+22.67%,0.6134,77,✓ Yes,completed
5,19,18,04-24,+96.0%,+22.67%,0.6134,77,✓ Yes,completed
5,19,17,04-24,+96.0%,+22.67%,0.6134,77,✓ Yes,completed
9,19,19,04-22,+93.8%,+22.67%,0.6134,101,✓ Yes,completed
9,19,18,04-22,+93.8%,+22.67%,0.6134,101,✓ Yes,completed
8,19,19,04-22,+93.8%,+22.67%,0.6134,101,✓ Yes,completed
8,19,18,04-22,+93.8%,+22.67%,0.6134,101,✓ Yes,completed
7,19,19,04-22,+93.8%,+22.67%,0.6134,101,✓ Yes,completed
7,19,18,04-22,+93.8%,+22.67%,0.6134,101,✓ Yes,completed
6,19,19,04-22,+93.8%,+22.67%,0.6134,101,✓ Yes,completed
6,19,18,04-22,+93.8%,+22.67%,0.6134,101,✓ Yes,completed
5,18,18,04-22,+93.8%,+22.67%,0.6134,101,✓ Yes,completed
4,19,19,04-22,+93.8%,+22.67%,0.6134,101,✓ Yes,completed
4,19,18,04-22,+93.8%,+22.67%,0.6134,101,✓ Yes,completed
4,19,18,04-22,+93.8%,+22.67%,0.6134,101,✓ Yes,completed
9,19,19,04-23,+92.1%,+22.64%,0.6132,101,✓ Yes,completed
9,19,18,04-23,+92.1%,+22.64%,0.6132,101,✓ Yes,completed
