Iter,θ_p,θ_r,Start,Overhead %,CO₂ Save %,Score,Pauses,Budget,Stop
7,405,396,01-03,+95.4%,+4.43%,0.5221,51,✓ Yes,completed
8,405,396,01-03,+95.4%,+4.42%,0.5221,50,✓ Yes,completed
8,405,396,01-03,+95.3%,+4.42%,0.5221,50,✓ Yes,completed
7,405,396,01-03,+95.6%,+4.42%,0.5221,51,✓ Yes,completed
8,405,396,01-03,+95.2%,+4.42%,0.5221,50,✓ Yes,completed
5,405,396,01-03,+95.2%,+4.42%,0.5221,50,✓ Yes,completed
8,405,397,01-03,+93.8%,+4.42%,0.5221,51,✓ Yes,completed
5,407,396,01-03,+93.7%,+4.42%,0.5221,45,✓ Yes,completed
6,407,394,01-03,+95.4%,+4.42%,0.5221,43,✓ Yes,completed
7,405,396,01-03,+95.7%,+4.42%,0.5221,51,✓ Yes,completed
6,405,396,01-03,+95.7%,+4.42%,0.5221,51,✓ Yes,completed
7,406,397,01-03,+91.8%,+4.42%,0.5221,50,✓ Yes,completed
6,404,396,01-03,+95.2%,+4.42%,0.5221,56,✓ Yes,completed
9,405,397,01-03,+93.7%,+4.41%,0.5221,56,✓ Yes,completed
4,405,397,01-03,+93.7%,+4.41%,0.5221,56,✓ Yes,completed
5,407,395,01-03,+95.2%,+4.41%,0.5221,43,✓ Yes,completed
9,405,396,01-03,+95.8%,+4.41%,0.5221,52,✓ Yes,completed
7,404,397,01-03,+93.7%,+4.41%,0.5221,58,✓ Yes,completed
8,404,397,01-03,+93.6%,+4.41%,0.5221,58,✓ Yes,completed
8,405,398,01-03,+91.8%,+4.41%,0.5221,54,✓ Yes,completed
5,405,398,01-03,+91.8%,+4.41%,0.5221,54,✓ Yes,completed
6,403,394,01-03,+99.1%,+4.41%,0.5221,57,✓ Yes,completed
7,405,398,01-03,+91.9%,+4.41%,0.5221,56,✓ Yes,completed
7,405,398,01-03,+91.7%,+4.41%,0.5221,56,✓ Yes,completed
6,406,396,01-03,+93.4%,+4.41%,0.5220,49,✓ Yes,completed
6,407,396,01-03,+93.9%,+4.41%,0.5220,45,✓ Yes,completed
5,404,393,01-03,+99.1%,+4.41%,0.5220,54,✓ Yes,completed
6,403,397,01-03,+95.3%,+4.41%,0.5220,63,✓ Yes,completed
6,404,393,01-03,+99.0%,+4.41%,0.5220,51,✓ Yes,completed
9,405,396,01-03,+95.9%,+4.41%,0.5220,52,✓ Yes,completed
9,405,397,01-03,+94.5%,+4.41%,0.5220,54,✓ Yes,completed
7,406,396,01-03,+94.5%,+4.41%,0.5220,48,✓ Yes,completed
6,408,394,01-03,+95.2%,+4.41%,0.5220,41,✓ Yes,completed
7,405,397,01-03,+94.2%,+4.41%,0.5220,53,✓ Yes,completed
6,405,397,01-03,+94.2%,+4.41%,0.5220,53,✓ Yes,completed
8,405,396,01-03,+94.2%,+4.41%,0.5220,51,✓ Yes,completed
7,404,399,01-03,+91.7%,+4.41%,0.5220,61,✓ Yes,completed
6,406,395,01-03,+95.8%,+4.41%,0.5220,47,✓ Yes,completed
7,405,397,01-03,+94.2%,+4.40%,0.5220,53,✓ Yes,completed
