Iter,θ_p,θ_r,Start,Overhead %,CO₂ Save %,Score,Pauses,Budget,Stop
9,396,396,01-04,+105.4%,+9.02%,0.5451,97,✓ Yes,completed
9,396,395,01-04,+105.4%,+9.02%,0.5451,97,✓ Yes,completed
9,396,395,01-04,+105.4%,+9.02%,0.5451,97,✓ Yes,completed
9,396,395,01-04,+106.4%,+9.02%,0.5451,86,✓ Yes,completed
9,396,394,01-04,+106.4%,+9.02%,0.5451,86,✓ Yes,completed
9,396,394,01-04,+106.4%,+9.02%,0.5451,86,✓ Yes,completed
9,396,394,01-04,+107.3%,+8.99%,0.5449,84,✓ Yes,completed
9,396,394,01-04,+107.3%,+8.99%,0.5449,84,✓ Yes,completed
9,396,393,01-04,+107.3%,+8.99%,0.5449,84,✓ Yes,completed
9,396,393,01-04,+108.7%,+9.07%,0.5453,74,✓ Yes,completed
9,396,393,01-04,+108.7%,+9.07%,0.5453,74,✓ Yes,completed
9,396,392,01-04,+108.7%,+9.07%,0.5453,74,✓ Yes,completed
9,396,392,01-04,+109.2%,+9.06%,0.5453,73,✓ Yes,completed
9,396,392,01-04,+109.2%,+9.06%,0.5453,73,✓ Yes,completed
9,396,391,01-04,+109.2%,+9.06%,0.5453,73,✓ Yes,completed
9,396,391,01-04,+109.2%,+9.06%,0.5453,73,✓ Yes,completed
9,396,391,01-04,+110.2%,+9.18%,0.5459,69,✓ Yes,completed
9,396,390,01-04,+110.2%,+9.18%,0.5459,69,✓ Yes,completed
9,396,390,01-04,+110.2%,+9.18%,0.5459,69,✓ Yes,completed
9,396,390,01-04,+111.2%,+9.22%,0.5461,69,✓ Yes,completed
9,396,390,01-04,+111.2%,+9.22%,0.5461,69,✓ Yes,completed
9,396,389,01-04,+111.2%,+9.22%,0.5461,69,✓ Yes,completed
9,396,389,01-04,+111.9%,+9.30%,0.5465,69,✓ Yes,completed
9,396,389,01-04,+111.9%,+9.30%,0.5465,69,✓ Yes,completed
9,396,388,01-04,+111.9%,+9.30%,0.5465,69,✓ Yes,completed
9,396,388,01-04,+112.7%,+9.31%,0.5465,68,✓ Yes,completed
9,396,388,01-04,+112.7%,+9.31%,0.5465,68,✓ Yes,completed
9,396,387,01-04,+112.7%,+9.31%,0.5465,68,✓ Yes,completed
9,396,387,01-04,+112.7%,+9.31%,0.5465,68,✓ Yes,completed
9,396,387,01-04,+113.2%,+9.31%,0.5466,67,✓ Yes,completed
9,396,386,01-04,+113.2%,+9.31%,0.5466,67,✓ Yes,completed
9,396,386,01-04,+113.2%,+9.31%,0.5466,67,✓ Yes,completed
9,396,386,01-04,+113.8%,+9.34%,0.5467,66,✓ Yes,completed
9,396,386,01-04,+113.8%,+9.34%,0.5467,66,✓ Yes,completed
9,396,396,01-03,+107.3%,+9.15%,0.5458,97,✓ Yes,completed
9,396,395,01-03,+107.3%,+9.15%,0.5458,97,✓ Yes,completed
9,396,395,01-03,+107.3%,+9.15%,0.5458,97,✓ Yes,completed
9,396,395,01-03,+108.3%,+9.15%,0.5458,86,✓ Yes,completed
9,396,394,01-03,+108.3%,+9.15%,0.5458,86,✓ Yes,completed
9,396,394,01-03,+108.3%,+9.15%,0.5458,86,✓ Yes,completed
9,396,394,01-03,+109.2%,+9.12%,0.5456,84,✓ Yes,completed
