Iter,θ_p,θ_r,Start,Overhead %,CO₂ Save %,Score,Pauses,Budget,Stop
8,566,553,01-02,+24.3%,+1.42%,0.5071,253,✓ Yes,completed
9,566,554,01-02,+23.8%,+1.42%,0.5071,259,✓ Yes,completed
9,566,554,01-02,+23.8%,+1.42%,0.5071,259,✓ Yes,completed
7,566,554,01-02,+23.8%,+1.42%,0.5071,259,✓ Yes,completed
8,566,554,01-02,+23.9%,+1.42%,0.5071,255,✓ Yes,completed
8,565,555,01-02,+24.1%,+1.42%,0.5071,270,✓ Yes,completed
8,566,554,01-02,+23.9%,+1.42%,0.5071,255,✓ Yes,completed
8,565,554,01-02,+24.1%,+1.42%,0.5071,270,✓ Yes,completed
8,565,554,01-02,+24.1%,+1.42%,0.5071,270,✓ Yes,completed
8,566,553,01-02,+24.2%,+1.42%,0.5071,255,✓ Yes,completed
9,566,554,01-02,+23.9%,+1.42%,0.5071,257,✓ Yes,completed
6,566,555,01-02,+23.9%,+1.42%,0.5071,263,✓ Yes,completed
6,566,553,01-02,+24.2%,+1.42%,0.5071,261,✓ Yes,completed
8,565,554,01-02,+24.2%,+1.42%,0.5071,268,✓ Yes,completed
9,566,554,01-02,+24.0%,+1.42%,0.5071,257,✓ Yes,completed
7,566,554,01-02,+24.0%,+1.42%,0.5071,257,✓ Yes,completed
9,566,553,01-02,+24.3%,+1.42%,0.5071,255,✓ Yes,completed
8,565,556,01-02,+23.9%,+1.42%,0.5071,276,✓ Yes,completed
7,565,556,01-02,+24.1%,+1.42%,0.5071,284,✓ Yes,completed
5,565,556,01-02,+24.1%,+1.42%,0.5071,284,✓ Yes,completed
8,565,553,01-02,+24.5%,+1.42%,0.5071,268,✓ Yes,completed
8,565,555,01-02,+24.0%,+1.42%,0.5071,272,✓ Yes,completed
7,565,555,01-02,+24.3%,+1.42%,0.5071,279,✓ Yes,completed
8,565,555,01-02,+23.9%,+1.42%,0.5071,272,✓ Yes,completed
4,567,552,01-01,+24.3%,+1.42%,0.5071,252,✓ Yes,completed
8,565,554,01-02,+24.2%,+1.42%,0.5071,268,✓ Yes,completed
8,564,557,01-02,+24.1%,+1.42%,0.5071,295,✓ Yes,completed
8,564,556,01-02,+24.1%,+1.42%,0.5071,294,✓ Yes,completed
6,567,551,01-02,+24.0%,+1.42%,0.5071,239,✓ Yes,completed
7,565,554,01-02,+24.5%,+1.42%,0.5071,275,✓ Yes,completed
6,566,552,01-02,+24.6%,+1.42%,0.5071,256,✓ Yes,completed
9,566,553,01-02,+24.2%,+1.42%,0.5071,257,✓ Yes,completed
7,566,553,01-02,+24.2%,+1.42%,0.5071,257,✓ Yes,completed
8,564,555,01-02,+24.6%,+1.42%,0.5071,285,✓ Yes,completed
6,567,552,01-02,+23.9%,+1.42%,0.5071,242,✓ Yes,completed
8,564,556,01-02,+24.2%,+1.42%,0.5071,292,✓ Yes,completed
6,564,556,01-02,+24.2%,+1.42%,0.5071,292,✓ Yes,completed
7,566,552,01-02,+24.5%,+1.42%,0.5071,252,✓ Yes,completed
9,567,553,01-02,+23.9%,+1.42%,0.5071,248,✓ Yes,completed
7,567,553,01-02,+23.9%,+1.42%,0.5071,248,✓ Yes,completed
7,564,556,01-02,+24.5%,+1.42%,0.5071,296,✓ Yes,completed
7,565,554,01-02,+24.4%,+1.42%,0.5071,277,✓ Yes,completed
7,564,556,01-02,+24.3%,+1.42%,0.5071,299,✓ Yes,completed
7,567,552,01-02,+24.0%,+1.42%,0.5071,247,✓ Yes,completed
6,566,551,01-02,+24.8%,+1.42%,0.5071,249,✓ Yes,completed
9,566,555,01-02,+23.8%,+1.42%,0.5071,261,✓ Yes,completed
