Iter,θ_p,θ_r,Start,Overhead %,CO₂ Save %,Score,Pauses,Budget,Stop
8,537,522,01-02,+40.1%,+2.39%,0.5120,522,✓ Yes,completed
8,537,522,01-02,+40.1%,+2.39%,0.5120,522,✓ Yes,completed
8,537,521,01-02,+40.1%,+2.39%,0.5120,522,✓ Yes,completed
8,537,521,01-02,+40.1%,+2.39%,0.5120,522,✓ Yes,completed
7,538,522,01-02,+40.1%,+2.39%,0.5120,522,✓ Yes,completed
7,538,521,01-02,+40.1%,+2.39%,0.5120,522,✓ Yes,completed
7,538,521,01-02,+40.1%,+2.39%,0.5120,522,✓ Yes,completed
6,537,521,01-02,+40.1%,+2.39%,0.5120,522,✓ Yes,completed
9,537,525,01-02,+40.0%,+2.39%,0.5119,581,✓ Yes,completed
9,537,525,01-02,+40.0%,+2.39%,0.5119,581,✓ Yes,completed
9,537,524,01-02,+40.0%,+2.39%,0.5119,581,✓ Yes,completed
8,536,525,01-02,+40.0%,+2.39%,0.5119,581,✓ Yes,completed
8,536,524,01-02,+40.0%,+2.39%,0.5119,581,✓ Yes,completed
8,536,524,01-02,+40.0%,+2.39%,0.5119,581,✓ Yes,completed
7,537,525,01-02,+40.0%,+2.39%,0.5119,581,✓ Yes,completed
7,537,524,01-02,+40.0%,+2.39%,0.5119,581,✓ Yes,completed
7,537,524,01-02,+40.0%,+2.39%,0.5119,581,✓ Yes,completed
6,536,525,01-02,+40.0%,+2.39%,0.5119,581,✓ Yes,completed
6,536,524,01-02,+40.0%,+2.39%,0.5119,581,✓ Yes,completed
5,536,524,01-02,+40.0%,+2.39%,0.5119,581,✓ Yes,completed
9,537,525,01-03,+39.9%,+2.39%,0.5119,580,✓ Yes,completed
9,537,525,01-03,+39.9%,+2.39%,0.5119,580,✓ Yes,completed
9,537,524,01-03,+39.9%,+2.39%,0.5119,580,✓ Yes,completed
8,536,525,01-03,+39.9%,+2.39%,0.5119,580,✓ Yes,completed
8,536,524,01-03,+39.9%,+2.39%,0.5119,580,✓ Yes,completed
8,536,524,01-03,+39.9%,+2.39%,0.5119,580,✓ Yes,completed
7,537,525,01-03,+39.9%,+2.39%,0.5119,580,✓ Yes,completed
7,537,524,01-03,+39.9%,+2.39%,0.5119,580,✓ Yes,completed
7,537,524,01-03,+39.9%,+2.39%,0.5119,580,✓ Yes,completed
6,536,525,01-03,+39.9%,+2.39%,0.5119,580,✓ Yes,completed
6,536,524,01-03,+39.9%,+2.39%,0.5119,580,✓ Yes,completed
5,536,524,01-03,+39.9%,+2.39%,0.5119,580,✓ Yes,completed
8,537,523,01-02,+39.7%,+2.39%,0.5119,530,✓ Yes,completed
8,537,523,01-02,+39.7%,+2.39%,0.5119,530,✓ Yes,completed
8,537,522,01-02,+39.7%,+2.39%,0.5119,530,✓ Yes,completed
7,538,523,01-02,+39.7%,+2.39%,0.5119,530,✓ Yes,completed
7,538,523,01-02,+39.7%,+2.39%,0.5119,530,✓ Yes,completed
7,538,522,01-02,+39.7%,+2.39%,0.5119,530,✓ Yes,completed
7,538,522,01-02,+39.7%,+2.39%,0.5119,530,✓ Yes,completed
6,537,523,01-02,+39.7%,+2.39%,0.5119,530,✓ Yes,completed
6,537,522,01-02,+39.7%,+2.39%,0.5119,530,✓ Yes,completed
5,538,523,01-02,+39.7%,+2.39%,0.5119,530,✓ Yes,completed
5,533,520,01-02,+45.4%,+2.39%,0.5119,608,✓ Yes,completed
8,537,522,01-03,+40.0%,+2.39%,0.5119,521,✓ Yes,completed
8,537,522,01-03,+40.0%,+2.39%,0.5119,521,✓ Yes,completed
8,537,521,01-03,+40.0%,+2.39%,0.5119,521,✓ Yes,completed
8,537,521,01-03,+40.0%,+2.39%,0.5119,521,✓ Yes,completed
7,538,522,01-03,+40.0%,+2.39%,0.5119,521,✓ Yes,completed
7,538,521,01-03,+40.0%,+2.39%,0.5119,521,✓ Yes,completed
