Iter,θ_p,θ_r,Start,Overhead %,CO₂ Save %,Score,Pauses,Budget,Stop
9,267,262,12-31,+199.4%,+27.47%,0.6373,887,✓ Yes,completed
9,267,262,12-31,+199.4%,+27.47%,0.6373,887,✓ Yes,completed
8,268,262,12-31,+199.4%,+27.47%,0.6373,887,✓ Yes,completed
8,268,262,12-31,+199.4%,+27.47%,0.6373,887,✓ Yes,completed
8,268,261,12-31,+199.4%,+27.47%,0.6373,887,✓ Yes,completed
7,267,262,12-31,+199.4%,+27.47%,0.6373,887,✓ Yes,completed
7,267,261,12-31,+199.4%,+27.47%,0.6373,887,✓ Yes,completed
7,267,261,12-31,+199.4%,+27.47%,0.6373,887,✓ Yes,completed
6,268,262,12-31,+199.4%,+27.47%,0.6373,887,✓ Yes,completed
6,268,261,12-31,+199.4%,+27.47%,0.6373,887,✓ Yes,completed
6,271,260,12-31,+199.4%,+27.45%,0.6373,858,✓ Yes,completed
6,271,259,12-31,+199.4%,+27.45%,0.6373,858,✓ Yes,completed
8,267,263,12-31,+199.2%,+27.44%,0.6372,901,✓ Yes,completed
8,267,262,12-31,+199.2%,+27.44%,0.6372,901,✓ Yes,completed
8,267,262,12-31,+199.2%,+27.44%,0.6372,901,✓ Yes,completed
7,266,263,12-31,+199.2%,+27.44%,0.6372,901,✓ Yes,completed
7,266,263,12-31,+199.2%,+27.44%,0.6372,901,✓ Yes,completed
7,266,262,12-31,+199.2%,+27.44%,0.6372,901,✓ Yes,completed
6,267,263,12-31,+199.2%,+27.44%,0.6372,901,✓ Yes,completed
6,267,262,12-31,+199.2%,+27.44%,0.6372,901,✓ Yes,completed
6,270,261,12-31,+199.2%,+27.43%,0.6371,880,✓ Yes,completed
5,270,260,12-31,+199.2%,+27.43%,0.6371,880,✓ Yes,completed
5,265,265,12-31,+199.3%,+27.43%,0.6371,997,✓ Yes,completed
6,272,258,12-31,+199.3%,+27.42%,0.6371,851,✓ Yes,completed
5,271,259,12-31,+199.3%,+27.42%,0.6371,851,✓ Yes,completed
7,268,262,12-31,+199.1%,+27.41%,0.6371,886,✓ Yes,completed
7,268,261,12-31,+199.1%,+27.41%,0.6371,886,✓ Yes,completed
7,268,261,12-31,+199.1%,+27.41%,0.6371,886,✓ Yes,completed
6,269,261,12-31,+199.1%,+27.41%,0.6371,886,✓ Yes,completed
5,268,262,12-31,+199.1%,+27.41%,0.6371,886,✓ Yes,completed
4,269,261,12-31,+199.1%,+27.41%,0.6371,886,✓ Yes,completed
5,276,254,12-31,+199.4%,+27.41%,0.6370,812,✓ Yes,completed
5,273,257,12-31,+199.2%,+27.40%,0.6370,839,✓ Yes,completed
9,267,263,12-31,+198.9%,+27.40%,0.6370,892,✓ Yes,completed
9,267,263,12-31,+198.9%,+27.40%,0.6370,892,✓ Yes,completed
9,267,262,12-31,+198.9%,+27.40%,0.6370,892,✓ Yes,completed
8,268,263,12-31,+198.9%,+27.40%,0.6370,892,✓ Yes,completed
8,268,263,12-31,+198.9%,+27.40%,0.6370,892,✓ Yes,completed
8,268,262,12-31,+198.9%,+27.40%,0.6370,892,✓ Yes,completed
7,267,263,12-31,+198.9%,+27.40%,0.6370,892,✓ Yes,completed
7,267,263,12-31,+198.9%,+27.40%,0.6370,892,✓ Yes,completed
7,267,262,12-31,+198.9%,+27.40%,0.6370,892,✓ Yes,completed
7,267,262,12-31,+198.9%,+27.40%,0.6370,892,✓ Yes,completed
6,268,263,12-31,+198.9%,+27.40%,0.6370,892,✓ Yes,completed
8,267,264,12-31,+198.7%,+27.40%,0.6370,905,✓ Yes,completed
8,267,263,12-31,+198.7%,+27.40%,0.6370,905,✓ Yes,completed
8,267,263,12-31,+198.7%,+27.40%,0.6370,905,✓ Yes,completed
7,266,264,12-31,+198.7%,+27.40%,0.6370,905,✓ Yes,completed
7,266,264,12-31,+198.7%,+27.40%,0.6370,905,✓ Yes,completed
7,266,263,12-31,+198.7%,+27.40%,0.6370,905,✓ Yes,completed
6,267,264,12-31,+198.7%,+27.40%,0.6370,905,✓ Yes,completed
5,267,263,12-31,+198.7%,+27.40%,0.6370,905,✓ Yes,completed
6,272,260,12-31,+198.9%,+27.39%,0.6370,852,✓ Yes,completed
6,272,259,12-31,+198.9%,+27.39%,0.6370,852,✓ Yes,completed
6,273,258,12-31,+199.1%,+27.39%,0.6370,850,✓ Yes,completed
4,269,261,12-30,+199.3%,+27.38%,0.6369,888,✓ Yes,completed
5,275,257,12-31,+198.8%,+27.38%,0.6369,830,✓ Yes,completed
6,271,260,12-31,+198.7%,+27.38%,0.6369,865,✓ Yes,completed
6,270,262,12-31,+198.5%,+27.37%,0.6369,879,✓ Yes,completed
6,270,261,12-31,+198.5%,+27.37%,0.6369,879,✓ Yes,completed
5,270,262,12-31,+198.5%,+27.37%,0.6369,879,✓ Yes,completed
9,267,264,12-31,+198.4%,+27.37%,0.6368,894,✓ Yes,completed
9,267,263,12-31,+198.4%,+27.37%,0.6368,894,✓ Yes,completed
9,267,263,12-31,+198.4%,+27.37%,0.6368,894,✓ Yes,completed
8,268,264,12-31,+198.4%,+27.37%,0.6368,894,✓ Yes,completed
8,268,263,12-31,+198.4%,+27.37%,0.6368,894,✓ Yes,completed
8,268,263,12-31,+198.4%,+27.37%,0.6368,894,✓ Yes,completed
7,267,264,12-31,+198.4%,+27.37%,0.6368,894,✓ Yes,completed
7,267,264,12-31,+198.4%,+27.37%,0.6368,894,✓ Yes,completed
7,267,263,12-31,+198.4%,+27.37%,0.6368,894,✓ Yes,completed
6,268,263,12-31,+198.4%,+27.37%,0.6368,894,✓ Yes,completed
8,267,265,12-31,+198.4%,+27.36%,0.6368,911,✓ Yes,completed
8,267,265,12-31,+198.4%,+27.36%,0.6368,911,✓ Yes,completed
8,267,264,12-31,+198.4%,+27.36%,0.6368,911,✓ Yes,completed
8,267,264,12-31,+198.4%,+27.36%,0.6368,911,✓ Yes,completed
7,266,265,12-31,+198.4%,+27.36%,0.6368,911,✓ Yes,completed
7,266,264,12-31,+198.4%,+27.36%,0.6368,911,✓ Yes,completed
7,266,264,12-31,+198.4%,+27.36%,0.6368,911,✓ Yes,completed
6,267,264,12-31,+198.4%,+27.36%,0.6368,911,✓ Yes,completed
