Iter,θ_p,θ_r,Start,Overhead %,CO₂ Save %,Score,Pauses,Budget,Stop
9,281,274,01-01,+122.1%,+16.28%,0.5814,1.029,✓ Yes,completed
9,281,273,01-01,+122.1%,+16.28%,0.5814,1.029,✓ Yes,completed
8,282,274,01-01,+122.1%,+16.28%,0.5814,1.029,✓ Yes,completed
8,282,273,01-01,+122.1%,+16.28%,0.5814,1.029,✓ Yes,completed
8,282,273,01-01,+122.1%,+16.28%,0.5814,1.029,✓ Yes,completed
7,281,274,01-01,+122.1%,+16.28%,0.5814,1.029,✓ Yes,completed
7,281,274,01-01,+122.1%,+16.28%,0.5814,1.029,✓ Yes,completed
7,281,273,01-01,+122.1%,+16.28%,0.5814,1.029,✓ Yes,completed
6,282,274,01-01,+122.1%,+16.28%,0.5814,1.029,✓ Yes,completed
6,282,273,01-01,+122.1%,+16.28%,0.5814,1.029,✓ Yes,completed
7,282,273,01-01,+122.2%,+16.27%,0.5813,1.008,✓ Yes,completed
7,282,273,01-01,+122.2%,+16.27%,0.5813,1.008,✓ Yes,completed
7,282,272,01-01,+122.2%,+16.27%,0.5813,1.008,✓ Yes,completed
6,283,273,01-01,+122.2%,+16.27%,0.5813,1.008,✓ Yes,completed
6,283,272,01-01,+122.2%,+16.27%,0.5813,1.008,✓ Yes,completed
5,283,273,01-01,+122.2%,+16.27%,0.5813,1.008,✓ Yes,completed
6,284,272,01-01,+122.5%,+16.27%,0.5813,986,✓ Yes,completed
6,286,271,01-01,+122.4%,+16.25%,0.5813,946,✓ Yes,completed
6,286,270,01-01,+122.4%,+16.25%,0.5813,946,✓ Yes,completed
5,286,269,01-01,+122.2%,+16.24%,0.5812,930,✓ Yes,completed
8,281,274,01-01,+123.2%,+16.24%,0.5812,1.069,✓ Yes,completed
8,281,273,01-01,+123.2%,+16.24%,0.5812,1.069,✓ Yes,completed
8,281,273,01-01,+123.2%,+16.24%,0.5812,1.069,✓ Yes,completed
7,280,274,01-01,+123.2%,+16.24%,0.5812,1.069,✓ Yes,completed
7,280,274,01-01,+123.2%,+16.24%,0.5812,1.069,✓ Yes,completed
7,280,273,01-01,+123.2%,+16.24%,0.5812,1.069,✓ Yes,completed
6,281,274,01-01,+123.2%,+16.24%,0.5812,1.069,✓ Yes,completed
6,285,272,01-01,+121.9%,+16.24%,0.5812,970,✓ Yes,completed
7,281,273,01-01,+123.4%,+16.24%,0.5812,1.027,✓ Yes,completed
7,281,273,01-01,+123.4%,+16.24%,0.5812,1.027,✓ Yes,completed
7,281,272,01-01,+123.4%,+16.24%,0.5812,1.027,✓ Yes,completed
6,282,272,01-01,+123.4%,+16.24%,0.5812,1.027,✓ Yes,completed
5,281,273,01-01,+123.4%,+16.24%,0.5812,1.027,✓ Yes,completed
6,280,276,01-01,+122.0%,+16.23%,0.5812,1.167,✓ Yes,completed
6,280,275,01-01,+122.0%,+16.23%,0.5812,1.167,✓ Yes,completed
6,285,271,01-01,+123.4%,+16.23%,0.5812,962,✓ Yes,completed
6,285,270,01-01,+123.4%,+16.23%,0.5812,962,✓ Yes,completed
5,285,271,01-01,+123.4%,+16.23%,0.5812,962,✓ Yes,completed
8,281,275,01-01,+121.9%,+16.22%,0.5811,1.096,✓ Yes,completed
8,281,275,01-01,+121.9%,+16.22%,0.5811,1.096,✓ Yes,completed
8,281,274,01-01,+121.9%,+16.22%,0.5811,1.096,✓ Yes,completed
8,281,274,01-01,+121.9%,+16.22%,0.5811,1.096,✓ Yes,completed
7,280,275,01-01,+121.9%,+16.22%,0.5811,1.096,✓ Yes,completed
7,280,275,01-01,+121.9%,+16.22%,0.5811,1.096,✓ Yes,completed
7,280,274,01-01,+121.9%,+16.22%,0.5811,1.096,✓ Yes,completed
6,281,274,01-01,+121.9%,+16.22%,0.5811,1.096,✓ Yes,completed
6,280,275,01-01,+123.4%,+16.21%,0.5811,1.155,✓ Yes,completed
5,280,275,01-01,+123.4%,+16.21%,0.5811,1.155,✓ Yes,completed
4,279,275,01-01,+123.2%,+16.20%,0.5810,1.216,✓ Yes,completed
5,278,276,01-01,+121.9%,+16.20%,0.5810,1.243,✓ Yes,completed
7,282,274,01-01,+121.7%,+16.18%,0.5809,1.015,✓ Yes,completed
7,282,274,01-01,+121.7%,+16.18%,0.5809,1.015,✓ Yes,completed
7,282,273,01-01,+121.7%,+16.18%,0.5809,1.015,✓ Yes,completed
6,283,274,01-01,+121.7%,+16.18%,0.5809,1.015,✓ Yes,completed
6,284,273,01-01,+121.7%,+16.18%,0.5809,998,✓ Yes,completed
6,284,272,01-01,+121.7%,+16.18%,0.5809,998,✓ Yes,completed
6,281,272,01-01,+126.7%,+16.17%,0.5809,1.047,✓ Yes,completed
5,286,271,01-01,+121.7%,+16.17%,0.5808,932,✓ Yes,completed
4,286,271,01-01,+121.7%,+16.17%,0.5808,932,✓ Yes,completed
6,280,272,01-01,+126.7%,+16.16%,0.5808,1.110,✓ Yes,completed
5,280,273,01-01,+126.7%,+16.16%,0.5808,1.110,✓ Yes,completed
6,286,274,01-01,+119.0%,+16.16%,0.5808,965,✓ Yes,completed
6,282,271,01-01,+127.3%,+16.15%,0.5808,998,✓ Yes,completed
6,282,270,01-01,+127.3%,+16.15%,0.5808,998,✓ Yes,completed
3,284,268,01-01,+126.7%,+16.15%,0.5808,955,✓ Yes,completed
6,283,270,01-01,+127.1%,+16.15%,0.5808,985,✓ Yes,completed
5,283,269,01-01,+127.1%,+16.15%,0.5808,985,✓ Yes,completed
6,286,272,01-01,+121.6%,+16.15%,0.5807,956,✓ Yes,completed
9,281,277,01-01,+119.0%,+16.15%,0.5807,1.086,✓ Yes,completed
9,281,277,01-01,+119.0%,+16.15%,0.5807,1.086,✓ Yes,completed
9,281,276,01-01,+119.0%,+16.15%,0.5807,1.086,✓ Yes,completed
8,282,277,01-01,+119.0%,+16.15%,0.5807,1.086,✓ Yes,completed
8,282,277,01-01,+119.0%,+16.15%,0.5807,1.086,✓ Yes,completed
8,282,276,01-01,+119.0%,+16.15%,0.5807,1.086,✓ Yes,completed
7,281,277,01-01,+119.0%,+16.15%,0.5807,1.086,✓ Yes,completed
7,281,276,01-01,+119.0%,+16.15%,0.5807,1.086,✓ Yes,completed
7,281,276,01-01,+119.0%,+16.15%,0.5807,1.086,✓ Yes,completed
6,282,277,01-01,+119.0%,+16.15%,0.5807,1.086,✓ Yes,completed
5,281,276,01-01,+119.0%,+16.15%,0.5807,1.086,✓ Yes,completed
4,286,275,01-01,+115.9%,+16.14%,0.5807,953,✓ Yes,completed
6,285,276,01-01,+115.9%,+16.14%,0.5807,1.007,✓ Yes,completed
5,285,277,01-01,+115.9%,+16.14%,0.5807,1.007,✓ Yes,completed
3,284,276,01-01,+115.9%,+16.14%,0.5807,1.007,✓ Yes,completed
6,284,270,01-01,+126.5%,+16.14%,0.5807,975,✓ Yes,completed
5,286,272,01-01,+119.2%,+16.13%,0.5807,947,✓ Yes,completed
6,286,275,01-01,+117.3%,+16.13%,0.5807,977,✓ Yes,completed
6,286,274,01-01,+117.3%,+16.13%,0.5807,977,✓ Yes,completed
6,284,276,01-01,+118.3%,+16.13%,0.5806,1.027,✓ Yes,completed
5,286,274,01-01,+117.7%,+16.13%,0.5806,945,✓ Yes,completed
6,281,271,01-01,+128.2%,+16.13%,0.5806,1.029,✓ Yes,completed
6,281,270,01-01,+128.2%,+16.13%,0.5806,1.029,✓ Yes,completed
6,286,276,01-01,+116.1%,+16.13%,0.5806,981,✓ Yes,completed
6,285,275,01-01,+118.3%,+16.13%,0.5806,996,✓ Yes,completed
6,285,274,01-01,+118.3%,+16.13%,0.5806,996,✓ Yes,completed
7,282,276,01-01,+119.4%,+16.12%,0.5806,1.044,✓ Yes,completed
7,282,276,01-01,+119.4%,+16.12%,0.5806,1.044,✓ Yes,completed
7,282,275,01-01,+119.4%,+16.12%,0.5806,1.044,✓ Yes,completed
7,282,275,01-01,+119.4%,+16.12%,0.5806,1.044,✓ Yes,completed
6,283,276,01-01,+119.4%,+16.12%,0.5806,1.044,✓ Yes,completed
6,283,275,01-01,+119.4%,+16.12%,0.5806,1.044,✓ Yes,completed
9,281,276,01-01,+120.4%,+16.12%,0.5806,1.065,✓ Yes,completed
9,281,276,01-01,+120.4%,+16.12%,0.5806,1.065,✓ Yes,completed
9,281,275,01-01,+120.4%,+16.12%,0.5806,1.065,✓ Yes,completed
9,281,275,01-01,+120.4%,+16.12%,0.5806,1.065,✓ Yes,completed
8,282,276,01-01,+120.4%,+16.12%,0.5806,1.065,✓ Yes,completed
8,282,276,01-01,+120.4%,+16.12%,0.5806,1.065,✓ Yes,completed
8,282,275,01-01,+120.4%,+16.12%,0.5806,1.065,✓ Yes,completed
7,281,276,01-01,+120.4%,+16.12%,0.5806,1.065,✓ Yes,completed
7,281,275,01-01,+120.4%,+16.12%,0.5806,1.065,✓ Yes,completed
7,281,275,01-01,+120.4%,+16.12%,0.5806,1.065,✓ Yes,completed
6,282,276,01-01,+120.4%,+16.12%,0.5806,1.065,✓ Yes,completed
6,282,275,01-01,+120.4%,+16.12%,0.5806,1.065,✓ Yes,completed
9,281,275,01-01,+121.4%,+16.12%,0.5806,1.061,✓ Yes,completed
9,281,274,01-01,+121.4%,+16.12%,0.5806,1.061,✓ Yes,completed
9,281,274,01-01,+121.4%,+16.12%,0.5806,1.061,✓ Yes,completed
8,282,275,01-01,+121.4%,+16.12%,0.5806,1.061,✓ Yes,completed
8,282,275,01-01,+121.4%,+16.12%,0.5806,1.061,✓ Yes,completed
8,282,274,01-01,+121.4%,+16.12%,0.5806,1.061,✓ Yes,completed
8,282,274,01-01,+121.4%,+16.12%,0.5806,1.061,✓ Yes,completed
7,281,275,01-01,+121.4%,+16.12%,0.5806,1.061,✓ Yes,completed
7,281,275,01-01,+121.4%,+16.12%,0.5806,1.061,✓ Yes,completed
7,281,274,01-01,+121.4%,+16.12%,0.5806,1.061,✓ Yes,completed
6,282,274,01-01,+121.4%,+16.12%,0.5806,1.061,✓ Yes,completed
5,281,275,01-01,+121.4%,+16.12%,0.5806,1.061,✓ Yes,completed
6,280,277,01-01,+121.5%,+16.12%,0.5806,1.199,✓ Yes,completed
5,280,276,01-01,+121.5%,+16.12%,0.5806,1.199,✓ Yes,completed
6,282,270,01-01,+128.4%,+16.12%,0.5806,1.001,✓ Yes,completed
5,281,269,01-01,+128.4%,+16.12%,0.5806,1.001,✓ Yes,completed
7,282,275,01-01,+120.5%,+16.12%,0.5806,1.040,✓ Yes,completed
7,282,274,01-01,+120.5%,+16.12%,0.5806,1.040,✓ Yes,completed
7,282,274,01-01,+120.5%,+16.12%,0.5806,1.040,✓ Yes,completed
6,283,274,01-01,+120.5%,+16.12%,0.5806,1.040,✓ Yes,completed
5,283,274,01-01,+120.5%,+16.12%,0.5806,1.040,✓ Yes,completed
4,282,275,01-01,+120.5%,+16.12%,0.5806,1.040,✓ Yes,completed
6,286,273,01-01,+120.5%,+16.12%,0.5806,964,✓ Yes,completed
6,286,272,01-01,+120.5%,+16.12%,0.5806,964,✓ Yes,completed
6,283,271,01-01,+126.5%,+16.12%,0.5806,984,✓ Yes,completed
6,283,270,01-01,+126.5%,+16.12%,0.5806,984,✓ Yes,completed
7,282,277,01-01,+118.1%,+16.12%,0.5806,1.054,✓ Yes,completed
7,282,277,01-01,+118.1%,+16.12%,0.5806,1.054,✓ Yes,completed
7,282,276,01-01,+118.1%,+16.12%,0.5806,1.054,✓ Yes,completed
6,283,276,01-01,+118.1%,+16.12%,0.5806,1.054,✓ Yes,completed
5,283,276,01-01,+118.1%,+16.12%,0.5806,1.054,✓ Yes,completed
8,281,278,01-01,+118.6%,+16.11%,0.5806,1.153,✓ Yes,completed
8,281,278,01-01,+118.6%,+16.11%,0.5806,1.153,✓ Yes,completed
8,281,277,01-01,+118.6%,+16.11%,0.5806,1.153,✓ Yes,completed
7,280,278,01-01,+118.6%,+16.11%,0.5806,1.153,✓ Yes,completed
7,280,278,01-01,+118.6%,+16.11%,0.5806,1.153,✓ Yes,completed
7,280,277,01-01,+118.6%,+16.11%,0.5806,1.153,✓ Yes,completed
6,281,278,01-01,+118.6%,+16.11%,0.5806,1.153,✓ Yes,completed
6,281,277,01-01,+118.6%,+16.11%,0.5806,1.153,✓ Yes,completed
6,280,272,01-01,+128.2%,+16.11%,0.5806,1.093,✓ Yes,completed
5,280,271,01-01,+128.2%,+16.11%,0.5806,1.093,✓ Yes,completed
9,281,278,01-01,+117.4%,+16.11%,0.5806,1.113,✓ Yes,completed
9,281,278,01-01,+117.4%,+16.11%,0.5806,1.113,✓ Yes,completed
9,281,277,01-01,+117.4%,+16.11%,0.5806,1.113,✓ Yes,completed
8,282,278,01-01,+117.4%,+16.11%,0.5806,1.113,✓ Yes,completed
8,282,278,01-01,+117.4%,+16.11%,0.5806,1.113,✓ Yes,completed
8,282,277,01-01,+117.4%,+16.11%,0.5806,1.113,✓ Yes,completed
7,281,278,01-01,+117.4%,+16.11%,0.5806,1.113,✓ Yes,completed
7,281,278,01-01,+117.4%,+16.11%,0.5806,1.113,✓ Yes,completed
7,281,277,01-01,+117.4%,+16.11%,0.5806,1.113,✓ Yes,completed
7,281,277,01-01,+117.4%,+16.11%,0.5806,1.113,✓ Yes,completed
6,282,277,01-01,+117.4%,+16.11%,0.5806,1.113,✓ Yes,completed
5,281,278,01-01,+117.4%,+16.11%,0.5806,1.113,✓ Yes,completed
6,284,275,01-01,+119.6%,+16.11%,0.5806,1.024,✓ Yes,completed
6,284,274,01-01,+119.6%,+16.11%,0.5806,1.024,✓ Yes,completed
6,283,272,01-01,+124.9%,+16.11%,0.5806,1.003,✓ Yes,completed
5,283,271,01-01,+124.9%,+16.11%,0.5806,1.003,✓ Yes,completed
4,282,271,01-01,+124.9%,+16.11%,0.5806,1.003,✓ Yes,completed
6,284,279,01-01,+114.2%,+16.11%,0.5805,1.059,✓ Yes,completed
6,284,278,01-01,+114.2%,+16.11%,0.5805,1.059,✓ Yes,completed
6,285,273,01-01,+121.3%,+16.11%,0.5805,983,✓ Yes,completed
6,285,272,01-01,+121.3%,+16.11%,0.5805,983,✓ Yes,completed
5,285,272,01-01,+121.3%,+16.11%,0.5805,983,✓ Yes,completed
9,281,279,01-01,+116.1%,+16.11%,0.5805,1.120,✓ Yes,completed
9,281,278,01-01,+116.1%,+16.11%,0.5805,1.120,✓ Yes,completed
9,281,278,01-01,+116.1%,+16.11%,0.5805,1.120,✓ Yes,completed
8,282,279,01-01,+116.1%,+16.11%,0.5805,1.120,✓ Yes,completed
8,282,278,01-01,+116.1%,+16.11%,0.5805,1.120,✓ Yes,completed
8,282,278,01-01,+116.1%,+16.11%,0.5805,1.120,✓ Yes,completed
7,281,279,01-01,+116.1%,+16.11%,0.5805,1.120,✓ Yes,completed
7,281,279,01-01,+116.1%,+16.11%,0.5805,1.120,✓ Yes,completed
7,281,278,01-01,+116.1%,+16.11%,0.5805,1.120,✓ Yes,completed
6,282,279,01-01,+116.1%,+16.11%,0.5805,1.120,✓ Yes,completed
6,282,278,01-01,+116.1%,+16.11%,0.5805,1.120,✓ Yes,completed
6,285,274,01-01,+120.1%,+16.11%,0.5805,985,✓ Yes,completed
5,285,274,01-01,+120.1%,+16.11%,0.5805,985,✓ Yes,completed
8,281,277,01-01,+120.3%,+16.11%,0.5805,1.128,✓ Yes,completed
8,281,277,01-01,+120.3%,+16.11%,0.5805,1.128,✓ Yes,completed
8,281,276,01-01,+120.3%,+16.11%,0.5805,1.128,✓ Yes,completed
7,280,277,01-01,+120.3%,+16.11%,0.5805,1.128,✓ Yes,completed
7,280,277,01-01,+120.3%,+16.11%,0.5805,1.128,✓ Yes,completed
7,280,276,01-01,+120.3%,+16.11%,0.5805,1.128,✓ Yes,completed
7,280,276,01-01,+120.3%,+16.11%,0.5805,1.128,✓ Yes,completed
6,281,276,01-01,+120.3%,+16.11%,0.5805,1.128,✓ Yes,completed
6,285,276,01-01,+117.2%,+16.11%,0.5805,1.001,✓ Yes,completed
5,285,275,01-01,+117.2%,+16.11%,0.5805,1.001,✓ Yes,completed
8,281,276,01-01,+121.3%,+16.11%,0.5805,1.106,✓ Yes,completed
8,281,276,01-01,+121.3%,+16.11%,0.5805,1.106,✓ Yes,completed
8,281,275,01-01,+121.3%,+16.11%,0.5805,1.106,✓ Yes,completed
7,280,276,01-01,+121.3%,+16.11%,0.5805,1.106,✓ Yes,completed
7,280,275,01-01,+121.3%,+16.11%,0.5805,1.106,✓ Yes,completed
7,280,275,01-01,+121.3%,+16.11%,0.5805,1.106,✓ Yes,completed
6,281,276,01-01,+121.3%,+16.11%,0.5805,1.106,✓ Yes,completed
6,281,275,01-01,+121.3%,+16.11%,0.5805,1.106,✓ Yes,completed
6,284,277,01-01,+117.2%,+16.11%,0.5805,1.035,✓ Yes,completed
6,284,276,01-01,+117.2%,+16.11%,0.5805,1.035,✓ Yes,completed
6,284,278,01-01,+115.4%,+16.10%,0.5805,1.057,✓ Yes,completed
