Iter,θ_p,θ_r,Start,Overhead %,CO₂ Save %,Score,Pauses,Budget,Stop
9,283,283,12-03,+114.3%,+15.98%,0.5799,1.255,✓ Yes,completed
9,283,283,12-03,+114.3%,+15.98%,0.5799,1.255,✓ Yes,completed
9,283,283,12-03,+115.0%,+16.13%,0.5807,1.182,✓ Yes,completed
9,283,283,12-03,+115.0%,+16.13%,0.5807,1.182,✓ Yes,completed
9,283,282,12-03,+115.0%,+16.13%,0.5807,1.182,✓ Yes,completed
9,283,282,12-03,+115.9%,+16.23%,0.5812,1.146,✓ Yes,completed
9,283,282,12-03,+115.9%,+16.23%,0.5812,1.146,✓ Yes,completed
9,283,281,12-03,+115.9%,+16.23%,0.5812,1.146,✓ Yes,completed
9,283,281,12-03,+115.9%,+16.23%,0.5812,1.146,✓ Yes,completed
9,283,281,12-03,+117.0%,+16.25%,0.5813,1.129,✓ Yes,completed
9,283,280,12-03,+117.0%,+16.25%,0.5813,1.129,✓ Yes,completed
9,283,280,12-03,+117.0%,+16.25%,0.5813,1.129,✓ Yes,completed
9,283,280,12-03,+118.1%,+16.29%,0.5814,1.092,✓ Yes,completed
9,283,279,12-03,+118.1%,+16.29%,0.5814,1.092,✓ Yes,completed
9,283,279,12-03,+118.1%,+16.29%,0.5814,1.092,✓ Yes,completed
9,283,279,12-03,+119.0%,+16.37%,0.5818,1.066,✓ Yes,completed
9,283,279,12-03,+119.0%,+16.37%,0.5818,1.066,✓ Yes,completed
9,283,278,12-03,+119.0%,+16.37%,0.5818,1.066,✓ Yes,completed
9,283,278,12-03,+120.3%,+16.33%,0.5817,1.065,✓ Yes,completed
9,283,278,12-03,+120.3%,+16.33%,0.5817,1.065,✓ Yes,completed
9,283,277,12-03,+120.3%,+16.33%,0.5817,1.065,✓ Yes,completed
9,283,277,12-03,+120.3%,+16.33%,0.5817,1.065,✓ Yes,completed
9,283,277,12-03,+121.4%,+16.42%,0.5821,1.039,✓ Yes,completed
9,283,276,12-03,+121.4%,+16.42%,0.5821,1.039,✓ Yes,completed
9,283,276,12-03,+121.4%,+16.42%,0.5821,1.039,✓ Yes,completed
9,283,276,12-03,+122.9%,+16.39%,0.5820,1.032,✓ Yes,completed
9,283,275,12-03,+122.9%,+16.39%,0.5820,1.032,✓ Yes,completed
9,283,275,12-03,+122.9%,+16.39%,0.5820,1.032,✓ Yes,completed
9,283,275,12-03,+123.9%,+16.43%,0.5821,1.027,✓ Yes,completed
9,283,275,12-03,+123.9%,+16.43%,0.5821,1.027,✓ Yes,completed
9,283,274,12-03,+123.9%,+16.43%,0.5821,1.027,✓ Yes,completed
9,283,274,12-03,+125.6%,+16.44%,0.5822,1.008,✓ Yes,completed
9,283,274,12-03,+125.6%,+16.44%,0.5822,1.008,✓ Yes,completed
9,283,273,12-03,+125.6%,+16.44%,0.5822,1.008,✓ Yes,completed
9,283,273,12-03,+126.9%,+16.43%,0.5821,1.006,✓ Yes,completed
9,283,273,12-03,+126.9%,+16.43%,0.5821,1.006,✓ Yes,completed
9,283,272,12-03,+126.9%,+16.43%,0.5821,1.006,✓ Yes,completed
9,283,272,12-03,+126.9%,+16.43%,0.5821,1.006,✓ Yes,completed
9,283,272,12-03,+128.0%,+16.46%,0.5823,993,✓ Yes,completed
9,283,271,12-03,+128.0%,+16.46%,0.5823,993,✓ Yes,completed
9,283,271,12-03,+128.0%,+16.46%,0.5823,993,✓ Yes,completed
9,283,271,12-03,+128.9%,+16.55%,0.5828,977,✓ Yes,completed
9,283,271,12-03,+128.9%,+16.55%,0.5828,977,✓ Yes,completed
9,283,270,12-03,+128.9%,+16.55%,0.5828,977,✓ Yes,completed
9,283,283,12-02,+114.5%,+15.99%,0.5800,1.255,✓ Yes,completed
9,283,283,12-02,+114.5%,+15.99%,0.5800,1.255,✓ Yes,completed
9,283,283,12-02,+115.2%,+16.15%,0.5807,1.182,✓ Yes,completed
9,283,283,12-02,+115.2%,+16.15%,0.5807,1.182,✓ Yes,completed
9,283,282,12-02,+115.2%,+16.15%,0.5807,1.182,✓ Yes,completed
9,283,282,12-02,+116.1%,+16.25%,0.5813,1.146,✓ Yes,completed
9,283,282,12-02,+116.1%,+16.25%,0.5813,1.146,✓ Yes,completed
9,283,281,12-02,+116.1%,+16.25%,0.5813,1.146,✓ Yes,completed
9,283,281,12-02,+116.1%,+16.25%,0.5813,1.146,✓ Yes,completed
9,283,281,12-02,+117.2%,+16.27%,0.5813,1.129,✓ Yes,completed
9,283,280,12-02,+117.2%,+16.27%,0.5813,1.129,✓ Yes,completed
9,283,280,12-02,+117.2%,+16.27%,0.5813,1.129,✓ Yes,completed
9,283,280,12-02,+118.4%,+16.30%,0.5815,1.092,✓ Yes,completed
9,283,279,12-02,+118.4%,+16.30%,0.5815,1.092,✓ Yes,completed
9,283,279,12-02,+118.4%,+16.30%,0.5815,1.092,✓ Yes,completed
9,283,279,12-02,+119.3%,+16.39%,0.5819,1.066,✓ Yes,completed
9,283,279,12-02,+119.3%,+16.39%,0.5819,1.066,✓ Yes,completed
9,283,278,12-02,+119.3%,+16.39%,0.5819,1.066,✓ Yes,completed
