Iter,θ_p,θ_r,Start,Overhead %,CO₂ Save %,Score,Pauses,Budget,Stop
9,22,22,01-01,+48.3%,+11.41%,0.5570,766,✓ Yes,completed
9,24,19,01-01,+53.7%,+10.71%,0.5536,396,✓ Yes,completed
9,24,22,01-01,+38.3%,+10.59%,0.5530,449,✓ Yes,completed
8,20,20,01-01,+72.0%,+10.42%,0.5521,902,✓ Yes,completed
8,26,19,01-01,+44.4%,+10.41%,0.5520,337,✓ Yes,completed
9,22,19,01-01,+75.1%,+10.39%,0.5519,548,✓ Yes,completed
9,19,19,01-01,+106.7%,+10.00%,0.5500,1.059,✓ Yes,completed
9,26,19,01-01,+40.5%,+9.78%,0.5489,308,✓ Yes,completed
9,24,24,01-01,+29.4%,+9.77%,0.5488,514,✓ Yes,completed
9,26,22,01-01,+26.9%,+8.70%,0.5435,308,✓ Yes,completed
9,29,19,01-01,+30.8%,+8.19%,0.5410,233,✓ Yes,completed
9,26,24,01-01,+21.5%,+7.57%,0.5378,328,✓ Yes,completed
8,26,26,01-01,+19.6%,+7.10%,0.5355,493,✓ Yes,completed
7,26,26,01-01,+19.6%,+7.10%,0.5355,493,✓ Yes,completed
9,31,19,01-01,+24.9%,+6.92%,0.5346,183,✓ Yes,completed
9,29,22,01-01,+20.9%,+6.84%,0.5342,240,✓ Yes,completed
9,26,17,01-01,+119.4%,+6.59%,0.5329,270,✓ Yes,completed
9,26,26,01-01,+16.0%,+6.21%,0.5310,416,✓ Yes,completed
9,29,24,01-01,+16.9%,+6.20%,0.5310,248,✓ Yes,completed
9,31,22,01-01,+17.1%,+5.79%,0.5290,198,✓ Yes,completed
9,29,26,01-01,+12.8%,+5.54%,0.5277,251,✓ Yes,completed
9,31,24,01-01,+13.9%,+5.45%,0.5272,198,✓ Yes,completed
8,31,23,01-01,+13.9%,+5.45%,0.5272,198,✓ Yes,completed
9,22,17,01-01,+194.2%,+5.26%,0.5263,488,✓ Yes,completed
9,31,17,01-01,+74.1%,+5.23%,0.5261,152,✓ Yes,completed
9,29,29,01-01,+11.0%,+5.20%,0.5260,301,✓ Yes,completed
9,31,26,01-01,+10.8%,+5.11%,0.5255,205,✓ Yes,completed
9,31,29,01-01,+9.6%,+4.85%,0.5243,214,✓ Yes,completed
9,31,31,01-01,+8.5%,+4.74%,0.5237,252,✓ Yes,completed
8,31,31,01-01,+8.5%,+4.74%,0.5237,252,✓ Yes,completed
9,29,17,01-01,+100.6%,+4.62%,0.5231,194,✓ Yes,completed
8,36,22,01-01,+11.6%,+4.16%,0.5208,118,✓ Yes,completed
9,24,17,01-01,+179.3%,+4.03%,0.5201,370,✓ Yes,completed
8,36,29,01-01,+5.7%,+3.86%,0.5193,115,✓ Yes,completed
8,36,36,01-01,+4.1%,+3.17%,0.5158,142,✓ Yes,completed
8,41,21,01-01,+8.0%,+3.09%,0.5154,63,✓ Yes,completed
7,41,21,01-01,+8.0%,+3.09%,0.5154,63,✓ Yes,completed
8,41,28,01-01,+3.8%,+2.77%,0.5138,64,✓ Yes,completed
8,41,34,01-01,+3.3%,+2.54%,0.5127,66,✓ Yes,completed
8,41,41,01-01,+2.2%,+1.89%,0.5094,94,✓ Yes,completed
7,41,41,01-01,+2.2%,+1.89%,0.5094,94,✓ Yes,completed
8,31,15,01-01,+144.7%,+1.85%,0.5093,187,✓ Yes,completed
8,46,20,01-01,+5.4%,+1.73%,0.5087,30,✓ Yes,completed
8,46,27,01-01,+2.1%,+1.54%,0.5077,36,✓ Yes,completed
8,46,33,01-01,+1.8%,+1.45%,0.5073,36,✓ Yes,completed
8,46,40,01-01,+1.4%,+1.22%,0.5061,35,✓ Yes,completed
8,46,46,01-01,+0.8%,+0.71%,0.5035,54,✓ Yes,completed
8,52,19,01-01,+2.7%,+0.62%,0.5031,9,✓ Yes,completed
8,52,26,01-01,+0.8%,+0.43%,0.5021,11,✓ Yes,completed
8,52,32,01-01,+0.5%,+0.38%,0.5019,11,✓ Yes,completed
8,52,39,01-01,+0.4%,+0.34%,0.5017,11,✓ Yes,completed
8,52,45,01-01,+0.3%,+0.27%,0.5014,11,✓ Yes,completed
8,52,52,01-01,+0.2%,+0.14%,0.5007,13,✓ Yes,completed
8,57,19,01-01,+2.0%,+0.14%,0.5007,1,✓ Yes,completed
7,57,19,01-01,+2.0%,+0.14%,0.5007,1,✓ Yes,completed
8,57,32,01-01,+0.0%,+0.03%,0.5001,1,✓ Yes,completed
8,57,38,01-01,+0.0%,+0.03%,0.5001,1,✓ Yes,completed
7,57,38,01-01,+0.0%,+0.03%,0.5001,1,✓ Yes,completed
8,57,25,01-01,+0.0%,+0.03%,0.5001,1,✓ Yes,completed
8,57,44,01-01,+0.0%,+0.02%,0.5001,1,✓ Yes,completed
8,57,51,01-01,+0.0%,+0.01%,0.5001,1,✓ Yes,completed
8,57,57,01-01,+0.0%,+0.01%,0.5000,1,✓ Yes,completed
7,57,57,01-01,+0.0%,+0.01%,0.5000,1,✓ Yes,completed
6,56,56,01-01,+0.0%,+0.01%,0.5000,1,✓ Yes,completed
7,150,150,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,150,133,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,150,116,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,150,100,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,150,83,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,150,66,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,150,50,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,150,33,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,150,17,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,150,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,134,134,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,134,117,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,134,101,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,134,84,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,134,67,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,134,50,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,134,34,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,134,17,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,134,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,119,119,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,119,102,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,119,85,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,119,68,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,119,51,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,119,34,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,119,17,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,119,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,103,103,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,103,86,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
