Iter,θ_p,θ_r,Start,Overhead %,CO₂ Save %,Score,Pauses,Budget,Stop
9,436,430,07-01,+54.9%,+2.39%,0.5120,388,✓ Yes,completed
9,436,429,07-01,+54.9%,+2.39%,0.5120,388,✓ Yes,completed
9,436,429,07-01,+54.9%,+2.39%,0.5120,388,✓ Yes,completed
8,435,430,07-01,+54.9%,+2.39%,0.5120,388,✓ Yes,completed
8,435,429,07-01,+54.9%,+2.39%,0.5120,388,✓ Yes,completed
8,435,429,07-01,+54.9%,+2.39%,0.5120,388,✓ Yes,completed
7,435,430,07-01,+54.9%,+2.39%,0.5120,388,✓ Yes,completed
7,435,430,07-01,+54.9%,+2.39%,0.5120,388,✓ Yes,completed
7,435,429,07-01,+54.9%,+2.39%,0.5120,388,✓ Yes,completed
6,436,430,07-01,+54.9%,+2.39%,0.5120,388,✓ Yes,completed
6,436,429,07-01,+54.9%,+2.39%,0.5120,388,✓ Yes,completed
5,436,429,07-01,+54.9%,+2.39%,0.5120,388,✓ Yes,completed
6,438,428,07-01,+55.0%,+2.38%,0.5119,358,✓ Yes,completed
5,437,428,07-01,+55.0%,+2.38%,0.5119,358,✓ Yes,completed
6,439,427,07-01,+54.8%,+2.38%,0.5119,346,✓ Yes,completed
6,439,426,07-01,+54.8%,+2.38%,0.5119,346,✓ Yes,completed
8,436,429,07-01,+55.2%,+2.38%,0.5119,367,✓ Yes,completed
7,436,429,07-01,+55.2%,+2.38%,0.5119,367,✓ Yes,completed
7,436,429,07-01,+55.2%,+2.38%,0.5119,367,✓ Yes,completed
7,436,428,07-01,+55.2%,+2.38%,0.5119,367,✓ Yes,completed
6,437,429,07-01,+55.2%,+2.38%,0.5119,367,✓ Yes,completed
6,437,428,07-01,+55.2%,+2.38%,0.5119,367,✓ Yes,completed
4,437,429,07-01,+55.2%,+2.38%,0.5119,367,✓ Yes,completed
7,434,431,07-01,+55.2%,+2.37%,0.5118,414,✓ Yes,completed
7,434,431,07-01,+55.2%,+2.37%,0.5118,414,✓ Yes,completed
7,434,430,07-01,+55.2%,+2.37%,0.5118,414,✓ Yes,completed
6,435,430,07-01,+55.2%,+2.37%,0.5118,414,✓ Yes,completed
5,441,425,07-01,+55.0%,+2.37%,0.5118,298,✓ Yes,completed
6,434,431,07-01,+55.3%,+2.36%,0.5118,447,✓ Yes,completed
8,436,432,07-01,+53.1%,+2.36%,0.5118,394,✓ Yes,completed
8,436,432,07-01,+53.1%,+2.36%,0.5118,394,✓ Yes,completed
8,436,431,07-01,+53.1%,+2.36%,0.5118,394,✓ Yes,completed
8,436,431,07-01,+53.1%,+2.36%,0.5118,394,✓ Yes,completed
7,436,432,07-01,+53.1%,+2.36%,0.5118,394,✓ Yes,completed
7,436,431,07-01,+53.1%,+2.36%,0.5118,394,✓ Yes,completed
7,436,431,07-01,+53.1%,+2.36%,0.5118,394,✓ Yes,completed
6,437,432,07-01,+53.1%,+2.36%,0.5118,394,✓ Yes,completed
6,437,431,07-01,+53.1%,+2.36%,0.5118,394,✓ Yes,completed
6,438,430,07-01,+53.1%,+2.36%,0.5118,382,✓ Yes,completed
6,438,428,07-01,+54.5%,+2.35%,0.5118,362,✓ Yes,completed
9,436,433,07-01,+53.1%,+2.35%,0.5118,418,✓ Yes,completed
9,436,433,07-01,+53.1%,+2.35%,0.5118,418,✓ Yes,completed
9,436,432,07-01,+53.1%,+2.35%,0.5118,418,✓ Yes,completed
9,436,432,07-01,+53.1%,+2.35%,0.5118,418,✓ Yes,completed
8,435,433,07-01,+53.1%,+2.35%,0.5118,418,✓ Yes,completed
8,435,433,07-01,+53.1%,+2.35%,0.5118,418,✓ Yes,completed
8,435,432,07-01,+53.1%,+2.35%,0.5118,418,✓ Yes,completed
7,435,433,07-01,+53.1%,+2.35%,0.5118,418,✓ Yes,completed
7,435,432,07-01,+53.1%,+2.35%,0.5118,418,✓ Yes,completed
7,435,432,07-01,+53.1%,+2.35%,0.5118,418,✓ Yes,completed
6,436,433,07-01,+53.1%,+2.35%,0.5118,418,✓ Yes,completed
5,436,433,07-01,+53.1%,+2.35%,0.5118,418,✓ Yes,completed
7,434,432,07-01,+54.5%,+2.35%,0.5118,422,✓ Yes,completed
7,434,431,07-01,+54.5%,+2.35%,0.5118,422,✓ Yes,completed
7,434,431,07-01,+54.5%,+2.35%,0.5118,422,✓ Yes,completed
6,435,432,07-01,+54.5%,+2.35%,0.5118,422,✓ Yes,completed
6,435,431,07-01,+54.5%,+2.35%,0.5118,422,✓ Yes,completed
5,434,431,07-01,+54.5%,+2.35%,0.5118,422,✓ Yes,completed
9,436,431,07-01,+54.4%,+2.35%,0.5118,398,✓ Yes,completed
9,436,430,07-01,+54.4%,+2.35%,0.5118,398,✓ Yes,completed
9,436,430,07-01,+54.4%,+2.35%,0.5118,398,✓ Yes,completed
8,435,431,07-01,+54.4%,+2.35%,0.5118,398,✓ Yes,completed
8,435,430,07-01,+54.4%,+2.35%,0.5118,398,✓ Yes,completed
8,435,430,07-01,+54.4%,+2.35%,0.5118,398,✓ Yes,completed
7,435,431,07-01,+54.4%,+2.35%,0.5118,398,✓ Yes,completed
7,435,431,07-01,+54.4%,+2.35%,0.5118,398,✓ Yes,completed
7,435,430,07-01,+54.4%,+2.35%,0.5118,398,✓ Yes,completed
6,436,431,07-01,+54.4%,+2.35%,0.5118,398,✓ Yes,completed
6,434,433,07-01,+54.6%,+2.35%,0.5117,473,✓ Yes,completed
6,434,432,07-01,+54.6%,+2.35%,0.5117,473,✓ Yes,completed
8,435,429,07-01,+56.0%,+2.35%,0.5117,380,✓ Yes,completed
7,435,429,07-01,+56.0%,+2.35%,0.5117,380,✓ Yes,completed
7,435,429,07-01,+56.0%,+2.35%,0.5117,380,✓ Yes,completed
7,435,428,07-01,+56.0%,+2.35%,0.5117,380,✓ Yes,completed
6,436,428,07-01,+56.0%,+2.35%,0.5117,380,✓ Yes,completed
6,439,430,07-01,+52.9%,+2.35%,0.5117,360,✓ Yes,completed
7,436,428,07-01,+55.9%,+2.35%,0.5117,366,✓ Yes,completed
6,437,428,07-01,+55.9%,+2.35%,0.5117,366,✓ Yes,completed
8,436,430,07-01,+54.3%,+2.35%,0.5117,378,✓ Yes,completed
8,436,429,07-01,+54.3%,+2.35%,0.5117,378,✓ Yes,completed
8,436,429,07-01,+54.3%,+2.35%,0.5117,378,✓ Yes,completed
7,436,430,07-01,+54.3%,+2.35%,0.5117,378,✓ Yes,completed
7,436,430,07-01,+54.3%,+2.35%,0.5117,378,✓ Yes,completed
7,436,429,07-01,+54.3%,+2.35%,0.5117,378,✓ Yes,completed
6,437,430,07-01,+54.3%,+2.35%,0.5117,378,✓ Yes,completed
7,434,430,07-01,+56.0%,+2.35%,0.5117,408,✓ Yes,completed
7,434,430,07-01,+56.0%,+2.35%,0.5117,408,✓ Yes,completed
7,434,429,07-01,+56.0%,+2.35%,0.5117,408,✓ Yes,completed
6,435,430,07-01,+56.0%,+2.35%,0.5117,408,✓ Yes,completed
5,434,429,07-01,+56.0%,+2.35%,0.5117,408,✓ Yes,completed
5,441,428,07-01,+52.9%,+2.34%,0.5117,321,✓ Yes,completed
5,444,422,07-01,+55.0%,+2.34%,0.5117,250,✓ Yes,completed
6,434,431,07-01,+56.1%,+2.34%,0.5117,437,✓ Yes,completed
6,439,428,07-01,+54.3%,+2.34%,0.5117,348,✓ Yes,completed
6,438,427,07-01,+55.9%,+2.34%,0.5117,360,✓ Yes,completed
6,438,426,07-01,+55.9%,+2.34%,0.5117,360,✓ Yes,completed
5,437,426,07-01,+55.9%,+2.34%,0.5117,360,✓ Yes,completed
5,439,428,07-01,+53.5%,+2.34%,0.5117,336,✓ Yes,completed
7,434,434,07-01,+53.1%,+2.34%,0.5117,471,✓ Yes,completed
7,434,433,07-01,+53.1%,+2.34%,0.5117,471,✓ Yes,completed
7,434,433,07-01,+53.1%,+2.34%,0.5117,471,✓ Yes,completed
6,435,434,07-01,+53.1%,+2.34%,0.5117,471,✓ Yes,completed
6,435,433,07-01,+53.1%,+2.34%,0.5117,471,✓ Yes,completed
3,442,426,07-01,+53.1%,+2.33%,0.5117,287,✓ Yes,completed
6,438,430,07-01,+53.7%,+2.33%,0.5117,374,✓ Yes,completed
6,438,429,07-01,+53.7%,+2.33%,0.5117,374,✓ Yes,completed
5,437,429,07-01,+53.7%,+2.33%,0.5117,374,✓ Yes,completed
