region,ckpt_pause,ckpt_resume,theta_p,theta_r,margin,savings,overhead,score,num_pauses,completed,completed_best_savings,completed_best_overhead
DE,148.8,0,272.370,267.730,4.64000,43.3510,174.310,0.716755,102,true,43.3510,174.310
DE,150,0,272.370,267.730,4.64000,43.3495,174.310,0.716747,102,true,43.3495,174.310
DE,900,0,246.930,234.800,12.1300,47.9085,199.982,0.739543,112,false,42.3204,175.629
DE,2700,0,170.580,138.580,32.0000,82.1780,199.976,0.910890,15,false,39.6021,172.067
IT,148.8,0,246.700,230.450,16.2500,32.6655,194.675,0.663328,173,true,32.6655,194.675
IT,150,0,246.700,230.450,16.2500,32.6625,194.675,0.663313,173,true,32.6625,194.675
IT,900,0,209.040,172.410,36.6300,70.5559,199.995,0.852780,55,false,30.9039,176.110
IT,2700,0,182.690,170.060,12.6300,73.0458,199.995,0.865229,59,false,27.8690,175.629
SE,148.8,0,18.1800,17.5100,0.670000,23.1690,106.344,0.615845,85,true,23.1690,106.344
SE,150,0,18.1800,17.5100,0.670000,23.1672,106.344,0.615836,85,true,23.1672,106.344
SE,900,0,18.1800,17.5100,0.670000,22.0610,106.344,0.610305,85,true,22.0610,106.344
SE,2700,0,21.8100,16.6400,5.17000,18.8662,105.114,0.594331,61,true,18.8662,105.114
