model,region,year,theta_p,theta_r,margin,score,co2_save_pct
DeepSeek V3,CN,2022,536.67,536.67,0.0,0.5125728995523476,2.5145799104695183
DeepSeek V3,CN,2023,587.14,587.14,0.0,0.5022818630208116,0.45637260416231307
DeepSeek V3,CN,2024,516.92,516.92,0.0,0.516077845619555,3.2155691239110133
DeepSeek V3,CN,2025,499.36,499.36,0.0,0.5284458071697613,5.689161433952262
DeepSeek V3,DE,2022,448.89,448.89,0.0,0.6360460618970685,27.20921237941369
DeepSeek V3,DE,2023,276.1,273.34,2.7600000000000477,0.6765903107900985,35.31806215801969
DeepSeek V3,DE,2024,261.41,254.75,6.660000000000025,0.6470616244755523,29.41232489511046
DeepSeek V3,DE,2025,272.83,267.7,5.1299999999999955,0.716755090433606,43.35101808672119
DeepSeek V3,IT,2022,363.31,363.31,0.0,0.5568029759935684,11.360595198713689
DeepSeek V3,IT,2023,273.33,273.33,0.0,0.5940934933872696,18.818698677453913
DeepSeek V3,IT,2024,220.77,217.17,3.6000000000000227,0.6076614911751165,21.532298235023294
DeepSeek V3,IT,2025,246.7,230.45,16.25,0.6633276141731453,32.665522834629066
DeepSeek V3,SE,2022,19.22,18.16,1.0599999999999987,0.6306150183713961,26.123003674279214
DeepSeek V3,SE,2023,16.98,16.48,0.5,0.62107418178433,24.214836356866012
DeepSeek V3,SE,2024,15.11,15.11,0.0,0.6489940024662251,29.798800493245007
DeepSeek V3,SE,2025,19.04,17.48,1.5599999999999987,0.6114002136887249,22.280042737744974
DeepSeek V3,US,2022,421.35,421.35,0.0,0.5282808592103619,5.656171842072391
DeepSeek V3,US,2023,430.14,426.02,4.1200000000000045,0.5136591013831581,2.7318202766316166
DeepSeek V3,US,2024,390.63,390.63,0.0,0.5447802455469603,8.95604910939204
DeepSeek V3,US,2025,407.83,385.32,22.50999999999999,0.5454235244156319,9.084704883126388
Kimi K2,CN,2022,589.9,574.28,15.620000000000005,0.5106634932942025,2.132698658840484
Kimi K2,CN,2023,581.53,571.3,10.230000000000018,0.503808424761057,0.7616849522114151
Kimi K2,CN,2024,564.32,549.92,14.400000000000091,0.5112652931187945,2.2530586237589145
Kimi K2,DE,2022,470.9,466.66,4.239999999999952,0.5738761988362172,14.77523976724345
Kimi K2,DE,2023,316.15,311.35,4.7999999999999545,0.6113768608434086,22.275372168681724
Kimi K2,DE,2024,308.39,303.35,5.039999999999964,0.6149755381765677,22.995107635313534
Kimi K2,DE,2025,263.28,256.27,7.009999999999991,0.6374449527957766,27.48899055915532
Kimi K2,IT,2022,442.03,434.03,8.0,0.5234913627293977,4.698272545879529
Kimi K2,IT,2023,306.31,299.44,6.8700000000000045,0.5594417211475313,11.88834422950627
Kimi K2,IT,2024,260.27,256.67,3.599999999999966,0.5603941771945087,12.078835438901743
Kimi K2,IT,2025,283.71,270.46,13.25,0.582843630323197,16.568726064639396
Kimi K2,SE,2022,26.49,25.21,1.2799999999999976,0.5733436883263703,14.668737665274065
Kimi K2,SE,2023,21.02,19.36,1.6600000000000001,0.5939644060415081,18.79288120830162
Kimi K2,SE,2024,18.08,18.08,0.0,0.5970489715142586,19.40979430285172
Kimi K2,SE,2025,22.24,22.24,0.0,0.5627782798762431,12.555655975248605
Kimi K2,US,2022,452.87,447.05,5.819999999999993,0.5077890828930047,1.5578165786009477
Kimi K2,US,2023,446.61,439.89,6.720000000000027,0.5124365617690484,2.4873123538096764
Kimi K2,US,2024,439.42,431.38,8.04000000000002,0.5181918648464846,3.638372969296918
Kimi K2,US,2025,453.14,446.43,6.7099999999999795,0.515650287031337,3.130057406267401
