region,family,param,param_value,seed,sigma,theta_p,theta_r,start,savings,overhead,score,num_pauses,completed,within_budget,savings_perfect,degradation_frac
SE,additive,level,0.00000,1,0.00000,19.0000,18.0000,04-22,15.8580,122.706,0.579290,82.0000,true,true,15.8580,0.00000
SE,additive,level,0.00000,2,0.00000,19.0000,18.0000,04-22,15.8580,122.706,0.579290,82.0000,true,true,15.8580,0.00000
SE,additive,level,0.00000,3,0.00000,19.0000,18.0000,04-22,15.8580,122.706,0.579290,82.0000,true,true,15.8580,0.00000
SE,additive,level,0.00000,4,0.00000,19.0000,18.0000,04-22,15.8580,122.706,0.579290,82.0000,true,true,15.8580,0.00000
SE,additive,level,0.00000,5,0.00000,19.0000,18.0000,04-22,15.8580,122.706,0.579290,82.0000,true,true,15.8580,0.00000
SE,additive,level,0.250000,1,0.193410,19.0000,18.0000,04-22,16.0759,119.682,0.580380,120.000,true,true,15.8580,-0.0137449
SE,additive,level,0.250000,2,0.193410,19.0000,18.0000,04-22,16.0450,119.496,0.580225,123.000,true,true,15.8580,-0.0117958
SE,additive,level,0.250000,3,0.193410,19.0000,18.0000,04-22,16.0656,119.580,0.580328,121.000,true,true,15.8580,-0.0130949
SE,additive,level,0.250000,4,0.193410,19.0000,18.0000,04-22,16.0864,119.785,0.580432,122.000,true,true,15.8580,-0.0144066
SE,additive,level,0.250000,5,0.193410,19.0000,18.0000,04-22,16.0801,119.682,0.580401,121.000,true,true,15.8580,-0.0140114
SE,additive,level,0.500000,1,0.386821,19.0000,18.0000,04-22,16.0247,119.855,0.580124,147.000,true,true,15.8580,-0.0105165
SE,additive,level,0.500000,2,0.386821,19.0000,18.0000,04-22,15.9751,119.688,0.579875,160.000,true,true,15.8580,-0.00738690
SE,additive,level,0.500000,3,0.386821,19.0000,18.0000,04-22,15.9934,119.644,0.579967,152.000,true,true,15.8580,-0.00853858
SE,additive,level,0.500000,4,0.386821,19.0000,18.0000,04-22,16.0064,119.829,0.580032,154.000,true,true,15.8580,-0.00936139
SE,additive,level,0.500000,5,0.386821,19.0000,18.0000,04-22,15.9768,119.676,0.579884,161.000,true,true,15.8580,-0.00749498
SE,additive,level,1.00000,1,0.773642,19.0000,18.0000,04-22,14.5451,120.778,0.572726,717.000,true,true,15.8580,0.0827853
