region,family,param,param_value,seed,sigma,theta_p,theta_r,start,savings,overhead,score,num_pauses,completed,within_budget,savings_perfect,degradation_frac
IT,additive,level,0.00000,1,0.00000,246.000,231.000,01-14,19.4228,140.842,0.597114,81.0000,true,true,19.4228,0.00000
IT,additive,level,0.00000,2,0.00000,246.000,231.000,01-14,19.4228,140.842,0.597114,81.0000,true,true,19.4228,0.00000
IT,additive,level,0.00000,3,0.00000,246.000,231.000,01-14,19.4228,140.842,0.597114,81.0000,true,true,19.4228,0.00000
IT,additive,level,0.00000,4,0.00000,246.000,231.000,01-14,19.4228,140.842,0.597114,81.0000,true,true,19.4228,0.00000
IT,additive,level,0.00000,5,0.00000,246.000,231.000,01-14,19.4228,140.842,0.597114,81.0000,true,true,19.4228,0.00000
IT,additive,level,0.250000,1,1.10515,246.000,231.000,01-14,19.3518,140.195,0.596759,90.0000,true,true,19.4228,0.00365859
IT,additive,level,0.250000,2,1.10515,246.000,231.000,01-14,19.3513,140.189,0.596756,88.0000,true,true,19.4228,0.00368397
IT,additive,level,0.250000,3,1.10515,246.000,231.000,01-14,19.4178,140.695,0.597089,89.0000,true,true,19.4228,0.000261114
IT,additive,level,0.250000,4,1.10515,246.000,231.000,01-14,19.3697,140.490,0.596848,90.0000,true,true,19.4228,0.00273755
IT,additive,level,0.250000,5,1.10515,246.000,231.000,01-14,19.3596,140.420,0.596798,89.0000,true,true,19.4228,0.00325666
IT,additive,level,0.500000,1,2.21030,246.000,231.000,01-14,19.3725,140.324,0.596862,94.0000,true,true,19.4228,0.00259256
IT,additive,level,0.500000,2,2.21030,246.000,231.000,01-14,19.3864,140.522,0.596932,94.0000,true,true,19.4228,0.00187524
IT,additive,level,0.500000,3,2.21030,246.000,231.000,01-14,19.3604,140.112,0.596802,97.0000,true,true,19.4228,0.00321385
IT,additive,level,0.500000,4,2.21030,246.000,231.000,01-14,19.4288,140.721,0.597144,96.0000,true,true,19.4228,-0.000306382
IT,additive,level,0.500000,5,2.21030,246.000,231.000,01-14,19.3391,139.958,0.596696,97.0000,true,true,19.4228,0.00431006
IT,additive,level,1.00000,1,4.42060,246.000,231.000,01-14,19.3430,140.183,0.596715,118.000,true,true,19.4228,0.00410829
IT,additive,level,1.00000,2,4.42060,246.000,231.000,01-14,19.2917,139.766,0.596459,122.000,true,true,19.4228,0.00674917
IT,additive,level,1.00000,3,4.42060,246.000,231.000,01-14,19.3359,139.350,0.596680,113.000,true,true,19.4228,0.00447522
IT,additive,level,1.00000,4,4.42060,246.000,231.000,01-14,19.2976,139.465,0.596488,124.000,true,true,19.4228,0.00644657
IT,additive,level,1.00000,5,4.42060,246.000,231.000,01-14,19.2866,139.177,0.596433,125.000,true,true,19.4228,0.00701370
IT,additive,level,2.00000,1,8.84121,246.000,231.000,01-14,18.5036,139.792,0.592518,422.000,true,true,19.4228,0.0473269
IT,additive,level,2.00000,2,8.84121,246.000,231.000,01-14,18.5301,139.696,0.592651,411.000,true,true,19.4228,0.0459615
IT,additive,level,2.00000,3,8.84121,246.000,231.000,01-14,18.5343,139.343,0.592672,413.000,true,true,19.4228,0.0457463
IT,additive,level,2.00000,4,8.84121,246.000,231.000,01-14,18.5336,139.138,0.592668,408.000,true,true,19.4228,0.0457813
IT,additive,level,2.00000,5,8.84121,246.000,231.000,01-14,18.3534,138.690,0.591767,425.000,true,true,19.4228,0.0550599
IT,additive,level,4.00000,1,17.6824,246.000,231.000,01-14,15.6851,138.536,0.578426,1339.00,true,true,19.4228,0.192438
IT,additive,level,4.00000,2,17.6824,246.000,231.000,01-14,15.7589,138.683,0.578795,1332.00,true,true,19.4228,0.188639
IT,additive,level,4.00000,3,17.6824,246.000,231.000,01-14,15.6072,138.530,0.578036,1373.00,true,true,19.4228,0.196450
IT,additive,level,4.00000,4,17.6824,246.000,231.000,01-14,15.6086,138.632,0.578043,1380.00,true,true,19.4228,0.196378
IT,additive,level,4.00000,5,17.6824,246.000,231.000,01-14,15.6242,138.190,0.578121,1357.00,true,true,19.4228,0.195578
IT,multiplicative,level,0.00000,1,0.00000,246.000,231.000,01-14,19.4228,140.842,0.597114,81.0000,true,true,19.4228,0.00000
IT,multiplicative,level,0.00000,2,0.00000,246.000,231.000,01-14,19.4228,140.842,0.597114,81.0000,true,true,19.4228,0.00000
IT,multiplicative,level,0.00000,3,0.00000,246.000,231.000,01-14,19.4228,140.842,0.597114,81.0000,true,true,19.4228,0.00000
IT,multiplicative,level,0.00000,4,0.00000,246.000,231.000,01-14,19.4228,140.842,0.597114,81.0000,true,true,19.4228,0.00000
IT,multiplicative,level,0.00000,5,0.00000,246.000,231.000,01-14,19.4228,140.842,0.597114,81.0000,true,true,19.4228,0.00000
