region,ckpt_pause,budget,theta_p,theta_r,margin,savings,overhead,score,num_pauses,completed,within_budget,found,best_completed_savings,best_completed_overhead
DE,148.8,30,533.760,517.760,16.0000,11.5118,29.9988,0.557559,36,true,true,true,11.5118,29.9988
DE,148.8,50,491.330,486.310,5.02000,16.2822,48.7632,0.581411,52,true,true,true,16.2822,48.7632
DE,148.8,100,410.570,398.970,11.6000,29.5221,98.6242,0.647610,69,true,true,true,29.5221,98.6242
DE,148.8,200,272.370,267.730,4.64000,43.3510,174.310,0.716755,102,true,true,true,43.3510,174.310
DE,900,30,479.180,453.760,25.4200,68.0139,29.9884,0.840070,20,false,true,true,10.4204,28.3588
DE,900,50,507.980,335.270,172.710,68.0549,49.9892,0.840275,7,false,true,true,15.5076,48.8529
DE,900,100,379.210,370.210,9.00000,59.8554,99.9848,0.799277,62,false,true,true,28.4623,98.2591
DE,900,200,246.930,234.800,12.1300,47.9085,199.982,0.739543,112,false,true,true,42.3204,175.629
IT,148.8,30,NA,NA,NA,NA,NA,NA,NA,null,null,false,NA,NA
IT,148.8,50,NA,NA,NA,NA,NA,NA,NA,null,null,false,NA,NA
IT,148.8,100,283.230,258.790,24.4400,82.0005,99.9976,0.910003,24,false,true,true,19.8468,99.5788
IT,148.8,200,246.700,230.450,16.2500,32.6655,194.675,0.663328,173,true,true,true,32.6655,194.675
IT,900,30,NA,NA,NA,NA,NA,NA,NA,null,null,false,NA,NA
IT,900,50,NA,NA,NA,NA,NA,NA,NA,null,null,false,NA,NA
IT,900,100,283.230,258.790,24.4400,81.7027,99.9976,0.908513,24,false,true,true,18.3357,99.5788
IT,900,200,209.040,172.410,36.6300,70.5559,199.995,0.852780,55,false,true,true,30.9039,176.110
SE,148.8,30,25.8000,24.8500,0.950000,14.5935,28.9610,0.572968,71,true,true,true,14.5935,28.9610
SE,148.8,50,22.3300,20.3300,2.00000,18.3553,48.4941,0.591776,70,true,true,true,18.3553,48.4941
SE,148.8,100,19.2400,17.2200,2.02000,22.8685,99.4058,0.614342,77,true,true,true,22.8685,99.4058
SE,148.8,200,18.1800,17.5100,0.670000,23.1690,106.344,0.615845,85,true,true,true,23.1690,106.344
SE,900,30,27.8000,20.8900,6.91000,41.0820,29.9948,0.705410,40,false,true,true,13.2543,28.9610
SE,900,50,21.3500,18.3300,3.02000,76.8139,49.9892,0.884070,24,false,true,true,17.1911,48.4941
SE,900,100,19.2400,17.2200,2.02000,21.8035,99.4058,0.609017,77,true,true,true,21.8035,99.4058
SE,900,200,18.1800,17.5100,0.670000,22.0610,106.344,0.610305,85,true,true,true,22.0610,106.344
