region,order,model,horizon,rmse,mae,mape
DE,1,ar,1,4.21349,1.76415,0.00595457
DE,1,persistence,1,4.21393,1.73793,0.00582964
DE,1,ar,3,7.23996,4.83437,0.0164615
DE,1,persistence,3,7.24104,4.82882,0.0164311
DE,1,ar,6,13.8505,9.20661,0.0314522
DE,1,persistence,6,13.8528,9.20429,0.0314365
DE,1,ar,12,26.5362,17.6360,0.0605183
DE,1,persistence,12,26.5407,17.6362,0.0605112
DE,1,ar,24,49.7603,33.6375,0.116847
DE,1,persistence,24,49.7688,33.6410,0.116848
DE,1,ar,72,113.413,84.0388,0.307315
DE,1,persistence,72,113.433,84.0506,0.307332
DE,7,ar,1,2.29606,1.15209,0.00386979
DE,7,persistence,1,4.21403,1.73797,0.00582971
DE,7,ar,3,6.35327,4.16824,0.0141868
DE,7,persistence,3,7.24121,4.82892,0.0164313
DE,7,ar,6,12.5984,8.30452,0.0283352
DE,7,persistence,6,13.8531,9.20453,0.0314369
DE,7,ar,12,25.1759,16.6684,0.0571290
DE,7,persistence,12,26.5413,17.6365,0.0605112
DE,7,ar,24,48.5284,32.7195,0.113517
DE,7,persistence,24,49.7702,33.6424,0.116852
DE,7,ar,72,112.821,83.5089,0.305239
DE,7,persistence,72,113.436,84.0538,0.307341
