region,order,model,horizon,rmse,mae,mape
IT,1,ar,1,5.02018,1.85180,0.00756175
IT,1,persistence,1,5.02214,1.78941,0.00724776
IT,1,ar,3,8.69373,5.37291,0.0217776
IT,1,persistence,3,8.69868,5.36692,0.0217390
IT,1,ar,6,12.4918,8.63417,0.0346371
IT,1,persistence,6,12.4995,8.63283,0.0346175
IT,1,ar,12,20.6195,14.7760,0.0589084
IT,1,persistence,12,20.6328,14.7800,0.0589047
IT,1,ar,24,36.6434,26.5887,0.106444
IT,1,persistence,24,36.6674,26.6010,0.106465
IT,1,ar,72,77.6096,60.5036,0.250940
IT,1,persistence,72,77.6607,60.5360,0.251001
IT,7,ar,1,5.01195,1.84661,0.00754200
IT,7,persistence,1,5.02215,1.78936,0.00724781
IT,7,ar,3,8.68767,5.36526,0.0217485
IT,7,persistence,3,8.69871,5.36677,0.0217391
IT,7,ar,6,12.4817,8.62560,0.0346040
IT,7,persistence,6,12.4996,8.63278,0.0346182
IT,7,ar,12,20.6070,14.7664,0.0588712
IT,7,persistence,12,20.6332,14.7801,0.0589064
IT,7,ar,24,36.6325,26.5805,0.106411
IT,7,persistence,24,36.6683,26.6018,0.106470
IT,7,ar,72,77.6079,60.5033,0.250938
IT,7,persistence,72,77.6629,60.5391,0.251015
