region,order,model,horizon,rmse,mae,mape
SE,1,ar,1,0.776141,0.153974,0.00677377
SE,1,persistence,1,0.777218,0.133820,0.00571875
SE,1,ar,3,1.34346,0.411168,0.0177969
SE,1,persistence,3,1.34590,0.395112,0.0169169
SE,1,ar,6,1.87402,0.728790,0.0312378
SE,1,persistence,6,1.87762,0.716498,0.0305294
SE,1,ar,12,2.58146,1.27728,0.0544748
SE,1,persistence,12,2.58655,1.27050,0.0540273
SE,1,ar,24,4.22037,2.20700,0.0952691
SE,1,persistence,24,4.22885,2.20492,0.0950557
SE,1,ar,72,7.82500,4.75055,0.215488
SE,1,persistence,72,7.84088,4.75728,0.215731
SE,7,ar,1,0.776140,0.155763,0.00684750
SE,7,persistence,1,0.777240,0.133827,0.00571908
SE,7,ar,3,1.34360,0.412755,0.0178617
SE,7,persistence,3,1.34594,0.395135,0.0169179
SE,7,ar,6,1.87415,0.730188,0.0312962
SE,7,persistence,6,1.87768,0.716539,0.0305312
SE,7,ar,12,2.58147,1.27750,0.0544856
SE,7,persistence,12,2.58658,1.27046,0.0540267
SE,7,ar,24,4.21992,2.20676,0.0952671
SE,7,persistence,24,4.22843,2.20453,0.0950476
SE,7,ar,72,7.82451,4.75009,0.215485
SE,7,persistence,72,7.84039,4.75675,0.215725
