region,family,param_value,seed,theta_p,theta_r,margin,savings,overhead,score,found
IT,additive,0.00000,1,246.700,230.450,16.2500,32.6655,194.675,0.663328,true
IT,additive,0.00000,2,246.700,230.450,16.2500,32.6655,194.675,0.663328,true
IT,additive,0.00000,3,246.700,230.450,16.2500,32.6655,194.675,0.663328,true
IT,additive,0.500000,1,244.050,232.790,11.2600,32.6030,194.374,0.663015,true
IT,additive,0.500000,2,247.060,229.630,17.4300,32.6466,194.695,0.663233,true
IT,additive,0.500000,3,247.290,229.570,17.7200,32.6505,194.592,0.663253,true
IT,additive,1.00000,1,248.850,228.460,20.3900,32.5912,194.400,0.662956,true
IT,additive,1.00000,2,251.610,225.460,26.1500,32.6332,194.669,0.663166,true
IT,additive,1.00000,3,249.990,226.970,23.0200,32.6333,194.592,0.663166,true
IT,additive,2.00000,1,250.830,225.290,25.5400,32.5213,194.631,0.662607,true
IT,additive,2.00000,2,254.430,222.860,31.5700,32.5868,194.631,0.662934,true
IT,additive,2.00000,3,255.690,222.340,33.3500,32.5270,194.374,0.662635,true
IT,delay,1.00000,1,246.700,230.450,16.2500,32.5610,194.682,0.662805,true
IT,delay,1.00000,2,246.700,230.450,16.2500,32.5610,194.682,0.662805,true
IT,delay,1.00000,3,246.700,230.450,16.2500,32.5610,194.682,0.662805,true
IT,delay,6.00000,1,240.670,236.840,3.83000,32.1279,194.426,0.660640,true
IT,delay,6.00000,2,240.670,236.840,3.83000,32.1279,194.426,0.660640,true
IT,delay,6.00000,3,240.670,236.840,3.83000,32.1279,194.426,0.660640,true
