region,family,param_value,seed,theta_p,theta_r,margin,savings,overhead,score,found
SE,additive,0.00000,1,18.1800,17.5100,0.670000,23.1690,106.344,0.615845,true
SE,additive,0.00000,2,18.1800,17.5100,0.670000,23.1690,106.344,0.615845,true
SE,additive,0.00000,3,18.1800,17.5100,0.670000,23.1690,106.344,0.615845,true
SE,additive,0.500000,1,19.2600,16.9700,2.29000,23.1439,103.314,0.615720,true
SE,additive,0.500000,2,19.4900,16.8600,2.63000,23.0780,103.320,0.615390,true
SE,additive,0.500000,3,18.8800,16.9100,1.97000,23.1519,106.568,0.615760,true
SE,additive,1.00000,1,19.4800,16.4100,3.07000,23.0767,105.184,0.615384,true
SE,additive,1.00000,2,19.4800,16.4100,3.07000,23.0498,106.626,0.615249,true
SE,additive,1.00000,3,19.7800,16.3000,3.48000,23.0692,103.448,0.615346,true
SE,additive,2.00000,1,21.3300,14.9500,6.38000,22.7349,103.346,0.613675,true
SE,additive,2.00000,2,20.4900,15.4400,5.05000,22.7687,106.876,0.613844,true
SE,additive,2.00000,3,20.4900,15.4400,5.05000,22.8525,105.236,0.614262,true
SE,delay,1.00000,1,18.1800,17.5100,0.670000,23.0858,106.344,0.615429,true
SE,delay,1.00000,2,18.1800,17.5100,0.670000,23.0858,106.344,0.615429,true
SE,delay,1.00000,3,18.1800,17.5100,0.670000,23.0858,106.344,0.615429,true
SE,delay,6.00000,1,18.1800,17.5100,0.670000,22.6799,106.344,0.613400,true
SE,delay,6.00000,2,18.1800,17.5100,0.670000,22.6799,106.344,0.613400,true
SE,delay,6.00000,3,18.1800,17.5100,0.670000,22.6799,106.344,0.613400,true
