region,family,param_value,seed,theta_p,theta_r,margin,savings,overhead,score,found
DE,additive,0.00000,1,272.370,267.730,4.64000,43.3510,174.310,0.716755,true
DE,additive,0.00000,2,272.370,267.730,4.64000,43.3510,174.310,0.716755,true
DE,additive,0.00000,3,272.370,267.730,4.64000,43.3510,174.310,0.716755,true
DE,additive,0.500000,1,273.230,265.280,7.95000,43.3550,174.354,0.716775,true
DE,additive,0.500000,2,273.630,265.660,7.97000,43.3549,174.367,0.716775,true
DE,additive,0.500000,3,272.270,267.470,4.80000,43.3449,174.386,0.716725,true
DE,additive,1.00000,1,278.020,262.200,15.8200,43.3411,174.342,0.716706,true
DE,additive,1.00000,2,280.070,260.270,19.8000,43.3311,174.367,0.716655,true
DE,additive,1.00000,3,277.310,262.890,14.4200,43.3500,174.374,0.716750,true
DE,additive,2.00000,1,280.270,259.070,21.2000,43.3025,174.393,0.716512,true
DE,additive,2.00000,2,285.310,255.240,30.0700,43.3044,174.367,0.716522,true
DE,additive,2.00000,3,287.280,253.460,33.8200,43.2933,174.329,0.716467,true
DE,delay,1.00000,1,272.470,267.610,4.86000,43.3230,174.316,0.716615,true
DE,delay,1.00000,2,272.470,267.610,4.86000,43.3230,174.316,0.716615,true
DE,delay,1.00000,3,272.470,267.610,4.86000,43.3230,174.316,0.716615,true
DE,delay,6.00000,1,272.300,267.600,4.70000,43.0422,174.348,0.715211,true
DE,delay,6.00000,2,272.300,267.600,4.70000,43.0422,174.348,0.715211,true
DE,delay,6.00000,3,272.300,267.600,4.70000,43.0422,174.348,0.715211,true
IT,additive,0.00000,1,246.700,230.450,16.2500,32.6655,194.675,0.663328,true
IT,additive,0.00000,2,246.700,230.450,16.2500,32.6655,194.675,0.663328,true
IT,additive,0.00000,3,246.700,230.450,16.2500,32.6655,194.675,0.663328,true
IT,additive,0.500000,1,244.050,232.790,11.2600,32.6030,194.374,0.663015,true
IT,additive,0.500000,2,247.060,229.630,17.4300,32.6466,194.695,0.663233,true
IT,additive,0.500000,3,247.290,229.570,17.7200,32.6505,194.592,0.663253,true
IT,additive,1.00000,1,248.850,228.460,20.3900,32.5912,194.400,0.662956,true
IT,additive,1.00000,2,251.610,225.460,26.1500,32.6332,194.669,0.663166,true
IT,additive,1.00000,3,249.990,226.970,23.0200,32.6333,194.592,0.663166,true
IT,additive,2.00000,1,250.830,225.290,25.5400,32.5213,194.631,0.662607,true
IT,additive,2.00000,2,254.430,222.860,31.5700,32.5868,194.631,0.662934,true
IT,additive,2.00000,3,255.690,222.340,33.3500,32.5270,194.374,0.662635,true
IT,delay,1.00000,1,246.700,230.450,16.2500,32.5610,194.682,0.662805,true
IT,delay,1.00000,2,246.700,230.450,16.2500,32.5610,194.682,0.662805,true
IT,delay,1.00000,3,246.700,230.450,16.2500,32.5610,194.682,0.662805,true
IT,delay,6.00000,1,240.670,236.840,3.83000,32.1279,194.426,0.660640,true
IT,delay,6.00000,2,240.670,236.840,3.83000,32.1279,194.426,0.660640,true
IT,delay,6.00000,3,240.670,236.840,3.83000,32.1279,194.426,0.660640,true
SE,additive,0.00000,1,18.1800,17.5100,0.670000,23.1690,106.344,0.615845,true
SE,additive,0.00000,2,18.1800,17.5100,0.670000,23.1690,106.344,0.615845,true
SE,additive,0.00000,3,18.1800,17.5100,0.670000,23.1690,106.344,0.615845,true
SE,additive,0.500000,1,19.2600,16.9700,2.29000,23.1439,103.314,0.615720,true
SE,additive,0.500000,2,19.4900,16.8600,2.63000,23.0780,103.320,0.615390,true
SE,additive,0.500000,3,18.8800,16.9100,1.97000,23.1519,106.568,0.615760,true
SE,additive,1.00000,1,19.4800,16.4100,3.07000,23.0767,105.184,0.615384,true
SE,additive,1.00000,2,19.4800,16.4100,3.07000,23.0498,106.626,0.615249,true
SE,additive,1.00000,3,19.7800,16.3000,3.48000,23.0692,103.448,0.615346,true
SE,additive,2.00000,1,21.3300,14.9500,6.38000,22.7349,103.346,0.613675,true
SE,additive,2.00000,2,20.4900,15.4400,5.05000,22.7687,106.876,0.613844,true
SE,additive,2.00000,3,20.4900,15.4400,5.05000,22.8525,105.236,0.614262,true
SE,delay,1.00000,1,18.1800,17.5100,0.670000,23.0858,106.344,0.615429,true
SE,delay,1.00000,2,18.1800,17.5100,0.670000,23.0858,106.344,0.615429,true
SE,delay,1.00000,3,18.1800,17.5100,0.670000,23.0858,106.344,0.615429,true
SE,delay,6.00000,1,18.1800,17.5100,0.670000,22.6799,106.344,0.613400,true
SE,delay,6.00000,2,18.1800,17.5100,0.670000,22.6799,106.344,0.613400,true
SE,delay,6.00000,3,18.1800,17.5100,0.670000,22.6799,106.344,0.613400,true
