Iter,θ_p,θ_r,Start,Overhead %,CO₂ Save %,Score,Pauses,Budget,Stop
0,10,0,01-01,+200.0%,+83.33%,0.9167,1,✗ No,budget_exceeded
0,10,10,01-01,+200.0%,+83.33%,0.9167,1,✗ No,budget_exceeded
0,98,0,01-01,+200.0%,+83.33%,0.9167,1,✗ No,budget_exceeded
0,98,98,01-01,+200.0%,+83.33%,0.9167,1,✗ No,budget_exceeded
0,186,0,01-01,+200.0%,+83.33%,0.9167,1,✗ No,budget_exceeded
0,186,186,01-01,+200.0%,+83.33%,0.9167,1,✗ No,budget_exceeded
0,273,0,01-01,+200.0%,+83.33%,0.9167,1,✗ No,budget_exceeded
0,273,137,01-01,+200.0%,+83.33%,0.9167,1,✗ No,budget_exceeded
0,273,273,01-01,+200.0%,+83.33%,0.9167,1,✗ No,budget_exceeded
0,361,0,01-01,+200.0%,+83.33%,0.9167,1,✗ No,budget_exceeded
0,361,90,01-01,+200.0%,+83.33%,0.9167,1,✗ No,budget_exceeded
0,361,181,01-01,+200.0%,+83.33%,0.9167,1,✗ No,budget_exceeded
0,361,271,01-01,+200.0%,+83.33%,0.9167,1,✗ No,budget_exceeded
0,361,361,01-01,+200.0%,+79.16%,0.8958,19,✗ No,budget_exceeded
0,449,0,01-01,+200.0%,+83.33%,0.9167,1,✗ No,budget_exceeded
0,449,90,01-01,+200.0%,+83.33%,0.9167,1,✗ No,budget_exceeded
0,449,180,01-01,+200.0%,+83.33%,0.9167,1,✗ No,budget_exceeded
0,449,269,01-01,+200.0%,+83.33%,0.9167,1,✗ No,budget_exceeded
0,449,359,01-01,+200.0%,+76.73%,0.8837,16,✗ No,budget_exceeded
0,449,449,01-01,+200.0%,+35.69%,0.6784,125,✗ No,budget_exceeded
0,537,0,01-01,+200.0%,+82.70%,0.9135,1,✗ No,budget_exceeded
0,537,89,01-01,+200.0%,+82.70%,0.9135,1,✗ No,budget_exceeded
0,537,179,01-01,+200.0%,+82.70%,0.9135,1,✗ No,budget_exceeded
0,537,268,01-01,+200.0%,+82.70%,0.9135,1,✗ No,budget_exceeded
0,537,358,01-01,+200.0%,+60.60%,0.8030,14,✗ No,budget_exceeded
0,537,447,01-01,+146.0%,+2.20%,0.5110,94,✓ Yes,completed
0,537,537,01-01,+78.0%,+2.67%,0.5134,121,✓ Yes,completed
0,624,0,01-01,+200.0%,+71.26%,0.8563,1,✗ No,budget_exceeded
0,624,89,01-01,+200.0%,+71.26%,0.8563,1,✗ No,budget_exceeded
0,624,178,01-01,+200.0%,+71.26%,0.8563,1,✗ No,budget_exceeded
0,624,268,01-01,+200.0%,+71.26%,0.8563,1,✗ No,budget_exceeded
0,624,357,01-01,+124.6%,-3.18%,0.4841,1,✓ Yes,completed
0,624,446,01-01,+10.2%,-0.53%,0.4973,5,✓ Yes,completed
0,624,535,01-01,+4.0%,+0.04%,0.5002,6,✓ Yes,completed
0,624,624,01-01,+1.0%,+0.02%,0.5001,6,✓ Yes,completed
0,712,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,89,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,178,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,267,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,356,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,445,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,534,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,623,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,712,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,89,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,178,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,267,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,356,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,444,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,533,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,622,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,711,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,800,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,10,0,03-03,+200.0%,+83.25%,0.9162,1,✗ No,budget_exceeded
