Iter,θ_p,θ_r,Start,Overhead %,CO₂ Save %,Score,Pauses,Budget,Stop
0,10,0,01-01,+200.0%,+83.03%,0.9152,1,✗ No,budget_exceeded
0,10,10,01-01,+200.0%,+83.03%,0.9152,1,✗ No,budget_exceeded
0,98,0,01-01,+200.0%,+83.03%,0.9152,1,✗ No,budget_exceeded
0,98,98,01-01,+200.0%,+83.03%,0.9152,1,✗ No,budget_exceeded
0,186,0,01-01,+200.0%,+83.03%,0.9152,1,✗ No,budget_exceeded
0,186,186,01-01,+200.0%,+83.03%,0.9152,1,✗ No,budget_exceeded
0,273,0,01-01,+200.0%,+81.68%,0.9084,1,✗ No,budget_exceeded
0,273,137,01-01,+200.0%,+81.68%,0.9084,1,✗ No,budget_exceeded
0,273,273,01-01,+200.0%,+75.72%,0.8786,32,✗ No,budget_exceeded
0,361,0,01-01,+200.0%,+79.05%,0.8953,1,✗ No,budget_exceeded
0,361,90,01-01,+200.0%,+79.05%,0.8953,1,✗ No,budget_exceeded
0,361,181,01-01,+200.0%,+79.05%,0.8953,1,✗ No,budget_exceeded
0,361,271,01-01,+200.0%,+64.74%,0.8237,30,✗ No,budget_exceeded
0,361,361,01-01,+180.1%,+11.59%,0.5579,139,✓ Yes,completed
0,449,0,01-01,+200.0%,+70.50%,0.8525,1,✗ No,budget_exceeded
0,449,90,01-01,+200.0%,+70.50%,0.8525,1,✗ No,budget_exceeded
0,449,180,01-01,+200.0%,+70.50%,0.8525,1,✗ No,budget_exceeded
0,449,269,01-01,+165.4%,+5.05%,0.5252,17,✓ Yes,completed
0,449,359,01-01,+96.4%,+5.81%,0.5291,37,✓ Yes,completed
0,449,449,01-01,+63.5%,+3.14%,0.5157,62,✓ Yes,completed
0,537,0,01-01,+200.0%,+67.61%,0.8381,1,✗ No,budget_exceeded
0,537,89,01-01,+200.0%,+67.61%,0.8381,1,✗ No,budget_exceeded
0,537,179,01-01,+200.0%,+67.61%,0.8381,1,✗ No,budget_exceeded
0,537,268,01-01,+114.6%,+0.30%,0.5015,2,✓ Yes,completed
0,537,358,01-01,+42.8%,-0.27%,0.4987,7,✓ Yes,completed
0,537,447,01-01,+17.5%,+0.31%,0.5016,10,✓ Yes,completed
0,537,537,01-01,+3.6%,+1.13%,0.5057,11,✓ Yes,completed
0,624,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,89,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,178,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,268,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,357,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,446,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,535,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,624,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,89,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,178,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,267,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,356,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,445,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,534,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,623,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,712,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,89,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,178,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,267,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,356,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,444,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,533,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,622,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,711,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,800,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,10,0,03-03,+200.0%,+84.28%,0.9214,1,✗ No,budget_exceeded
0,10,10,03-03,+200.0%,+84.28%,0.9214,1,✗ No,budget_exceeded
0,98,0,03-03,+200.0%,+84.28%,0.9214,1,✗ No,budget_exceeded
0,98,98,03-03,+200.0%,+84.28%,0.9214,1,✗ No,budget_exceeded
0,186,0,03-03,+200.0%,+84.28%,0.9214,1,✗ No,budget_exceeded
0,186,186,03-03,+200.0%,+83.19%,0.9160,10,✗ No,budget_exceeded
0,273,0,03-03,+200.0%,+84.28%,0.9214,1,✗ No,budget_exceeded
0,273,137,03-03,+200.0%,+84.28%,0.9214,1,✗ No,budget_exceeded
0,273,273,03-03,+200.0%,+51.31%,0.7565,115,✗ No,budget_exceeded
0,361,0,03-03,+200.0%,+84.28%,0.9214,1,✗ No,budget_exceeded
0,361,90,03-03,+200.0%,+84.28%,0.9214,1,✗ No,budget_exceeded
0,361,181,03-03,+200.0%,+78.36%,0.8918,6,✗ No,budget_exceeded
0,361,271,03-03,+200.0%,+23.60%,0.6180,111,✗ No,budget_exceeded
0,361,361,03-03,+111.4%,+17.15%,0.5857,125,✓ Yes,completed
0,449,0,03-03,+200.0%,+84.28%,0.9214,1,✗ No,budget_exceeded
0,449,90,03-03,+200.0%,+84.28%,0.9214,1,✗ No,budget_exceeded
