Iter,θ_p,θ_r,Start,Overhead %,CO₂ Save %,Score,Pauses,Budget,Stop
9,272,268,02-01,+174.3%,+43.35%,0.7168,102,✓ Yes,completed
9,272,268,02-01,+174.3%,+43.35%,0.7168,102,✓ Yes,completed
8,272,268,02-01,+174.3%,+43.35%,0.7168,102,✓ Yes,completed
8,272,268,02-01,+174.3%,+43.35%,0.7168,102,✓ Yes,completed
8,272,267,02-01,+174.3%,+43.35%,0.7168,102,✓ Yes,completed
7,272,268,02-01,+174.3%,+43.35%,0.7168,102,✓ Yes,completed
7,272,267,02-01,+174.3%,+43.35%,0.7168,102,✓ Yes,completed
7,272,267,02-01,+174.3%,+43.35%,0.7168,102,✓ Yes,completed
6,272,268,02-01,+174.3%,+43.35%,0.7168,102,✓ Yes,completed
5,273,268,02-01,+174.3%,+43.35%,0.7168,102,✓ Yes,completed
7,273,267,02-01,+174.3%,+43.35%,0.7167,101,✓ Yes,completed
7,273,266,02-01,+174.3%,+43.35%,0.7167,101,✓ Yes,completed
6,273,267,02-01,+174.3%,+43.35%,0.7167,101,✓ Yes,completed
6,273,266,02-01,+174.3%,+43.35%,0.7167,101,✓ Yes,completed
6,274,265,02-01,+174.3%,+43.34%,0.7167,100,✓ Yes,completed
5,278,263,02-01,+174.3%,+43.34%,0.7167,98,✓ Yes,completed
7,271,269,02-01,+174.2%,+43.33%,0.7167,104,✓ Yes,completed
7,271,268,02-01,+174.2%,+43.33%,0.7167,104,✓ Yes,completed
7,271,268,02-01,+174.2%,+43.33%,0.7167,104,✓ Yes,completed
6,271,268,02-01,+174.2%,+43.33%,0.7167,104,✓ Yes,completed
3,278,262,02-01,+174.3%,+43.33%,0.7166,97,✓ Yes,completed
5,274,263,02-01,+176.0%,+43.32%,0.7166,99,✓ Yes,completed
6,269,268,02-01,+176.1%,+43.32%,0.7166,107,✓ Yes,completed
6,269,267,02-01,+176.1%,+43.32%,0.7166,107,✓ Yes,completed
6,271,265,02-01,+175.9%,+43.32%,0.7166,103,✓ Yes,completed
6,270,270,02-01,+174.2%,+43.32%,0.7166,112,✓ Yes,completed
6,270,269,02-01,+174.2%,+43.32%,0.7166,112,✓ Yes,completed
6,273,265,02-01,+175.9%,+43.31%,0.7166,101,✓ Yes,completed
