Iter,θ_p,θ_r,Start,Overhead %,CO₂ Save %,Score,Pauses,Budget,Stop
0,10,0,01-01,+200.0%,+83.28%,0.4582,1,✗ No,budget_exceeded
0,10,10,01-01,+200.0%,+83.28%,0.4582,1,✗ No,budget_exceeded
0,98,0,01-01,+200.0%,+83.28%,0.4582,1,✗ No,budget_exceeded
0,98,98,01-01,+200.0%,+83.28%,0.4582,1,✗ No,budget_exceeded
0,186,0,01-01,+200.0%,+83.28%,0.4582,1,✗ No,budget_exceeded
0,186,186,01-01,+200.0%,+78.58%,0.4464,23,✗ No,budget_exceeded
0,273,0,01-01,+200.0%,+82.23%,0.4556,1,✗ No,budget_exceeded
0,273,137,01-01,+200.0%,+80.88%,0.4522,3,✗ No,budget_exceeded
0,273,273,01-01,+200.0%,+45.52%,0.3638,93,✗ No,budget_exceeded
0,361,0,01-01,+200.0%,+82.13%,0.4553,1,✗ No,budget_exceeded
0,361,90,01-01,+200.0%,+82.13%,0.4553,1,✗ No,budget_exceeded
0,361,181,01-01,+200.0%,+63.45%,0.4086,20,✗ No,budget_exceeded
0,361,271,01-01,+175.7%,+29.68%,0.3545,63,✓ Yes,completed
0,361,361,01-01,+155.5%,+26.39%,0.3716,91,✓ Yes,completed
0,449,0,01-01,+200.0%,+79.27%,0.4482,1,✗ No,budget_exceeded
0,449,90,01-01,+200.0%,+79.27%,0.4482,1,✗ No,budget_exceeded
0,449,180,01-01,+188.3%,+24.58%,0.3261,15,✓ Yes,completed
0,449,269,01-01,+137.5%,+20.08%,0.3783,40,✓ Yes,completed
0,449,359,01-01,+115.1%,+17.59%,0.4001,46,✓ Yes,completed
0,449,449,01-01,+85.3%,+14.20%,0.4289,83,✓ Yes,completed
0,537,0,01-01,+200.0%,+78.94%,0.4473,1,✗ No,budget_exceeded
0,537,89,01-01,+200.0%,+78.94%,0.4473,1,✗ No,budget_exceeded
0,537,179,01-01,+158.5%,+13.68%,0.3361,7,✓ Yes,completed
0,537,268,01-01,+93.0%,+11.84%,0.4133,16,✓ Yes,completed
