Iter,θ_p,θ_r,Start,Overhead %,CO₂ Save %,Score,Pauses,Budget,Stop
9,43,43,01-01,+0.0%,+0.02%,0.5001,1,✓ Yes,completed
9,310,310,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
9,310,271,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
9,310,232,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
9,310,194,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
9,310,155,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
9,310,116,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
9,310,77,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
9,310,39,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
9,310,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
9,277,277,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
9,277,237,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
9,277,198,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
9,277,158,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
9,277,119,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
9,277,79,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
9,277,40,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
9,277,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
9,243,243,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
9,243,203,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
9,243,162,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
9,243,122,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
9,243,81,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
9,243,41,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
9,243,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
9,210,210,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
9,210,168,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
9,210,126,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
9,210,84,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
9,210,42,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
9,210,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
9,177,177,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
9,177,132,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
9,177,88,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
9,177,44,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
9,177,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
9,143,143,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
9,143,96,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
9,143,48,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
9,143,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
9,110,110,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
9,110,55,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
9,110,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
9,77,77,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
9,77,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
8,344,344,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
8,344,301,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
8,344,258,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
8,344,215,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
8,344,172,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
8,344,129,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
8,344,86,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
8,344,43,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
8,344,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
8,307,307,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
8,307,263,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
8,307,219,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
8,307,176,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
8,307,132,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
8,307,88,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
8,307,44,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
8,307,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
8,270,270,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
8,270,225,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
8,270,180,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
8,270,135,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
8,270,90,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
8,270,45,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
8,270,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
8,233,233,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
8,233,186,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
8,233,140,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
8,233,93,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
8,233,47,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
8,233,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
8,196,196,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
8,196,147,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
8,196,98,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
8,196,49,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
8,196,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
8,159,159,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
8,159,106,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
8,159,53,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
8,159,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
8,121,121,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
8,121,61,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
8,121,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
8,84,84,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
8,84,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
8,47,47,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
8,47,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,383,383,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,383,335,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,383,287,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,383,239,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,383,191,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,383,143,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,383,96,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,383,48,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,383,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,341,341,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,341,292,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,341,244,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,341,195,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,341,146,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,341,98,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,341,49,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,341,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,300,300,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,300,250,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,300,200,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,300,150,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,300,100,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,300,50,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,300,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,258,258,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,258,207,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,258,155,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,258,103,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,258,52,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,258,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,217,217,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,217,163,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,217,109,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,217,54,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,217,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,176,176,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,176,117,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,176,59,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,176,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,134,134,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,134,67,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,134,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,93,93,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,93,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,51,51,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,51,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
6,425,425,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
6,425,372,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
6,425,319,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
6,425,266,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
6,425,213,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
6,425,159,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
6,425,106,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
6,425,53,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
6,425,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
6,379,379,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
6,379,325,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
6,379,271,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
6,379,217,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
6,379,162,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
6,379,108,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
6,379,54,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
6,379,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
6,333,333,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
6,333,277,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
6,333,222,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
6,333,166,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
6,333,111,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
6,333,55,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
6,333,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
6,287,287,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
6,287,229,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
6,287,172,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
