Iter,θ_p,θ_r,Start,Overhead %,CO₂ Save %,Score,Pauses,Budget,Stop
0,10,0,01-01,+200.0%,+82.98%,0.9149,1,✗ No,budget_exceeded
0,10,10,01-01,+200.0%,+82.98%,0.9149,1,✗ No,budget_exceeded
0,20,0,01-01,+200.0%,+82.98%,0.9149,1,✗ No,budget_exceeded
0,20,20,01-01,+200.0%,+82.19%,0.9109,6,✗ No,budget_exceeded
0,30,0,01-01,+200.0%,+82.98%,0.9149,1,✗ No,budget_exceeded
0,30,15,01-01,+200.0%,+82.98%,0.9149,1,✗ No,budget_exceeded
0,30,30,01-01,+16.0%,+5.13%,0.5257,27,✓ Yes,completed
0,40,0,01-01,+200.0%,+82.75%,0.9138,1,✗ No,budget_exceeded
0,40,13,01-01,+200.0%,+82.75%,0.9138,1,✗ No,budget_exceeded
0,40,27,01-01,+10.4%,+3.38%,0.5169,3,✓ Yes,completed
0,40,40,01-01,+1.4%,+0.78%,0.5039,8,✓ Yes,completed
0,50,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,50,13,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,50,25,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,50,38,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,50,50,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,60,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,60,12,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,60,24,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,60,36,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,60,48,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,60,60,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,70,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,70,12,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,70,23,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,70,35,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,70,47,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,70,58,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,70,70,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,80,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,80,11,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,80,23,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,80,34,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,80,46,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,80,57,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,80,69,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
