Iter,θ_p,θ_r,Start,Overhead %,CO₂ Save %,Score,Pauses,Budget,Stop
9,462,454,07-01,+40.3%,+1.17%,0.5058,50,✓ Yes,completed
9,462,453,07-01,+40.3%,+1.17%,0.5058,50,✓ Yes,completed
8,462,454,07-01,+40.3%,+1.17%,0.5058,50,✓ Yes,completed
8,462,454,07-01,+40.3%,+1.17%,0.5058,50,✓ Yes,completed
8,462,453,07-01,+40.3%,+1.17%,0.5058,50,✓ Yes,completed
7,461,454,07-01,+40.3%,+1.17%,0.5058,50,✓ Yes,completed
6,462,453,07-01,+40.3%,+1.17%,0.5058,50,✓ Yes,completed
4,461,454,07-01,+40.3%,+1.17%,0.5058,50,✓ Yes,completed
7,462,453,07-01,+40.0%,+1.16%,0.5058,49,✓ Yes,completed
7,462,452,07-01,+40.0%,+1.16%,0.5058,49,✓ Yes,completed
5,463,453,07-01,+40.0%,+1.16%,0.5058,49,✓ Yes,completed
9,461,455,07-01,+39.9%,+1.15%,0.5058,58,✓ Yes,completed
9,461,455,07-01,+39.9%,+1.15%,0.5058,58,✓ Yes,completed
9,461,454,07-01,+39.9%,+1.15%,0.5058,58,✓ Yes,completed
9,461,454,07-01,+39.9%,+1.15%,0.5058,58,✓ Yes,completed
8,461,455,07-01,+39.9%,+1.15%,0.5058,58,✓ Yes,completed
8,461,455,07-01,+39.9%,+1.15%,0.5058,58,✓ Yes,completed
8,461,454,07-01,+39.9%,+1.15%,0.5058,58,✓ Yes,completed
7,460,455,07-01,+39.9%,+1.15%,0.5058,58,✓ Yes,completed
7,460,454,07-01,+39.9%,+1.15%,0.5058,58,✓ Yes,completed
6,460,455,07-01,+39.9%,+1.15%,0.5058,58,✓ Yes,completed
7,463,452,07-01,+40.3%,+1.15%,0.5057,46,✓ Yes,completed
7,463,451,07-01,+40.3%,+1.15%,0.5057,46,✓ Yes,completed
6,463,452,07-01,+40.3%,+1.15%,0.5057,46,✓ Yes,completed
8,462,453,07-01,+41.1%,+1.14%,0.5057,50,✓ Yes,completed
8,462,453,07-01,+41.1%,+1.14%,0.5057,50,✓ Yes,completed
7,461,453,07-01,+41.1%,+1.14%,0.5057,50,✓ Yes,completed
7,461,452,07-01,+41.1%,+1.14%,0.5057,50,✓ Yes,completed
7,458,457,07-01,+40.1%,+1.13%,0.5057,71,✓ Yes,completed
7,458,456,07-01,+40.1%,+1.13%,0.5057,71,✓ Yes,completed
6,465,450,07-01,+40.5%,+1.13%,0.5057,42,✓ Yes,completed
9,461,454,07-01,+41.4%,+1.13%,0.5057,55,✓ Yes,completed
9,461,453,07-01,+41.4%,+1.13%,0.5057,55,✓ Yes,completed
8,461,454,07-01,+41.4%,+1.13%,0.5057,55,✓ Yes,completed
8,461,454,07-01,+41.4%,+1.13%,0.5057,55,✓ Yes,completed
8,461,453,07-01,+41.4%,+1.13%,0.5057,55,✓ Yes,completed
7,460,453,07-01,+41.4%,+1.13%,0.5057,55,✓ Yes,completed
6,460,453,07-01,+41.4%,+1.13%,0.5057,55,✓ Yes,completed
8,460,455,07-01,+40.6%,+1.13%,0.5057,61,✓ Yes,completed
8,460,455,07-01,+40.6%,+1.13%,0.5057,61,✓ Yes,completed
