Iter,θ_p,θ_r,Start,Overhead %,CO₂ Save %,Score,Pauses,Budget,Stop
0,10,0,01-01,+200.0%,+83.02%,0.9151,1,✗ No,budget_exceeded
0,10,10,01-01,+200.0%,+83.02%,0.9151,1,✗ No,budget_exceeded
0,98,0,01-01,+200.0%,+83.02%,0.9151,1,✗ No,budget_exceeded
0,98,98,01-01,+200.0%,+83.02%,0.9151,1,✗ No,budget_exceeded
0,186,0,01-01,+200.0%,+83.02%,0.9151,1,✗ No,budget_exceeded
0,186,186,01-01,+200.0%,+83.02%,0.9151,1,✗ No,budget_exceeded
0,273,0,01-01,+200.0%,+83.02%,0.9151,1,✗ No,budget_exceeded
0,273,137,01-01,+200.0%,+83.02%,0.9151,1,✗ No,budget_exceeded
0,273,273,01-01,+200.0%,+83.02%,0.9151,1,✗ No,budget_exceeded
0,361,0,01-01,+200.0%,+83.02%,0.9151,1,✗ No,budget_exceeded
0,361,90,01-01,+200.0%,+83.02%,0.9151,1,✗ No,budget_exceeded
0,361,181,01-01,+200.0%,+83.02%,0.9151,1,✗ No,budget_exceeded
0,361,271,01-01,+200.0%,+83.02%,0.9151,1,✗ No,budget_exceeded
0,361,361,01-01,+200.0%,+83.02%,0.9151,1,✗ No,budget_exceeded
0,449,0,01-01,+200.0%,+83.02%,0.9151,1,✗ No,budget_exceeded
0,449,90,01-01,+200.0%,+83.02%,0.9151,1,✗ No,budget_exceeded
0,449,180,01-01,+200.0%,+83.02%,0.9151,1,✗ No,budget_exceeded
0,449,269,01-01,+200.0%,+83.02%,0.9151,1,✗ No,budget_exceeded
0,449,359,01-01,+200.0%,+83.02%,0.9151,1,✗ No,budget_exceeded
0,449,449,01-01,+200.0%,+73.43%,0.8671,305,✗ No,budget_exceeded
0,537,0,01-01,+200.0%,+83.02%,0.9151,1,✗ No,budget_exceeded
0,537,89,01-01,+200.0%,+83.02%,0.9151,1,✗ No,budget_exceeded
0,537,179,01-01,+200.0%,+83.02%,0.9151,1,✗ No,budget_exceeded
0,537,268,01-01,+200.0%,+83.02%,0.9151,1,✗ No,budget_exceeded
0,537,358,01-01,+200.0%,+83.02%,0.9151,1,✗ No,budget_exceeded
0,537,447,01-01,+200.0%,+34.83%,0.6742,157,✗ No,budget_exceeded
0,537,537,01-01,+62.6%,-0.16%,0.4992,955,✓ Yes,completed
0,624,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,89,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,178,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,268,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,357,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,446,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,535,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,624,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,89,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,178,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,267,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,356,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,445,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,534,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,623,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,712,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,89,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,178,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,267,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,356,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,444,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,533,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,622,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,711,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,800,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,10,0,03-03,+200.0%,+82.84%,0.9142,1,✗ No,budget_exceeded
0,10,10,03-03,+200.0%,+82.84%,0.9142,1,✗ No,budget_exceeded
0,98,0,03-03,+200.0%,+82.84%,0.9142,1,✗ No,budget_exceeded
0,98,98,03-03,+200.0%,+82.84%,0.9142,1,✗ No,budget_exceeded
0,186,0,03-03,+200.0%,+82.84%,0.9142,1,✗ No,budget_exceeded
0,186,186,03-03,+200.0%,+82.84%,0.9142,1,✗ No,budget_exceeded
0,273,0,03-03,+200.0%,+82.84%,0.9142,1,✗ No,budget_exceeded
0,273,137,03-03,+200.0%,+82.84%,0.9142,1,✗ No,budget_exceeded
0,273,273,03-03,+200.0%,+82.84%,0.9142,1,✗ No,budget_exceeded
0,361,0,03-03,+200.0%,+82.84%,0.9142,1,✗ No,budget_exceeded
0,361,90,03-03,+200.0%,+82.84%,0.9142,1,✗ No,budget_exceeded
0,361,181,03-03,+200.0%,+82.84%,0.9142,1,✗ No,budget_exceeded
0,361,271,03-03,+200.0%,+82.84%,0.9142,1,✗ No,budget_exceeded
0,361,361,03-03,+200.0%,+82.84%,0.9142,1,✗ No,budget_exceeded
0,449,0,03-03,+200.0%,+82.84%,0.9142,1,✗ No,budget_exceeded
0,449,90,03-03,+200.0%,+82.84%,0.9142,1,✗ No,budget_exceeded
0,449,180,03-03,+200.0%,+82.84%,0.9142,1,✗ No,budget_exceeded
0,449,269,03-03,+200.0%,+82.84%,0.9142,1,✗ No,budget_exceeded
0,449,359,03-03,+200.0%,+82.84%,0.9142,1,✗ No,budget_exceeded
0,449,449,03-03,+200.0%,+72.61%,0.8631,324,✗ No,budget_exceeded
0,537,0,03-03,+200.0%,+82.76%,0.9138,1,✗ No,budget_exceeded
0,537,89,03-03,+200.0%,+82.76%,0.9138,1,✗ No,budget_exceeded
0,537,179,03-03,+200.0%,+82.76%,0.9138,1,✗ No,budget_exceeded
0,537,268,03-03,+200.0%,+82.76%,0.9138,1,✗ No,budget_exceeded
0,537,358,03-03,+200.0%,+82.76%,0.9138,1,✗ No,budget_exceeded
0,537,447,03-03,+200.0%,+26.52%,0.6326,177,✗ No,budget_exceeded
0,537,537,03-03,+62.5%,-1.68%,0.4916,954,✓ Yes,completed
0,624,0,03-03,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,89,03-03,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,178,03-03,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,268,03-03,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,357,03-03,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,446,03-03,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,535,03-03,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,624,03-03,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,0,03-03,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,89,03-03,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,178,03-03,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,267,03-03,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,356,03-03,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
