Iter,θ_p,θ_r,Start,Overhead %,CO₂ Save %,Score,Pauses,Budget,Stop
0,10,0,01-01,+200.0%,+83.19%,0.9159,1,✗ No,budget_exceeded
0,10,10,01-01,+200.0%,+83.19%,0.9159,1,✗ No,budget_exceeded
0,98,0,01-01,+200.0%,+83.19%,0.9159,1,✗ No,budget_exceeded
0,98,98,01-01,+200.0%,+83.19%,0.9159,1,✗ No,budget_exceeded
0,186,0,01-01,+200.0%,+83.19%,0.9159,1,✗ No,budget_exceeded
0,186,186,01-01,+200.0%,+82.77%,0.9139,30,✗ No,budget_exceeded
0,273,0,01-01,+200.0%,+83.02%,0.9151,1,✗ No,budget_exceeded
0,273,137,01-01,+200.0%,+83.02%,0.9151,1,✗ No,budget_exceeded
0,273,273,01-01,+200.0%,+63.19%,0.8160,579,✗ No,budget_exceeded
0,361,0,01-01,+200.0%,+82.69%,0.9134,1,✗ No,budget_exceeded
0,361,90,01-01,+200.0%,+82.69%,0.9134,1,✗ No,budget_exceeded
0,361,181,01-01,+200.0%,+80.50%,0.9025,18,✗ No,budget_exceeded
0,361,271,01-01,+200.0%,+44.66%,0.7233,477,✗ No,budget_exceeded
0,361,361,01-01,+167.7%,+8.24%,0.5412,1104,✓ Yes,completed
0,449,0,01-01,+200.0%,+81.62%,0.9081,1,✗ No,budget_exceeded
0,449,90,01-01,+200.0%,+81.62%,0.9081,1,✗ No,budget_exceeded
0,449,180,01-01,+200.0%,+69.67%,0.8483,7,✗ No,budget_exceeded
0,449,269,01-01,+107.5%,+6.25%,0.5313,158,✓ Yes,completed
0,449,359,01-01,+60.2%,+8.20%,0.5410,240,✓ Yes,completed
0,449,449,01-01,+31.5%,+8.08%,0.5404,341,✓ Yes,completed
0,537,0,01-01,+200.0%,+81.26%,0.9063,1,✗ No,budget_exceeded
0,537,89,01-01,+200.0%,+81.26%,0.9063,1,✗ No,budget_exceeded
0,537,179,01-01,+200.0%,+50.64%,0.7532,4,✗ No,budget_exceeded
0,537,268,01-01,+33.8%,+5.11%,0.5255,7,✓ Yes,completed
0,537,358,01-01,+15.5%,+4.15%,0.5208,20,✓ Yes,completed
0,537,447,01-01,+7.9%,+2.31%,0.5115,33,✓ Yes,completed
0,537,537,01-01,+3.3%,+1.31%,0.5065,82,✓ Yes,completed
0,624,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,89,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,178,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,268,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,357,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,446,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,535,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,624,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,89,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,178,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,267,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,356,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,445,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,534,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,623,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,712,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,89,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,178,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,267,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,356,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,444,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,533,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,622,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,711,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,800,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,10,0,03-03,+200.0%,+82.95%,0.9147,1,✗ No,budget_exceeded
0,10,10,03-03,+200.0%,+82.95%,0.9147,1,✗ No,budget_exceeded
0,98,0,03-03,+200.0%,+82.95%,0.9147,1,✗ No,budget_exceeded
0,98,98,03-03,+200.0%,+82.95%,0.9147,1,✗ No,budget_exceeded
0,186,0,03-03,+200.0%,+82.95%,0.9147,1,✗ No,budget_exceeded
0,186,186,03-03,+200.0%,+82.50%,0.9125,31,✗ No,budget_exceeded
0,273,0,03-03,+200.0%,+82.95%,0.9147,1,✗ No,budget_exceeded
0,273,137,03-03,+200.0%,+82.95%,0.9147,1,✗ No,budget_exceeded
0,273,273,03-03,+200.0%,+61.96%,0.8098,583,✗ No,budget_exceeded
0,361,0,03-03,+200.0%,+82.95%,0.9147,1,✗ No,budget_exceeded
0,361,90,03-03,+200.0%,+82.95%,0.9147,1,✗ No,budget_exceeded
0,361,181,03-03,+200.0%,+80.62%,0.9031,19,✗ No,budget_exceeded
0,361,271,03-03,+200.0%,+42.92%,0.7146,500,✗ No,budget_exceeded
0,361,361,03-03,+159.5%,+7.05%,0.5353,1094,✓ Yes,completed
0,449,0,03-03,+200.0%,+82.95%,0.9147,1,✗ No,budget_exceeded
0,449,90,03-03,+200.0%,+82.95%,0.9147,1,✗ No,budget_exceeded
0,449,180,03-03,+200.0%,+70.65%,0.8533,7,✗ No,budget_exceeded
0,449,269,03-03,+97.9%,+4.87%,0.5243,163,✓ Yes,completed
0,449,359,03-03,+58.9%,+6.12%,0.5306,238,✓ Yes,completed
0,449,449,03-03,+28.9%,+6.49%,0.5325,345,✓ Yes,completed
0,537,0,03-03,+200.0%,+82.95%,0.9147,1,✗ No,budget_exceeded
