Iter,θ_p,θ_r,Start,Overhead %,CO₂ Save %,Score,Pauses,Budget,Stop
0,10,0,01-01,+200.0%,+83.43%,0.9171,1,✗ No,budget_exceeded
0,10,10,01-01,+200.0%,+83.43%,0.9171,1,✗ No,budget_exceeded
0,98,0,01-01,+200.0%,+83.43%,0.9171,1,✗ No,budget_exceeded
0,98,98,01-01,+200.0%,+83.28%,0.9164,28,✗ No,budget_exceeded
0,186,0,01-01,+200.0%,+83.43%,0.9171,1,✗ No,budget_exceeded
0,186,186,01-01,+200.0%,+64.53%,0.8227,766,✗ No,budget_exceeded
0,273,0,01-01,+200.0%,+83.43%,0.9171,1,✗ No,budget_exceeded
0,273,137,01-01,+200.0%,+63.01%,0.8151,211,✗ No,budget_exceeded
0,273,273,01-01,+140.1%,+15.02%,0.5751,1403,✓ Yes,completed
0,361,0,01-01,+200.0%,+83.43%,0.9171,1,✗ No,budget_exceeded
0,361,90,01-01,+200.0%,+68.95%,0.8448,4,✗ No,budget_exceeded
0,361,181,01-01,+102.0%,+10.53%,0.5527,111,✓ Yes,completed
0,361,271,01-01,+44.6%,+11.65%,0.5582,170,✓ Yes,completed
0,361,361,01-01,+19.5%,+8.35%,0.5417,430,✓ Yes,completed
0,449,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,449,90,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,449,180,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,449,269,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,449,359,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,449,449,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,537,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,537,89,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,537,179,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,537,268,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,537,358,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,537,447,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,537,537,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,89,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,178,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,268,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,357,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,446,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,535,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,624,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,89,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,178,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,267,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,356,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,445,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,534,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,623,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,712,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,89,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,178,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,267,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,356,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,444,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,533,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,622,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,711,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,800,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
1,96,96,01-01,+200.0%,+83.31%,0.9165,16,✗ No,budget_exceeded
1,96,96,01-01,+200.0%,+83.31%,0.9165,16,✗ No,budget_exceeded
1,135,96,01-01,+200.0%,+83.20%,0.9160,13,✗ No,budget_exceeded
1,135,135,01-01,+200.0%,+78.88%,0.8944,468,✗ No,budget_exceeded
1,175,96,01-01,+200.0%,+83.09%,0.9154,13,✗ No,budget_exceeded
1,175,175,01-01,+200.0%,+68.33%,0.8416,701,✗ No,budget_exceeded
1,214,96,01-01,+200.0%,+82.57%,0.9129,7,✗ No,budget_exceeded
1,214,155,01-01,+200.0%,+68.85%,0.8443,370,✗ No,budget_exceeded
1,214,214,01-01,+200.0%,+50.74%,0.7537,1089,✗ No,budget_exceeded
1,254,96,01-01,+200.0%,+82.52%,0.9126,7,✗ No,budget_exceeded
1,254,148,01-01,+200.0%,+64.27%,0.8213,307,✗ No,budget_exceeded
1,254,201,01-01,+200.0%,+46.49%,0.7325,621,✗ No,budget_exceeded
1,254,254,01-01,+187.0%,+15.46%,0.5773,1566,✓ Yes,completed
1,293,96,01-01,+200.0%,+82.10%,0.9105,7,✗ No,budget_exceeded
1,293,135,01-01,+200.0%,+56.12%,0.7806,169,✗ No,budget_exceeded
1,293,175,01-01,+200.0%,+41.00%,0.7050,378,✗ No,budget_exceeded
1,293,214,01-01,+196.3%,+14.05%,0.5703,669,✓ Yes,completed
1,293,254,01-01,+157.4%,+13.46%,0.5673,754,✓ Yes,completed
1,293,293,01-01,+96.8%,+14.76%,0.5738,1117,✓ Yes,completed
1,333,96,01-01,+200.0%,+73.20%,0.8660,4,✗ No,budget_exceeded
1,333,135,01-01,+200.0%,+26.14%,0.6307,114,✗ No,budget_exceeded
1,333,175,01-01,+172.8%,+9.29%,0.5464,251,✓ Yes,completed
1,333,214,01-01,+117.9%,+13.42%,0.5671,325,✓ Yes,completed
1,333,254,01-01,+95.1%,+13.41%,0.5670,376,✓ Yes,completed
