Iter,θ_p,θ_r,Start,Overhead %,CO₂ Save %,Score,Pauses,Budget,Stop
0,10,0,01-01,+200.0%,+83.43%,0.9171,1,✗ No,budget_exceeded
0,10,10,01-01,+200.0%,+83.43%,0.9171,1,✗ No,budget_exceeded
0,98,0,01-01,+200.0%,+83.43%,0.9171,1,✗ No,budget_exceeded
0,98,98,01-01,+200.0%,+83.28%,0.9164,28,✗ No,budget_exceeded
0,186,0,01-01,+200.0%,+83.43%,0.9171,1,✗ No,budget_exceeded
0,186,186,01-01,+200.0%,+64.53%,0.8227,766,✗ No,budget_exceeded
0,273,0,01-01,+200.0%,+83.43%,0.9171,1,✗ No,budget_exceeded
0,273,137,01-01,+200.0%,+63.01%,0.8151,211,✗ No,budget_exceeded
0,273,273,01-01,+140.1%,+15.02%,0.5751,1403,✓ Yes,completed
0,361,0,01-01,+200.0%,+83.43%,0.9171,1,✗ No,budget_exceeded
0,361,90,01-01,+200.0%,+68.95%,0.8448,4,✗ No,budget_exceeded
0,361,181,01-01,+102.0%,+10.53%,0.5527,111,✓ Yes,completed
0,361,271,01-01,+44.6%,+11.65%,0.5582,170,✓ Yes,completed
0,361,361,01-01,+19.5%,+8.35%,0.5417,430,✓ Yes,completed
0,449,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,449,90,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,449,180,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,449,269,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,449,359,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,449,449,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,537,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,537,89,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,537,179,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,537,268,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,537,358,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,537,447,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,537,537,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,89,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,178,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,268,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,357,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,446,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,535,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,624,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,89,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,178,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,267,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,356,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,445,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,534,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,623,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,712,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,89,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,178,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,267,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,356,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,444,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,533,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,622,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,711,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,800,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,10,0,03-03,+200.0%,+82.85%,0.9142,1,✗ No,budget_exceeded
0,10,10,03-03,+200.0%,+82.85%,0.9142,1,✗ No,budget_exceeded
0,98,0,03-03,+200.0%,+82.85%,0.9142,1,✗ No,budget_exceeded
0,98,98,03-03,+200.0%,+82.69%,0.9134,28,✗ No,budget_exceeded
0,186,0,03-03,+200.0%,+82.85%,0.9142,1,✗ No,budget_exceeded
0,186,186,03-03,+200.0%,+62.59%,0.8129,768,✗ No,budget_exceeded
0,273,0,03-03,+200.0%,+82.81%,0.9141,1,✗ No,budget_exceeded
0,273,137,03-03,+200.0%,+60.95%,0.8047,211,✗ No,budget_exceeded
0,273,273,03-03,+140.8%,+10.30%,0.5515,1403,✓ Yes,completed
0,361,0,03-03,+200.0%,+82.71%,0.9135,1,✗ No,budget_exceeded
0,361,90,03-03,+200.0%,+67.29%,0.8364,4,✗ No,budget_exceeded
0,361,181,03-03,+89.6%,+7.02%,0.5351,109,✓ Yes,completed
0,361,271,03-03,+38.8%,+7.62%,0.5381,169,✓ Yes,completed
0,361,361,03-03,+14.8%,+5.75%,0.5288,370,✓ Yes,completed
0,449,0,03-03,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,449,90,03-03,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,449,180,03-03,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,449,269,03-03,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,449,359,03-03,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,449,449,03-03,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,537,0,03-03,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,537,89,03-03,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,537,179,03-03,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,537,268,03-03,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
