Iter,θ_p,θ_r,Start,Overhead %,CO₂ Save %,Score,Pauses,Budget,Stop
9,22,19,07-01,+68.9%,+9.42%,0.5471,538,✓ Yes,completed
9,19,19,07-01,+96.5%,+9.34%,0.5467,1.058,✓ Yes,completed
8,20,20,07-01,+66.5%,+9.21%,0.5460,877,✓ Yes,completed
9,24,22,07-01,+34.6%,+8.43%,0.5422,387,✓ Yes,completed
9,24,24,07-01,+26.8%,+8.36%,0.5418,481,✓ Yes,completed
9,22,22,07-01,+49.1%,+8.24%,0.5412,761,✓ Yes,completed
9,26,22,07-01,+23.8%,+7.74%,0.5387,278,✓ Yes,completed
9,26,24,07-01,+18.8%,+7.68%,0.5384,296,✓ Yes,completed
9,24,19,07-01,+55.5%,+7.57%,0.5379,380,✓ Yes,completed
8,26,26,07-01,+17.5%,+7.50%,0.5375,452,✓ Yes,completed
7,26,26,07-01,+17.5%,+7.50%,0.5375,452,✓ Yes,completed
8,26,19,07-01,+43.8%,+7.36%,0.5368,286,✓ Yes,completed
9,26,26,07-01,+14.5%,+7.29%,0.5364,387,✓ Yes,completed
9,26,19,07-01,+38.6%,+7.27%,0.5364,250,✓ Yes,completed
9,29,22,07-01,+18.3%,+7.20%,0.5360,218,✓ Yes,completed
9,29,24,07-01,+15.4%,+7.14%,0.5357,235,✓ Yes,completed
9,29,26,07-01,+11.9%,+6.98%,0.5349,250,✓ Yes,completed
9,29,19,07-01,+27.8%,+6.88%,0.5344,197,✓ Yes,completed
9,29,29,07-01,+10.3%,+6.81%,0.5341,301,✓ Yes,completed
9,31,22,07-01,+15.1%,+6.73%,0.5336,187,✓ Yes,completed
9,31,24,07-01,+13.2%,+6.71%,0.5335,200,✓ Yes,completed
8,31,23,07-01,+13.2%,+6.71%,0.5335,200,✓ Yes,completed
9,31,26,07-01,+10.0%,+6.70%,0.5335,203,✓ Yes,completed
9,31,19,07-01,+20.7%,+6.58%,0.5329,167,✓ Yes,completed
9,31,29,07-01,+9.1%,+6.40%,0.5320,211,✓ Yes,completed
9,31,31,07-01,+8.3%,+6.02%,0.5301,259,✓ Yes,completed
8,31,31,07-01,+8.3%,+6.02%,0.5301,259,✓ Yes,completed
9,29,17,07-01,+80.7%,+5.76%,0.5288,210,✓ Yes,completed
8,36,22,07-01,+9.2%,+5.51%,0.5276,110,✓ Yes,completed
8,36,29,07-01,+5.7%,+4.90%,0.5245,116,✓ Yes,completed
9,31,17,07-01,+72.4%,+4.90%,0.5245,169,✓ Yes,completed
9,24,17,07-01,+151.9%,+4.77%,0.5238,358,✓ Yes,completed
9,26,17,07-01,+112.5%,+4.42%,0.5221,250,✓ Yes,completed
8,41,21,07-01,+6.7%,+4.12%,0.5206,63,✓ Yes,completed
7,41,21,07-01,+6.7%,+4.12%,0.5206,63,✓ Yes,completed
9,22,17,07-01,+181.0%,+4.11%,0.5205,482,✓ Yes,completed
8,36,36,07-01,+4.2%,+3.99%,0.5199,146,✓ Yes,completed
8,41,28,07-01,+3.9%,+3.61%,0.5180,68,✓ Yes,completed
8,41,34,07-01,+3.2%,+3.45%,0.5173,70,✓ Yes,completed
8,41,41,07-01,+2.3%,+2.62%,0.5131,97,✓ Yes,completed
7,41,41,07-01,+2.3%,+2.62%,0.5131,97,✓ Yes,completed
8,46,20,07-01,+4.7%,+2.61%,0.5131,33,✓ Yes,completed
8,46,27,07-01,+2.1%,+2.20%,0.5110,36,✓ Yes,completed
8,46,33,07-01,+1.7%,+2.04%,0.5102,35,✓ Yes,completed
8,46,40,07-01,+1.4%,+1.75%,0.5087,35,✓ Yes,completed
8,52,19,07-01,+2.0%,+1.07%,0.5053,7,✓ Yes,completed
8,46,46,07-01,+0.8%,+1.00%,0.5050,57,✓ Yes,completed
8,57,19,07-01,+2.0%,+0.73%,0.5037,1,✓ Yes,completed
7,57,19,07-01,+2.0%,+0.73%,0.5037,1,✓ Yes,completed
8,52,26,07-01,+0.7%,+0.70%,0.5035,9,✓ Yes,completed
8,52,32,07-01,+0.5%,+0.59%,0.5030,9,✓ Yes,completed
8,52,39,07-01,+0.3%,+0.45%,0.5022,9,✓ Yes,completed
8,52,45,07-01,+0.2%,+0.35%,0.5017,9,✓ Yes,completed
8,52,52,07-01,+0.1%,+0.17%,0.5009,11,✓ Yes,completed
8,57,25,07-01,+0.0%,+0.05%,0.5002,1,✓ Yes,completed
8,57,32,07-01,+0.0%,+0.04%,0.5002,1,✓ Yes,completed
8,57,38,07-01,+0.0%,+0.04%,0.5002,1,✓ Yes,completed
7,57,38,07-01,+0.0%,+0.04%,0.5002,1,✓ Yes,completed
8,57,44,07-01,+0.0%,+0.02%,0.5001,1,✓ Yes,completed
8,57,51,07-01,+0.0%,+0.01%,0.5001,1,✓ Yes,completed
8,57,57,07-01,+0.0%,+0.01%,0.5001,1,✓ Yes,completed
7,57,57,07-01,+0.0%,+0.01%,0.5001,1,✓ Yes,completed
6,56,56,07-01,+0.0%,+0.01%,0.5001,1,✓ Yes,completed
7,150,150,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,150,133,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,150,116,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,150,100,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,150,83,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,150,66,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,150,50,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,150,33,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,150,17,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,150,0,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,134,134,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,134,117,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,134,101,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,134,84,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,134,67,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,134,50,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,134,34,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,134,17,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,134,0,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,119,119,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,119,102,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,119,85,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,119,68,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,119,51,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,119,34,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,119,17,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,119,0,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,103,103,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,103,86,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,103,69,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,103,52,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,103,34,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,103,17,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,103,0,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,88,88,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,88,70,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,88,53,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,88,35,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,88,18,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,88,0,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,72,72,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,72,54,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,72,36,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,72,18,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
7,72,0,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
6,425,425,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
6,425,372,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
6,425,319,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
6,425,266,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
6,425,213,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
6,425,159,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
6,425,106,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
6,425,53,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
6,425,0,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
6,379,379,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
6,379,325,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
6,379,271,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
