Iter,θ_p,θ_r,Start,Overhead %,CO₂ Save %,Score,Pauses,Budget,Stop
9,22,21,02-14,+115.4%,+12.84%,0.5642,522,✓ Yes,completed
7,22,21,02-14,+115.4%,+12.84%,0.5642,522,✓ Yes,completed
6,22,21,02-14,+115.4%,+12.84%,0.5642,522,✓ Yes,completed
9,22,21,02-15,+115.2%,+12.83%,0.5642,522,✓ Yes,completed
7,22,21,02-15,+115.2%,+12.83%,0.5642,522,✓ Yes,completed
6,22,21,02-13,+115.6%,+12.81%,0.5641,522,✓ Yes,completed
6,22,21,02-14,+117.9%,+12.81%,0.5641,506,✓ Yes,completed
8,22,21,02-14,+117.9%,+12.81%,0.5641,506,✓ Yes,completed
8,22,21,02-15,+117.7%,+12.81%,0.5640,506,✓ Yes,completed
5,22,21,02-13,+116.8%,+12.81%,0.5640,493,✓ Yes,completed
6,22,21,02-13,+118.1%,+12.80%,0.5640,506,✓ Yes,completed
5,21,21,02-13,+118.5%,+12.77%,0.5639,822,✓ Yes,completed
4,22,21,02-12,+115.7%,+12.77%,0.5638,523,✓ Yes,completed
5,22,21,02-12,+117.0%,+12.77%,0.5638,494,✓ Yes,completed
4,22,21,02-11,+115.9%,+12.74%,0.5637,524,✓ Yes,completed
5,22,21,02-11,+117.2%,+12.74%,0.5637,495,✓ Yes,completed
5,21,21,02-12,+118.6%,+12.73%,0.5637,823,✓ Yes,completed
4,22,21,02-12,+120.3%,+12.72%,0.5636,479,✓ Yes,completed
4,22,21,02-10,+116.1%,+12.71%,0.5635,524,✓ Yes,completed
5,22,20,02-13,+120.4%,+12.71%,0.5635,464,✓ Yes,completed
5,22,21,02-13,+114.3%,+12.71%,0.5635,510,✓ Yes,completed
5,21,21,02-11,+118.8%,+12.70%,0.5635,824,✓ Yes,completed
4,22,21,02-11,+120.5%,+12.69%,0.5635,479,✓ Yes,completed
4,22,21,02-09,+116.3%,+12.68%,0.5634,525,✓ Yes,completed
5,22,20,02-12,+120.7%,+12.67%,0.5633,464,✓ Yes,completed
4,22,21,02-10,+120.7%,+12.67%,0.5633,479,✓ Yes,completed
5,22,21,02-12,+114.4%,+12.66%,0.5633,511,✓ Yes,completed
4,22,21,02-06,+117.0%,+12.65%,0.5632,525,✓ Yes,completed
3,21,21,02-09,+119.3%,+12.64%,0.5632,825,✓ Yes,completed
5,22,20,02-11,+120.9%,+12.64%,0.5632,464,✓ Yes,completed
4,22,21,02-08,+116.5%,+12.63%,0.5632,525,✓ Yes,completed
4,22,21,02-09,+121.0%,+12.63%,0.5632,480,✓ Yes,completed
4,22,21,02-07,+116.8%,+12.63%,0.5631,525,✓ Yes,completed
5,22,21,02-11,+114.6%,+12.63%,0.5631,512,✓ Yes,completed
4,22,21,02-06,+121.6%,+12.60%,0.5630,480,✓ Yes,completed
4,22,21,02-08,+121.1%,+12.59%,0.5630,480,✓ Yes,completed
3,21,21,02-07,+119.7%,+12.59%,0.5629,826,✓ Yes,completed
4,22,21,02-07,+121.4%,+12.58%,0.5629,480,✓ Yes,completed
8,22,22,02-14,+112.8%,+12.58%,0.5629,545,✓ Yes,completed
6,22,22,02-14,+112.8%,+12.58%,0.5629,545,✓ Yes,completed
3,22,20,02-09,+121.4%,+12.58%,0.5629,464,✓ Yes,completed
8,22,22,02-15,+112.6%,+12.57%,0.5629,545,✓ Yes,completed
3,21,21,02-05,+120.1%,+12.57%,0.5629,826,✓ Yes,completed
3,22,21,02-09,+115.0%,+12.57%,0.5628,513,✓ Yes,completed
6,22,22,02-13,+113.0%,+12.56%,0.5628,545,✓ Yes,completed
3,22,20,02-07,+121.8%,+12.53%,0.5626,464,✓ Yes,completed
3,22,21,02-07,+115.5%,+12.52%,0.5626,513,✓ Yes,completed
3,21,21,02-03,+120.5%,+12.51%,0.5626,826,✓ Yes,completed
3,22,20,02-05,+122.2%,+12.51%,0.5625,464,✓ Yes,completed
4,22,21,02-12,+113.1%,+12.50%,0.5625,546,✓ Yes,completed
3,22,21,02-05,+115.9%,+12.50%,0.5625,514,✓ Yes,completed
3,24,24,02-09,+42.3%,+12.50%,0.5625,681,✓ Yes,completed
4,22,21,02-11,+113.3%,+12.47%,0.5623,547,✓ Yes,completed
3,24,24,02-07,+42.5%,+12.46%,0.5623,683,✓ Yes,completed
3,21,21,02-01,+121.0%,+12.46%,0.5623,826,✓ Yes,completed
3,22,20,02-03,+122.7%,+12.45%,0.5622,464,✓ Yes,completed
3,24,24,02-05,+42.8%,+12.45%,0.5622,686,✓ Yes,completed
3,22,21,02-03,+116.3%,+12.44%,0.5622,514,✓ Yes,completed
4,22,21,02-10,+113.5%,+12.43%,0.5622,547,✓ Yes,completed
2,22,22,02-02,+116.7%,+12.42%,0.5621,802,✓ Yes,completed
3,24,24,02-03,+43.0%,+12.40%,0.5620,689,✓ Yes,completed
4,22,21,02-09,+113.7%,+12.40%,0.5620,548,✓ Yes,completed
3,22,20,02-01,+123.1%,+12.39%,0.5620,464,✓ Yes,completed
3,21,21,01-30,+121.4%,+12.39%,0.5619,826,✓ Yes,completed
3,22,21,02-01,+116.8%,+12.39%,0.5619,514,✓ Yes,completed
5,22,21,02-13,+111.6%,+12.38%,0.5619,532,✓ Yes,completed
3,23,20,02-09,+119.2%,+12.38%,0.5619,395,✓ Yes,completed
4,22,21,02-06,+114.4%,+12.37%,0.5618,549,✓ Yes,completed
3,23,21,02-09,+115.0%,+12.36%,0.5618,414,✓ Yes,completed
4,22,21,02-08,+113.9%,+12.36%,0.5618,548,✓ Yes,completed
2,23,20,02-02,+121.6%,+12.35%,0.5617,414,✓ Yes,completed
3,24,24,02-01,+43.3%,+12.35%,0.5617,693,✓ Yes,completed
4,22,21,02-07,+114.1%,+12.35%,0.5617,549,✓ Yes,completed
2,22,22,01-31,+117.1%,+12.34%,0.5617,803,✓ Yes,completed
5,22,21,02-12,+111.8%,+12.34%,0.5617,533,✓ Yes,completed
3,23,20,02-07,+119.7%,+12.33%,0.5617,395,✓ Yes,completed
9,22,22,02-14,+110.6%,+12.33%,0.5616,580,✓ Yes,completed
7,22,22,02-14,+110.6%,+12.33%,0.5616,580,✓ Yes,completed
9,22,22,02-15,+110.4%,+12.32%,0.5616,580,✓ Yes,completed
7,22,22,02-15,+110.4%,+12.32%,0.5616,580,✓ Yes,completed
3,22,20,01-30,+123.6%,+12.32%,0.5616,464,✓ Yes,completed
3,23,21,02-07,+115.4%,+12.32%,0.5616,414,✓ Yes,completed
3,22,21,01-30,+117.2%,+12.32%,0.5616,514,✓ Yes,completed
3,23,20,02-05,+120.1%,+12.31%,0.5616,395,✓ Yes,completed
5,22,21,02-11,+112.0%,+12.30%,0.5615,534,✓ Yes,completed
3,23,21,02-05,+115.9%,+12.30%,0.5615,414,✓ Yes,completed
3,24,24,01-30,+43.5%,+12.27%,0.5614,699,✓ Yes,completed
2,23,20,01-31,+121.9%,+12.26%,0.5613,414,✓ Yes,completed
4,22,22,02-12,+111.0%,+12.26%,0.5613,581,✓ Yes,completed
3,23,20,02-03,+120.5%,+12.25%,0.5613,395,✓ Yes,completed
3,23,21,02-03,+116.3%,+12.24%,0.5612,414,✓ Yes,completed
4,22,22,02-11,+111.1%,+12.22%,0.5611,582,✓ Yes,completed
3,21,21,01-28,+121.7%,+12.22%,0.5611,827,✓ Yes,completed
2,26,23,02-02,+42.2%,+12.21%,0.5610,303,✓ Yes,completed
2,25,25,02-02,+40.9%,+12.21%,0.5610,662,✓ Yes,completed
3,23,20,02-01,+121.0%,+12.20%,0.5610,395,✓ Yes,completed
4,22,22,02-10,+111.3%,+12.19%,0.5609,582,✓ Yes,completed
3,23,21,02-01,+116.7%,+12.18%,0.5609,414,✓ Yes,completed
3,22,20,01-28,+123.9%,+12.16%,0.5608,465,✓ Yes,completed
4,22,22,02-09,+111.5%,+12.15%,0.5608,583,✓ Yes,completed
3,22,21,01-28,+117.5%,+12.13%,0.5607,515,✓ Yes,completed
3,23,20,01-30,+121.4%,+12.13%,0.5606,395,✓ Yes,completed
4,22,22,02-06,+112.1%,+12.12%,0.5606,584,✓ Yes,completed
4,22,22,02-08,+111.7%,+12.11%,0.5606,583,✓ Yes,completed
2,26,23,01-31,+42.4%,+12.11%,0.5605,304,✓ Yes,completed
3,21,21,01-26,+122.1%,+12.11%,0.5605,828,✓ Yes,completed
3,23,21,01-30,+117.2%,+12.11%,0.5605,414,✓ Yes,completed
4,22,22,02-07,+111.9%,+12.10%,0.5605,584,✓ Yes,completed
3,24,24,01-28,+43.5%,+12.10%,0.5605,702,✓ Yes,completed
2,25,25,01-31,+41.1%,+12.10%,0.5605,668,✓ Yes,completed
8,22,22,02-14,+108.1%,+12.06%,0.5603,663,✓ Yes,completed
6,22,22,02-14,+108.1%,+12.06%,0.5603,663,✓ Yes,completed
8,22,22,02-15,+107.9%,+12.06%,0.5603,663,✓ Yes,completed
3,24,20,02-09,+114.9%,+12.06%,0.5603,353,✓ Yes,completed
3,22,20,01-26,+124.3%,+12.04%,0.5602,466,✓ Yes,completed
6,22,22,02-13,+108.3%,+12.04%,0.5602,663,✓ Yes,completed
3,22,21,01-26,+117.9%,+12.01%,0.5601,517,✓ Yes,completed
3,24,20,02-07,+115.3%,+12.01%,0.5601,353,✓ Yes,completed
2,22,22,01-26,+118.0%,+12.01%,0.5600,803,✓ Yes,completed
2,22,22,01-01,+123.4%,+12.00%,0.5600,807,✓ Yes,completed
3,24,20,02-05,+115.7%,+11.99%,0.5599,353,✓ Yes,completed
3,24,19,02-09,+121.4%,+11.98%,0.5599,333,✓ Yes,completed
