Iter,θ_p,θ_r,Start,Overhead %,CO₂ Save %,Score,Pauses,Budget,Stop
9,22,22,03-07,+35.0%,+12.56%,0.5628,627,✓ Yes,completed
8,22,22,03-07,+35.0%,+12.56%,0.5628,627,✓ Yes,completed
7,22,22,03-07,+35.0%,+12.56%,0.5628,627,✓ Yes,completed
5,23,23,03-07,+35.0%,+12.56%,0.5628,627,✓ Yes,completed
5,23,22,03-07,+35.0%,+12.56%,0.5628,627,✓ Yes,completed
4,22,22,03-07,+35.0%,+12.56%,0.5628,627,✓ Yes,completed
9,22,22,03-08,+35.0%,+12.54%,0.5627,631,✓ Yes,completed
8,22,22,03-08,+35.0%,+12.54%,0.5627,631,✓ Yes,completed
7,22,22,03-08,+35.0%,+12.54%,0.5627,631,✓ Yes,completed
5,23,23,03-08,+35.0%,+12.54%,0.5627,631,✓ Yes,completed
5,23,22,03-08,+35.0%,+12.54%,0.5627,631,✓ Yes,completed
5,23,22,03-05,+35.0%,+12.53%,0.5626,628,✓ Yes,completed
4,22,22,03-05,+35.0%,+12.53%,0.5626,628,✓ Yes,completed
3,23,23,03-05,+35.0%,+12.53%,0.5626,628,✓ Yes,completed
5,23,23,03-06,+35.0%,+12.53%,0.5626,627,✓ Yes,completed
5,23,22,03-06,+35.0%,+12.53%,0.5626,627,✓ Yes,completed
5,23,23,03-09,+35.0%,+12.51%,0.5626,629,✓ Yes,completed
5,23,22,03-09,+35.0%,+12.51%,0.5626,629,✓ Yes,completed
4,22,22,03-09,+35.0%,+12.51%,0.5626,629,✓ Yes,completed
4,23,22,03-07,+34.9%,+12.50%,0.5625,438,✓ Yes,completed
4,23,22,03-07,+34.9%,+12.50%,0.5625,438,✓ Yes,completed
4,23,21,03-07,+34.9%,+12.50%,0.5625,438,✓ Yes,completed
5,23,22,03-10,+35.0%,+12.48%,0.5624,628,✓ Yes,completed
3,23,23,03-10,+35.0%,+12.48%,0.5624,628,✓ Yes,completed
4,23,22,03-09,+34.9%,+12.47%,0.5623,438,✓ Yes,completed
4,23,22,03-09,+34.9%,+12.47%,0.5623,438,✓ Yes,completed
4,23,21,03-09,+34.9%,+12.47%,0.5623,438,✓ Yes,completed
4,23,22,03-05,+34.9%,+12.47%,0.5623,439,✓ Yes,completed
4,23,22,03-05,+34.9%,+12.47%,0.5623,439,✓ Yes,completed
4,23,21,03-05,+34.9%,+12.47%,0.5623,439,✓ Yes,completed
3,24,22,03-05,+34.9%,+12.47%,0.5623,439,✓ Yes,completed
5,23,23,03-04,+35.0%,+12.47%,0.5623,628,✓ Yes,completed
5,23,22,03-04,+35.0%,+12.47%,0.5623,628,✓ Yes,completed
2,23,23,03-04,+35.0%,+12.47%,0.5623,628,✓ Yes,completed
4,22,22,03-11,+34.9%,+12.46%,0.5623,627,✓ Yes,completed
3,23,22,02-23,+38.9%,+12.45%,0.5623,509,✓ Yes,completed
3,23,21,02-23,+38.9%,+12.45%,0.5623,509,✓ Yes,completed
5,23,22,03-05,+40.3%,+12.43%,0.5622,511,✓ Yes,completed
4,22,22,03-05,+40.3%,+12.43%,0.5622,511,✓ Yes,completed
4,22,21,03-05,+40.3%,+12.43%,0.5622,511,✓ Yes,completed
3,23,22,03-05,+40.3%,+12.43%,0.5622,511,✓ Yes,completed
3,23,21,03-05,+40.3%,+12.43%,0.5622,511,✓ Yes,completed
3,23,22,02-18,+39.3%,+12.43%,0.5622,512,✓ Yes,completed
3,23,21,02-18,+39.3%,+12.43%,0.5622,512,✓ Yes,completed
3,24,22,03-10,+34.9%,+12.43%,0.5622,437,✓ Yes,completed
4,22,22,03-03,+35.0%,+12.41%,0.5620,628,✓ Yes,completed
5,23,22,03-06,+40.3%,+12.41%,0.5620,510,✓ Yes,completed
5,23,22,03-04,+40.3%,+12.40%,0.5620,510,✓ Yes,completed
4,23,22,03-11,+34.8%,+12.40%,0.5620,436,✓ Yes,completed
4,23,22,03-11,+34.8%,+12.40%,0.5620,436,✓ Yes,completed
4,23,21,03-11,+34.8%,+12.40%,0.5620,436,✓ Yes,completed
4,22,22,03-03,+40.3%,+12.38%,0.5619,510,✓ Yes,completed
4,22,21,03-03,+40.3%,+12.38%,0.5619,510,✓ Yes,completed
4,22,22,03-01,+35.0%,+12.35%,0.5618,628,✓ Yes,completed
4,23,22,03-03,+34.9%,+12.35%,0.5617,439,✓ Yes,completed
