Iter,θ_p,θ_r,Start,Overhead %,CO₂ Save %,Score,Pauses,Budget,Stop
0,10,0,01-01,+200.0%,+82.97%,0.9148,1,✗ No,budget_exceeded
0,10,10,01-01,+200.0%,+82.97%,0.9148,1,✗ No,budget_exceeded
0,98,0,01-01,+200.0%,+82.97%,0.9148,1,✗ No,budget_exceeded
0,98,98,01-01,+200.0%,+82.97%,0.9148,1,✗ No,budget_exceeded
0,186,0,01-01,+200.0%,+82.97%,0.9148,1,✗ No,budget_exceeded
0,186,186,01-01,+200.0%,+82.97%,0.9148,1,✗ No,budget_exceeded
0,273,0,01-01,+200.0%,+82.97%,0.9148,1,✗ No,budget_exceeded
0,273,137,01-01,+200.0%,+82.97%,0.9148,1,✗ No,budget_exceeded
0,273,273,01-01,+200.0%,+82.76%,0.9138,22,✗ No,budget_exceeded
0,361,0,01-01,+200.0%,+82.97%,0.9148,1,✗ No,budget_exceeded
0,361,90,01-01,+200.0%,+82.97%,0.9148,1,✗ No,budget_exceeded
0,361,181,01-01,+200.0%,+82.97%,0.9148,1,✗ No,budget_exceeded
0,361,271,01-01,+200.0%,+82.53%,0.9127,10,✗ No,budget_exceeded
0,361,361,01-01,+200.0%,+53.34%,0.7667,585,✗ No,budget_exceeded
0,449,0,01-01,+200.0%,+82.54%,0.9127,1,✗ No,budget_exceeded
0,449,90,01-01,+200.0%,+82.54%,0.9127,1,✗ No,budget_exceeded
0,449,180,01-01,+200.0%,+82.54%,0.9127,1,✗ No,budget_exceeded
0,449,269,01-01,+200.0%,+37.10%,0.6855,4,✗ No,budget_exceeded
0,449,359,01-01,+138.8%,-3.87%,0.4806,59,✓ Yes,completed
0,449,449,01-01,+27.6%,+1.56%,0.5078,411,✓ Yes,completed
0,537,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,537,89,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,537,179,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,537,268,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,537,358,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,537,447,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,537,537,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,89,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,178,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,268,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,357,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,446,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,535,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,624,624,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,89,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,178,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,267,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,356,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,445,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,534,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,623,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,712,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,89,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,178,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,267,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,356,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,444,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,533,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,622,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,711,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,800,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
1,271,271,01-01,+200.0%,+82.84%,0.9142,10,✗ No,budget_exceeded
1,271,271,01-01,+200.0%,+82.84%,0.9142,10,✗ No,budget_exceeded
1,311,271,01-01,+200.0%,+82.65%,0.9132,10,✗ No,budget_exceeded
1,311,311,01-01,+200.0%,+79.57%,0.8979,113,✗ No,budget_exceeded
1,350,271,01-01,+200.0%,+82.55%,0.9128,10,✗ No,budget_exceeded
1,350,350,01-01,+200.0%,+64.05%,0.8203,475,✗ No,budget_exceeded
1,390,271,01-01,+200.0%,+80.37%,0.9019,7,✗ No,budget_exceeded
1,390,330,01-01,+200.0%,+59.22%,0.7961,146,✗ No,budget_exceeded
1,390,390,01-01,+200.0%,+0.85%,0.5043,975,✗ No,budget_exceeded
1,429,271,01-01,+200.0%,+70.75%,0.8537,7,✗ No,budget_exceeded
1,429,324,01-01,+200.0%,+16.43%,0.5822,58,✗ No,budget_exceeded
1,429,376,01-01,+149.3%,-3.86%,0.4807,205,✓ Yes,completed
1,429,429,01-01,+60.9%,+0.58%,0.5029,600,✓ Yes,completed
1,469,271,01-01,+200.0%,+5.42%,0.5271,5,✗ No,budget_exceeded
1,469,311,01-01,+94.5%,-1.10%,0.4945,10,✓ Yes,completed
1,469,350,01-01,+82.0%,-0.86%,0.4957,19,✓ Yes,completed
1,469,390,01-01,+48.8%,+0.36%,0.5018,37,✓ Yes,completed
1,469,429,01-01,+22.6%,+1.87%,0.5093,81,✓ Yes,completed
1,469,469,01-01,+9.1%,+1.59%,0.5079,171,✓ Yes,completed
1,508,271,01-01,+32.4%,-2.41%,0.4880,2,✓ Yes,completed
1,508,311,01-01,+14.5%,+1.06%,0.5053,4,✓ Yes,completed
