acronym,title,score,acceptance%,submission deadline,notification,final version,location,when,link,cfp
GREEN 2026,"The Eleventh International Conference on Green Communications, Computing and Technologies",92,30,2026-07-06,2026-08-23,2026-09-06,"Lisbon, Portugal","Oct 25, 2026 - Oct 29, 2026",https://www.iaria.org/conferences2026/GREEN26.html,"Please consider to contribute to and/or forward to the appropriate groups the following opportunity to submit and publish original scientific results to: - GREEN 2026, The Eleventh International Conference on Green Communications, Computing and Technologies GREEN 2026 is scheduled to be October 25 - 29, 2026 in Lisbon, Portugal under the NetWare 2026 umbrella. The submission deadline is July 6, 2026. Authors of selected papers will be invited to submit extended article versions to one of the IARIA Journals: https://www.iariajournals.org All events will be held in a hybrid mode: on site, online, prerecorded videos, voiced presentation slides, pdf slides. ================= ============== GREEN 2026 | Call for Papers =============== CALL FOR PAPERS, TUTORIALS, PANELS GREEN 2026, The Eleventh International Conference on Green Communications, Computing and Technologies General page: https://www.iaria.org/conferences2026/GREEN26.html Submission page: https://www.iaria.org/conferences2026/SubmitGREEN26.html Event schedule: October 25 - 29, 2026 Contributions: - regular papers [in the proceedings, digital library] - short papers (work in progress) [in the proceedings, digital library] - ideas: two pages [in the proceedings, digital library] - extended abstracts: two pages [in the proceedings, digital library] - posters: two pages [in the proceedings, digital library] - posters: slide only [slide-deck posted at www.iaria.org] - presentations: slide only [slide-deck posted at www.iaria.org] - demos: two pages [posted at www.iaria.org] Submission deadline: July 6, 2026 Extended versions of selected papers will be published in IARIA Journals: https://www.iariajournals.org Print proceedings will be available via Curran Associates, Inc.: https://www.proceedings.com/9769.html Articles will be archived in the free access ThinkMind Digital Library: https://www.thinkmind.org The topics suggested by the conference can be discussed in term of concepts, state of the art, research, standards, implementations, running experiments, applications, and industrial case studies. Authors are invited to submit complete unpublished papers, which are not under review in any other conference or journal in the following, but not limited to, topic areas. All tracks are open to both research and industry contributions. Before submission, please check and comply with the editorial rules: https://www.iaria.org/editorialrules.html GREEN 2026 Topics (for topics and submission details: see CfP on the site) Call for Papers: https://www.iaria.org/conferences2026/CfPGREEN26.html ============================================================ GREEN 2026 Tracks (topics and submission details: see CfP on the site) Hot research/industrial areas Improving Green-ness Eco-Design-energy efficiency Green-oriented protocols, computation and services Circuitry for energy harvesting and scavenging Underwater energy harvesting Energy harvesting from stall flutter limit cycle oscillations Ultrasound acoustic wave energy transfer and harvesting Ocean wave vibration energy harvesting Atmosphere monitoring and Green-technologies for Environmental Challenges Remote monitoring the batteries Battery materials and mechanisms Hybrid solar energy - thermal energy - wind energy Energy storage Grid-oriented energy systems Vehicular pollution Electric/hybrid vehicles Harvesting of marine microalgae/agricultural crop for biodiesel production Power distribution grids Optimal planning in smart cities and smart meters Green-ness incentives Green-ness education and motivation Green-awarness Green-aware engineering methodologies Green and sustainable computing Green computing and communication technologies Data aware greed computing Energy-efficient computing and supercomputing Intelligent signal processing for Green communications Green cloud computing Green computing and Internet of Things (IoT) Energy-related Energy Harvesting Communications Energy-efficiency for 5G Networks Energy-efficient Data Centers Energy-efficient Data, Services and Memory Management Energy awareness in Big Data Processing and Storage Energy-efficient Protocols and Networking Green Scheduling and Resource Allocation for Communications Smart Energy and Smart Grid Power Quality, Power Electronics and Electric Machines Smart Grid Applications: Grid-to-Vehicle, Vehicle-to-Grid, Micro-Grid Renewable Energy Generation and New Energy Sources Pervasive Energy Services Green technologies and services Smart Sensing, Metering Systems, Smart Cities Green Vehicles, Green Homes, Green Buildings Green Industrial Automation and Control Green Intelligent Transport Systems Green Technologies for Mobile, Wireless, Wired Industrial Networking Green Data Storage, Data Centers Privacy, Safety, and Security in Green-aware Services Energy-constrained and Power-constrained Devices, Gateways and Systems Green Standardizations and Benchmarks for ICT Metrics for Sustainability and their Validation Ecosystem Modeling ------------------------ GREEN 2026 Committee: https://www.iaria.org/conferences2026/ComGREEN26.html IARIA Ambassadors Steve Chan, Decision Engineering Analysis Laboratory, USA Dirceu Cavendish, Kyushu Institute of Technology, Japan Monika Maria Moehring, Study Centre for Blind and Disabled Students, Technische Hochschule Mittelhessen, Gie en Germany Carlos Becker Westphall, Federal University of Santa Catarina, Brazil Lasse Berntzen, University of South-Eastern Norway, Norway Les Sztandera, Thomas Jefferson University, Philadelphia, USA Andreas Rausch, TU Clausthal, Clausthal-Zellerfeld, Germany Timothy Phan, NASA, Jet Propulsion Laboratory, USA Manuela Vieira, CTS/ISEL/IPL, Portugal Luigi Lavazza, Universit dell'Insubria - Varese, Italy"
CEEE 2026,The Second International Conference on Global Environment Ecosystem Equilibrium,85,35,2026-07-06,2026-08-23,2026-09-06,"Lisbon, Portugal","Oct 25, 2026 - Oct 29, 2026",https://www.iaria.org/conferences2026/CEEE26.html,"Please consider to contribute to and/or forward to the appropriate groups the following opportunity to submit and publish original scientific results to: - CEEE 2026, The Second International Conference on Global Environment Ecosystem Equilibrium CEEE 2026 is scheduled to be October 25 - 29, 2026 in Lisbon, Portugal under the DigitalSustainability 2026 umbrella. The submission deadline is July 6, 2026. Authors of selected papers will be invited to submit extended article versions to one of the IARIA Journals: https://www.iariajournals.org All events will be held in a hybrid mode: on site, online, prerecorded videos, voiced presentation slides, pdf slides. ================= ============== CEEE 2026 | Call for Papers =============== CALL FOR PAPERS, TUTORIALS, PANELS CEEE 2026, The Second International Conference on Global Environment Ecosystem Equilibrium General page: https://www.iaria.org/conferences2026/CEEE26.html Submission page: https://www.iaria.org/conferences2026/SubmitCEEE26.html Event schedule: October 25 - 29, 2026 Contributions: - regular papers [in the proceedings, digital library] - short papers (work in progress) [in the proceedings, digital library] - ideas: two pages [in the proceedings, digital library] - extended abstracts: two pages [in the proceedings, digital library] - posters: two pages [in the proceedings, digital library] - posters: slide only [slide-deck posted at www.iaria.org] - presentations: slide only [slide-deck posted at www.iaria.org] - demos: two pages [posted at www.iaria.org] Submission deadline: July 6, 2026 Extended versions of selected papers will be published in IARIA Journals: https://www.iariajournals.org Print proceedings will be available via Curran Associates, Inc.: https://www.proceedings.com/9769.html Articles will be archived in the free access ThinkMind Digital Library: https://www.thinkmind.org The topics suggested by the conference can be discussed in term of concepts, state of the art, research, standards, implementations, running experiments, applications, and industrial case studies. Authors are invited to submit complete unpublished papers, which are not under review in any other conference or journal in the following, but not limited to, topic areas. All tracks are open to both research and industry contributions. Before submission, please check and comply with the editorial rules: https://www.iaria.org/editorialrules.html CEEE 2026 Topics (for topics and submission details: see CfP on the site) Call for Papers: https://www.iaria.org/conferences2026/CfPCEEE26.html ============================================================ CEEE 2026 Tracks (topics and submission details: see CfP on the site) Climate Change and Atmospheric Science - Analytics on global warming trends and projections - Observational data collection of aerosols - Metrics for assessing aerosol effects - Climate models including aerosols-clouds models - Models for ocean-atmosphere interactions - Sea level rise and its effects on coastal ecosystems - Sensors for carbon capture and sequestration technologies - Strategies for measurement, analysis and reduction of carbon footprint - Models for extreme weather events forecasting - Impact analysis of the impact of climate change on biodiversity Sustainable Agriculture and Food Security - Precision agriculture via remote sensing, drones, and IoT applications - Genetic modifications for crop resilience - Strategies for soil health and carbon sequestration - Agroforestry and land use management - Innovative practices in organic and regenerative agriculture - Water management techniques for agriculture - Sustainable livestock management practices Renewable and Clean Energy Technologies - Advances in hydroelectric power - Geothermal energy technologies - Nuclear energy challenges - Solar and wind energy technologies - Bioenergy and sustainability - Hybrid systems of multiple renewable sources - Energy efficiency and energy storage solutions - Integrating renewable energy into existing grids Water Resources and Aquatic Systems - Analysis of aquifer depletion and remediation strategies - Monitoring saltwater intrusion in freshwater systems - Sustainable fisheries and aquaculture practices - Innovative wastewater treatment technologies - Flood risk management protective systems - Management and challenges of freshwater ecosystems - Sustainable water harvesting technologies - Detection and filtering of microplastics in marine and freshwater systems - Coral reef restoration and protection - Technologies for water conservation and use management - Water rights and geo-data access and sharing - Impact analysis on dams on river ecosystems Pollution, Waste Management, and Environmental Toxicology - Detection of emerging contaminants and studies ecological impacts - Air quality monitoring and improvement strategies - Industrial pollution control technologies - Bioremediation technologies for contaminated sites - Health impacts of environmental toxins - Technologies for managing chemical pollutants - Control of noise pollution - Sustainable management solutions of hazardous materials - Air pollution control technologies and policies - Solutions for plastic pollution - Recycling technologies and circular economy - Solutions for electronic waste management Biodiversity and Wildlife Conservation - Landscape connectivity and wildlife corridors - Conservation genetics and biodiversity banking - Invasive species control and biosecurity measures - Impact of climate change on migratory patterns - Ecosystem services and valuation - Technology in wildlife monitoring and protection - Strategies for habitat restoration and conservation - Case studies on genetic diversity for ecosystem resilience - Monitoring and tracking wildlife trafficking Urban Planning, Green Infrastructure, and Sustainable Development - Smart city technologies for sustainability - Urban transportation solutions - Sustainable land use and zoning practices - Strategies for green infrastructure and urban greening - Resilience planning for natural disasters - Waste reduction and management in urban settings - Urban ecology, green buildings and sustainable architecture - Urban heat island effect and mitigation strategies Environmental Education, Awareness, and Communication - Approaches to environmental education - Educational technologies for environmental learning - Citizen science and participatory data collection - Community engagement and participatory monitoring - Digital tools and technologies for environmental education - Sustainable tourism strategies and eco-friendly practices - Corporate sustainability and green business practices - Interdisciplinary approaches to environmental law - Future directions in global environmental governance ------------------------ CEEE 2026 Committee: https://www.iaria.org/conferences2026/ComCEEE26.html IARIA Ambassadors Steve Chan, Decision Engineering Analysis Laboratory, USA Dirceu Cavendish, Kyushu Institute of Technology, Japan Monika Maria Moehring, Study Centre for Blind and Disabled Students, Technische Hochschule Mittelhessen, Gie en Germany Carlos Becker Westphall, Federal University of Santa Catarina, Brazil Lasse Berntzen, University of South-Eastern Norway, Norway Les Sztandera, Thomas Jefferson University, Philadelphia, USA Andreas Rausch, TU Clausthal, Clausthal-Zellerfeld, Germany Timothy Phan, NASA, Jet Propulsion Laboratory, USA Manuela Vieira, CTS/ISEL/IPL, Portugal Luigi Lavazza, Universit dell'Insubria - Varese, Italy"
MECN 2026,7th International Conference on Mechanical Engineering,38,32,2026-07-11,2026-07-27,2026-08-03,Virtual Conference,"Aug 27, 2026 - Aug 28, 2026",https://mecn2026.org/index,"7 th International Conference on Mechanical Engineering (MECN 2026) August 27 ~ 28, 2026, Virtual Conference Scope & Topics 7 th International Conference on Mechanical Engineering (MECN 2026) will provide an excellent international forum for sharing knowledge ath results in theory, methodology ath applications impacts challenges of Mechanical Engineering. The conference documents practical ath theoretical results which make a fundamental contribution for the development of Mechanical Engineering. Authors are solicited to contribute to the conference by submitting articles that illustrate research results, projects, surveying works at hithustrial experiences that describe significant advances in the following areas, but are not limited to. Topics of interest include, but are not limited to, the following Advances of Aero Space Technology Artificial Intelligence ath Expert Systems CAD/CAM, Automation & Robotics Design Tools, Cutting Tool Material ath Coatings Energy Conservation, Renewable Energy Techniques Fluid Dynamics, Bio-fuels, Fuel Cells Logistics ath Supply Chain Management Machinability of Materials, Composite Materials Operations Management Recent Treths ath Advances Total Quality Management ath Quality Engineering Transportation Systems Tribology Paper Submission Authors are invited to submit papers through the conference Submission System by July 11, 2026 . Submissions must be original and should not have been published previously or be under consideration for publication while being evaluated for this conference. The proceedings of the conference will be published by International Journal of Recent advances in Mechanical Engineering (IJMECH) (Confirmed). Selected papers from MECN 2026 , after further revisions, will be published in the special issues of the following journals. Mechanical Engineering: An International Journal (MEIJ) Important Dates Submission Deadline : July 11, 2026 Authors Notification : July 27, 2026 Final Manuscript Due : August 03, 2026 Co - Located Event 4 th International Conference on Blockchain and Applications (BLKCA 2026) 4 th International Conference on Machine Learning and IoT (MLIoT 2026) 4 th International Conference on Computer Science, Engineering and Information Technology Trends (CGASP 2026) 4 th International Conference on Vision and Computational Intelligence (VCOI 2026) 4 th International Conferences in Clinical Research and Pharmaceutical Sciences (CRPS 2026) 7 th International Conference on Applied Control, Electrical and Electronics Engineering (CEEE 2026) 7 th International Conference on Electrical Engineering (ELEG 2026) 4 th International Conference on Computer Science, Engineering and Information Technology Trends (CSEITT 2026) ***** The invited talk proposals can be submitted to mecn@mecn2026.org"
Springer ACESD 2026,Springer--2026 11th Asia Conference on Environment and Sustainable Development (ACESD 2026),70,35,2026-07-15,,,"Tokyo, Japan","Nov 6, 2026 - Nov 9, 2026",http://www.acesd.org/,"Abbreviation: ACESD 2026 Full Name: 2026 11th Asia Conference on Environment and Sustainable Development Tokyo, Japan November 6-9, 2026 http://www.acesd.org/ Call for Papers: Environmental dynamics: Meteorology, Hydrology, Geophysics, Atmospheric physics, Physical oceanography Global environmental change and ecosystems management: Climate and climatic changes, Global warming, Ozone layer depletion, Carbon capture and storage, Biofuels, Integrated ecosystems management, Satellite applications in the environment Environmental restoration and ecological engineering: Advanced treatment of water and secondary effluents (membranes, adsorption, ion exchange, oxidation etc), Disinfection and disinfection by- products, Management of water treatment residuals, Aesthetic quality of drinking water (taste, odors), Effect of distribution systems on potable water quality, Reuse of reclaimed waters Environmental sustainability: Resource management, Life cycle analysis, Environmental systems approach, Renewable sources of energy-energy savings, Clean technologies, Sustainable cities Health and the Environment: Health related organisms, Hazardous substances and detection techniques, Biodegradation of hazardous substances, Toxicity assessment and epidemiological studies, Quality guidelines, environmental regulation and monitoring, Indoor air pollution More topics: http://www.acesd.org/ Publication: All reviewed and registered papers will be pulished into the International Conference Proceedings, which will be published as a volume of Springer book series: Environmental Science and Engineering which will be submitted for indexing by EI Compendex, Scopus, SCImago and the other major databases. Special Journal: Authors are encouraged to submit your extended paper with at least 35% new added content and new title to the two journals below for publication after the conference: 1. International Journal of Environmental Science and Development, which will be indexed by Scopus(CiteScore 2024: 1.5), Chemical Abstracts Services (CAS), CABI, DOAJ, Ulrich Periodicals Directory, Crossref, ProQuest, etc. 2. Environment: Science and Policy for Sustainable Development, which will be indexed by SCIE (Impact factor 2021: 4.108), Scopus (Citescore 2024: 6.2), etc. Venue: Tokyo, Japan Submission Methods: Full Paper(publication and oral presentation) Abstract(oral presentation only) Electronic Submission System (.pdf) http://confsys.iconf.org/submission/acesd2026 Conference Secretary: Ms. Ching Cao Tel.: +86-13290000003 E-mail: acesd_conf@126.com"
PASTE 2026,[Call for Abstract] Pacific Asia Summit on Transdisciplinary Education,62,40,2026-07-20,2026-08-19,,Hong Kong,"Nov 26, 2026 - Nov 27, 2026",https://transdisciplinary.hkbu.edu.hk/paste2026/,"CFP📢: Pacific Asia Summit on Transdisciplinary Education (PASTE) 2026, (Submission: 30 Jun 2026) The Pacific Asia Summit on Transdisciplinary Education (PASTE) 2026 will bring together educators, and students from across the Pacific Asia region to facilitate dialogue and knowledge exchange. We invite examples that demonstrate how inter- and transdisciplinary teaching and learning can impact learners through transcultural and cross-sector collaborations. Conference Theme: Transcultural and Transectoral Collaboration in Transdisciplinary Education Conference Dates: Day 1 - 26 November 2026 (Thursday), 9:00 am to 5:00 pm (HK Time, GMT +8) Day 2 - 27 November 2026 (Friday), 9:00 am to 1:30pm (HK Time, GMT +8) Conference Venue: Hong Kong Baptist University, Hong Kong SAR Target Participants: • University faculty, researchers, and educators from diverse disciplines • Undergraduate and Postgraduate students • Representatives from academic institutions, NGOs, and other relevant sectors within Pacific Asia [Call for Abstracts and Papers📢]: This conference calls for submissions from various disciplines, including but not limited to: • AI and EdTech • Global Challenges and Sustainability • Resilience, Well-being and Creativity Engagement • Transdisciplinary Partnerships and Innovations Submission Deadline: 20 July 2026 Notification of Results: 19 August 2026 Submission Format and More Information: https://transdisciplinary.hkbu.edu.hk/paste2026/call_for_paper ------------------------------------------------------------------ Registration for PASTE 2026 is now available at: https://hkbupaste2026.brandactivation.hk/web/6a152dfb3a31f32eb33b6004/register Registration Fee and other details: https://transdisciplinary.hkbu.edu.hk/paste2026/reg ------------------------------------------------------------------"
CGEE 2026,IEEE--2026 7th International Conference on Clean and Green Energy Engineering (CGEE 2026),75,32,2026-07-20,,,"Split, Croatia","Sep 12, 2026 - Sep 14, 2026",https://www.cgee.org/,"Full Name: IEEE--2026 7th International Conference on Clean and Green Energy Engineering (CGEE 2026) Abbreviation: CGEE 2026 Welcome to join in the 2026 7th International Conference on Clean and Green Energy Engineering, which will be held in Split, Croatia from September 12-14, 2026 Paper Publishing： For papers submitted to CGEE 2026, accepted and presented papers at the conference will be published in the proceedings of CGEE 2026 and included into IEEE Xplore, which will be sent to EI Compendex, Scopus for indexing. A set of selected papers with extended version (at least 40% new content) will be sent to Journal of Energy – Energija for review and published as regular papers after the conference, which will be indexed by Inspec, Google Scholar and Scilit. CGEE 2025 Conference Proceedings available in IEEE Xplore, will be indexed by EI Compendex, and Scopus. CGEE 2024 Conference Proceedings available in IEEE Xplore, indexed by EI Compendex, and Scopus. CGEE 2023 Conference Proceedings available in IEEE Xplore, indexed by EI Compendex, and Scopus. CGEE 2022 Conference Proceedings available in IEEE Xplore, indexed by EI Compendex, and Scopus. Conference Venue: Split, Croatia Call For Paper 1. Clean and Renewable Energy Technologies Clean Energy Systems and Technologies Solar Energy Engineering Biomass Energy Engineering Wind Energy Engineering Hydrogen and Fuel Cell Nuclear Energy Engineering 2. Energy Storage and Saving Technologies Energy Materials Storage Technology Energy-saving Technology Energy Chemical Engineering Energy-efficient Lighting Products and Technologies Gasification Green Energy Systems Green Power Production and Cogeneration CO2 Capture, Storage, and Utilization Exergetic and Exergoeconomic Analyses The method for submitting your paper: Electronic Submission system: https://confsys.iconf.org/submission/CGEE2026 Please feel free contact with us: Paulina Aydogan (Conference Secretary) E-mail: cgeeconf@163.com For more information about international conferences, please visit our conference website: CGEE 2026 Website: https://www.cgee.org/"
ICRER 2026,Springer--2026 8th International Conference on Resources and Environmental Research (ICRER 2026),85,30,2026-07-20,,,"Kyoto, Japan","Oct 10, 2026 - Oct 12, 2026",https://www.icrer.us/,"Full name: Springer--2026 8th International Conference on Resources and Environmental Research (ICRER 2026) Abbreviation: ICRER 2026 Conference Website: https://www.icrer.us/ Conference venue: Kyoto, Japan 2026 8th International Conference on Resources and Environmental Research (ICRER 2026) will be held during October 10-12, 2026, in Kyoto, Japan. ICRER 2026 is sponsored by Beijing CAS Industrial Energy and Environment Technology Institute and supported by Kyoto University, Japan. Paper Publishing Accepted and presented full papers will be included in a volume of Springer Book Series Environmental Science and Engineering (ISSN: 1863-5520)and published as post-proceedings, which will be submitted to EI Compendex, Scopus, SCImago and other major databases for indexing. Journal Recommendation Authors are encouraged to submit your extended paper with at least 35% new added content and new title to the journal below for publication after full paper is accepted into conference proceedings. Environmental Technology, indexed by SCIE (Impact factor 2021: 3.475), Scopus (Citescore 2021:5.4, Q1), etc. Deadline for manuscript submissions: November 10, 2026 Call for papers 1)Environmental Science and Technology ●Mechanism of multi-media migration and transformation of new pollutants ●Treatment and recycling technology of high salt wastewater ●Collaborative governance mechanism and key path of atmospheric pollution reduction and carbon reduction ●Ecological effects of microplastics in offshore waters ●Study on carbon sequestration and accumulation in coastal wetland ecosystem ●Application of machine learning to Earth system observation and prediction ●Study on biological characteristics and ecological effects of microorganisms in Marine extreme environment ●Study on clean production technology of tanning without tanning agent ●Food function factors and the mechanism of chronic metabolic syndrome ●Extraction and development of new natural cellulose fibers 2)Environmental Ecological Engineering ●Ecosystem Management and Sustainable Development ●Global environmental change and ecosystems management ●Environmental restoration and ecological engineering ●Habitat reconstruction ●Deforestation ●Wetlands ●Landscape degradation and restoration ●Soil decontamination ●Environmental Monitoring and Management ●Hazardous substances and detection techniques ●Biodegradation of hazardous substances ●Toxicity assessment and epidemiological studies ●Management and regulation of point and diffuse pollution ●Monitoring and analysis of environmental contaminant ●Quality guidelines, environmental regulation and monitoring 3)Resources and Environment Engineering ●Water Resources Management and Water Pollution Control ●Atmospheric science and air pollution control ●Solid Waste Pollution Control and Resource Utilization ●Ground water remediation and management ●Global environmental change and ecosystems management ●Climate and climatic changes ●Global warming ●Ozone layer depletion ●Carbon capture and storage ●Recycling and reuse ●Waste valorization Committee Conference Chairs Kaimin Shih, The University of Hong Kong, China Kokyo Oh, Center for Environmental Science in Saitama, Japan Conference local arrangement Chair Setsuhisa Tanabe Kyoto University, Japan Conference Program Chairs Xueming Chen, Fuzhou University, China Miwako Hosoda, Seisa University, Tokyo, Japan Conference Regional Chairs Tjokorda Gde Tirta Nindhia, Udayana University, Indonesia Flora Elvistia, Jayabaya University, Indonesia Conference Publication Chair Chaolei Yuan, Sun Yat-sen University, China Conference Steering Committee Mohamed El-Din, University of Alberta, Canada Satya Harpalani, Southern Illinois University Carbondale, USA Submission and Contact Methods Submission Methods: https://confsys.iconf.org/submission/icrer2026 E-mail: icrer_secretary@163.com Tel: +86-17311381986 Conference Specialist: Ms. Vera Liao ICRER 2026 can provide a platform for Resources and Environmental Research. For more conference information, please visit the conference website: http://www.icrer.us/index.html"
ICBSTS 2026,"2026 7th International Conference on Building Science, Technology and Sustainability (ICBSTS 2026)",40,30,2026-07-25,,,"University of Lisbon, Portugal","Sep 2, 2026 - Sep 4, 2026",http://www.icbsts.org,"2026 7th International Conference on Building Science, Technology and Sustainability (ICBSTS 2026) University of Lisbon, Portugal September 2-4, 2026 Website: www.icbsts.org Welcome to join the 2026 7th International Conference on Building Science, Technology and Sustainability (ICBSTS 2026), where you will encounter groundbreaking ideas and have the opportunity to meet experts from around the world! [Publication]: Accepted and register full papers will be published in E3S Web of Conferences(ISSN: 2267-1242), which will be indexed by Scopus, CPCI (Web of Science), CAS, DOAJ, EBSCO, ProQuest, et al. [Conference Committees in 2025]: 1. Conference Chair Nuno Dinis Cortiços, University of Lisbon, Portugal 2. Conference Co-Chairs Eric J. Strauss, Michigan State University, USA Paulo Mendonça, University of Minho, Portugal 3. Program Chairs Yoshiaki Yamato, National Institute of Technology, Kure College, Japan Carol Monticelli, Politecnico di Milano, Italy Kurazumi Yoshihito, Sugiyama Jogakuen University, Japan Angel Jimenez-Aranda, University of Salford, United Kingdom 4. Program Co-Chairs Shino Okuda, Doshisha Women's College of Liberal Arts, Japan Claudia Casapulla, University of Napoli Federico II, Italy Tomonori Sakoi, Shinshu University, Japan João Pedro Costa, University of Lisbon, Portugal >> For more committees, you can visit: http://icbsts.org/com.html >> Looking forward to the Conference Committees in 2026! [Speakers in 2025]: 1. Prof. Ariya Aruninta, Chulalongkorn University, Thailand 2. Prof. Qing Wang, Taishan University, China 3. Prof. Tomonori Sakoi, Shinshu University, Japan >> For more details, you can visit: http://icbsts.org/speaker.html >> Looking forward to the speakers in 2026! [Conference Topics (but not limited to)]: ☆ Intelligent Building System ☆ Advanced HVAC Systems ☆ Life Cycle Assessment Methodology ☆ Environmental Product Declarations ☆ Climate Declarations ☆ Environment and Local Authorities >> Please check the following link which you can find more topics: http://icbsts.org/cfp.html [Submission Types]: 1. Full Paper (Publication & Presentation) Minimum Page: Five Pages. Accepted and registered full papers will be published into the conference proceedings, authors will be invited to give oral presentation at site. 2. Abstract (Presentation ONLY) Abstract registration is for Presentation ONLY. The abstract will NOT be published. [Submission Method]: * You can submit your paper via submission system: https://confsys.iconf.org/submission/icbsts2026 * Or directly send to the conference email box: icbsts@cbees.net >> For more details, you can learn through: http://icbsts.org/sub.html [Conference Venue]: Universidade de Lisboa (University of Lisbon) Faculdade de Arquitectura (Faculty of Architecture) Address: Rua Sá Nogueira, Pólo Universitário do Alto da Ajuda, 1349-063 Lisboa >> More information, please visit: https://icbsts.org/venue.html [Contact Us]: Conference Secretary: Ms. Rachel Liu Email: icbsts@cbees.net Tel: +852-3155-4897 (Speaking English) +86-28-87577778 (Speaking Chinese & English) Working Time: 9:30-18:00 (UTC/GMT+8, Monday to Friday) Welcome to submit your contribution to ICBSTS 2026. We hope you can be a part of the conference and look forward to meeting you in Lisbon, Portugal. For more information and submission guidelines, please visit our conference website: www.icbsts.org"
ICREC--EI 2026,2026 11th International Conference on Renewable Energy and Conservation (ICREC 2026),68,30,2026-07-25,,,"Rome, Italy","Nov 20, 2026 - Nov 22, 2026",http://www.icrec.org/,"ICREC 2026 2026 11th International Conference on Renewable Energy and Conservation (ICREC 2026) Rome, Italy November 20-22, 2026 http://www.icrec.org/ Publication: ICREC 2026 all accepted papers will be published into ICREC Conference Proceedings, which submitted for Ei Compendex, Scopus, et al. Call for Papers: New Trends and Technologies for RESSs Policies and Strategies for RESSs Energy Transformation from Renewable Energy System (RES) to Grid Novel Energy Conversion Studies for RESs Power Devices and Driving Circuits for RESs Control Techniques for RESs Grid Interactive Systems Used in Hybrid RESs Performance Analysis of RESs Hybrid RESSs Decision Support Systems for RESSs Renewable Energy Research and Applications for Industries RESSs for Electrical Vehicles and Components Artificial Intelligence and Machine Learning Studies for RESs and Applications Computational Methods for RESSs More topics: http://www.icrec.org/cfp.html Submission Methods: Full Paper (publication and oral presentation) Abstract (oral presentation only) Electronic Submission System (.pdf) http://confsys.iconf.org/submission/icrec2026 or send it directly to conference email: icrec_conf@163.com Contacts: Ms. Nina Lee E-mail: icrec_conf@163.com Tel: +86-19382255134"
ICEST 2026,Springer--2026 17th International Conference on Environmental Science and Technology (ICEST 2026),72,30,2026-07-30,,,"Xiamen, China","Dec 4, 2026 - Dec 6, 2026",https://icest.org/,"Full Name: 2026 17th International Conference on Environmental Science and Technology Abbreviation: ICEST 2026 Conference Website: https://icest.org/ Conference Time: December 4-6, 2026 Conference Venue: Jimei University, Xiamen, China ICEST 2026 will be held in Xiamen, China during December 4-6, 2026. It is organized by International Society for Environmental Information Sciences, co-organized by Jimei University and United Nations Development Programme. The ICEST conference has been successfully held for 16 editions in the field of Environmental Science and Technology, successively in Bangkok, Singapore, Poland, Barcelona, Madrid, the Czech Republic, China, Japan and other locations around the world. The conference received great support from the Conference Chair Prof. Gordon Huang. The conference provides a forum for researchers and practitioners in this field to exchange ideas, designs, and experiments, promoting academic exchange and international cooperation in related fields. ★Publication Papers accepted by ICEST 2026, after registration and presentation, will be included in Springer Book Series Environmental Science and Engineering (ISSN: 1863-5520), which will be submitted to EI Compendex, Scopus, SCImago and other major databases for indexing. ★Topics(Topics of interest for submission include, but are not limited to:) Ecosystem Management and Sustainable Development Environmental Monitoring and Management Water Resources Management and Water Pollution Control Atmospheric science and air pollution control Solid Waste Pollution Control and Resource Utilization Global environmental change and ecosystems management Health and the Environment Water resources and river basin management Climate and climatic changes Optimization of collection systems For more topics and scope please check: https://icest.org/cfp.html  ★Submission Instructions 2). Language: English is the official language of the conference; the paper should be written and presented only in English. 3). Submission Types * Abstract submission for presentation only without publication. * Full paper submission for both presentation and publication. 4). Paper Page Limits: Each full paper should be no less than 10 pages, including all figures, tables, and reference. When it exceeds 15 pages, extra page will be charged at 30 USD / 200 CNY / Page. 5). Submission Methods ▪By online submission system: https://www.zmeeting.org/submission/ICEST2026 ▪By Email: icest@academic.net ★Contact us Conference secretary: Ms. Ace Wong Tel: +86-17765145794 Email: icest@academic.net Website: https://icest.org/ Office Time: 9:00--18:00, Monday to Friday (GMT+8 Time Zone)"
